Player_Name,Salary,Team,Pos,Opp,Proj_FP,Proj_Val
Kyle Freeland,4800.00,COL,SP,SDP,13.12,2.73
Drew Smyly,5800.00,PHI,SP,SFG,15.48,2.67
Tyler Beede,5300.00,SFG,SP,PHI,13.48,2.54
Cal Quantrill,6200.00,SDP,SP,COL,14.4,2.32
Walker Buehler,11500.00,LAD,SP,ARI,24.76,2.15
Marco Gonzales,7400.00,SEA,SP,TBR,14.6,1.97
Robbie Ray,9800.00,ARI,SP,LAD,18.05,1.84
Jalen Beeks,7600.00,TBR,SP,SEA,9.07,1.19
