PG,SG,SF,PF,C,G,F,UTIL
De'Aaron Fox,Patty Mills,Doug McDermott,Davis Bertans,Julius Randle,Luke Kennard,Larry Nance Jr.,Danilo Gallinari
De'Aaron Fox,Patty Mills,Nicolas Batum,James Johnson,Dwight Howard,Kevin Huerter,Julius Randle,Larry Nance Jr.
De'Aaron Fox,D'Angelo Russell,Kevin Huerter,James Johnson,Larry Nance Jr.,Immanuel Quickley,Davis Bertans,Luke Kennard
De'Aaron Fox,Jalen Brunson,Garrison Mathews,Julius Randle,Naz Reid,Luke Kennard,Larry Nance Jr.,Isaiah Roby
D'Angelo Russell,Patty Mills,Nicolas Batum,Rui Hachimura,Julius Randle,Tim Hardaway Jr.,Larry Nance Jr.,Danilo Gallinari
Patty Mills,Paul George,Kevin Huerter,Julius Randle,Larry Nance Jr.,Jalen Brunson,Isaiah Roby,Jerome Robinson
D'Angelo Russell,Jalen Brunson,Kevin Huerter,Rui Hachimura,Dwight Howard,Luke Kennard,Julius Randle,Larry Nance Jr.
D'Angelo Russell,Trey Burke,De'Andre Hunter,Stanley Johnson,Julius Randle,Luke Kennard,Davis Bertans,Larry Nance Jr.
De'Aaron Fox,Paul George,De'Andre Hunter,Stanley Johnson,Larry Nance Jr.,Patty Mills,Davis Bertans,Immanuel Quickley
De'Aaron Fox,Evan Fournier,Danilo Gallinari,Rui Hachimura,Larry Nance Jr.,Paul George,Isaiah Roby,Patty Mills
D'Angelo Russell,Raul Neto,Buddy Hield,James Johnson,Julius Randle,Luke Kennard,Larry Nance Jr.,Isaiah Roby
De'Aaron Fox,Evan Fournier,Nicolas Batum,Davis Bertans,Julius Randle,D.J. Augustin,Larry Nance Jr.,Isaiah Roby
Jordan McLaughlin,Evan Fournier,Danilo Gallinari,Davis Bertans,Julius Randle,Paul George,Larry Nance Jr.,Jalen Brunson
D'Angelo Russell,Jalen Brunson,Nicolas Batum,Julius Randle,Bismack Biyombo,Buddy Hield,Larry Nance Jr.,Jerome Robinson
Rajon Rondo,Paul George,Jerome Robinson,James Johnson,Julius Randle,D'Angelo Russell,Larry Nance Jr.,Paul Watson
D'Angelo Russell,Paul George,Danilo Gallinari,Julius Randle,Larry Nance Jr.,Matt Thomas,Isaiah Roby,Trey Burke
D'Angelo Russell,Paul George,Buddy Hield,Rui Hachimura,Dwight Howard,Patty Mills,Larry Nance Jr.,Immanuel Quickley
D'Angelo Russell,Patty Mills,Cedi Osman,Davis Bertans,Julius Randle,Jalen Brunson,Buddy Hield,Luke Kennard
De'Aaron Fox,Evan Fournier,Cedi Osman,James Johnson,Julius Randle,Patty Mills,Rui Hachimura,Luke Kennard
De'Aaron Fox,Paul George,Cedi Osman,James Johnson,Julius Randle,Paul Watson,Davis Bertans,Isaiah Roby
