PG,SG,SF,PF,C,G,F,UTIL
De'Aaron Fox,Patty Mills,Doug McDermott,Davis Bertans,Julius Randle,Luke Kennard,Larry Nance Jr.,Danilo Gallinari
De'Aaron Fox,Evan Fournier,Luke Kennard,Rui Hachimura,Julius Randle,Matt Thomas,Larry Nance Jr.,Patty Mills
D'Angelo Russell,Matt Thomas,Buddy Hield,Davis Bertans,Julius Randle,Patty Mills,Larry Nance Jr.,Luke Kennard
De'Aaron Fox,Patty Mills,Nicolas Batum,Davis Bertans,Julius Randle,Jordan McLaughlin,Larry Nance Jr.,Tim Hardaway Jr.
D'Angelo Russell,Patty Mills,Tim Hardaway Jr.,Rui Hachimura,Bismack Biyombo,Luke Kennard,Julius Randle,Larry Nance Jr.
De'Aaron Fox,Patty Mills,Luke Kennard,Julius Randle,Larry Nance Jr.,Lonzo Ball,Isaiah Roby,Jalen Brunson
De'Aaron Fox,Patty Mills,Terrence Ross,James Johnson,Julius Randle,Jerome Robinson,Larry Nance Jr.,Luke Kennard
De'Aaron Fox,Paul George,Danilo Gallinari,Davis Bertans,Naz Reid,Patty Mills,Larry Nance Jr.,Immanuel Quickley
D'Angelo Russell,Patty Mills,Nicolas Batum,Rui Hachimura,Julius Randle,Trey Burke,Larry Nance Jr.,Kevin Huerter
D'Angelo Russell,Jalen Brunson,Terrence Ross,Davis Bertans,Julius Randle,Luke Kennard,Larry Nance Jr.,Isaiah Roby
De'Aaron Fox,Trey Burke,Kevin Huerter,Davis Bertans,Bismack Biyombo,Luke Kennard,Julius Randle,Larry Nance Jr.
De'Aaron Fox,Patty Mills,Garrison Mathews,Julius Randle,Naz Reid,Luke Kennard,Larry Nance Jr.,Dwight Howard
De'Aaron Fox,Patty Mills,Nicolas Batum,James Johnson,Julius Randle,Kevin Huerter,Larry Nance Jr.,Garrison Mathews
Patty Mills,Paul George,Danilo Gallinari,Rui Hachimura,Julius Randle,Tim Hardaway Jr.,Larry Nance Jr.,Isaiah Roby
Patty Mills,Paul George,Kevin Huerter,Julius Randle,Larry Nance Jr.,Jalen Brunson,Isaiah Roby,Jerome Robinson
De'Aaron Fox,Patty Mills,Nicolas Batum,Rui Hachimura,Julius Randle,Terrence Ross,Larry Nance Jr.,Danilo Gallinari
De'Aaron Fox,Jalen Brunson,Nicolas Batum,Rui Hachimura,Bismack Biyombo,Kevin Huerter,Julius Randle,Larry Nance Jr.
De'Aaron Fox,D'Angelo Russell,Kevin Huerter,Davis Bertans,Larry Nance Jr.,Patty Mills,Isaiah Roby,Luke Kennard
D'Angelo Russell,Jalen Brunson,Kevin Huerter,Rui Hachimura,Dwight Howard,Luke Kennard,Julius Randle,Larry Nance Jr.
De'Aaron Fox,Patty Mills,Nicolas Batum,Julius Randle,Naz Reid,Jerome Robinson,Larry Nance Jr.,Bismack Biyombo
