Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
23,1569449612,drgonballs (3/20),3,159.45,P Chris Bassitt P Jakob Junis 3B Eugenio Suárez SS Gleyber Torres OF Bryan Reynolds OF Kyle Schwarber 1B Paul Goldschmidt OF Ian Happ C Austin Romine 2B Adam Frazier,,Masahiro Tanaka,P,10.60%,28.2
24,1569433370,mwindsor24,1,159.4,P Miles Mikolas P Jordan Lyles OF Yordan Alvarez OF Michael Brantley 3B Eugenio Suárez OF Jorge Soler 2B Aledmys Díaz 1B Paul Goldschmidt C Reese McGuire SS José Peraza,,Matt Olson,1B,10.34%,21
25,1569449619,drgonballs (10/20),1,159.15,P Mike Minor P Chris Bassitt SS Francisco Lindor 3B José Ramírez 1B Carlos Santana OF Kyle Schwarber OF Adam Eaton OF Greg Allen 2B Adam Frazier C Kevin Plawecki,,Carlos Correa,SS,10.26%,21
26,1569438207,bcrowl7 (2/2),0,158.75,P Justin Verlander P Aaron Civale OF Whit Merrifield OF Jorge Soler 1B Carlos Santana OF Kyle Schwarber 3B Mike Moustakas 2B Ian Happ SS Humberto Arteaga C Nick Dini,,Jordan Lyles,P,10.09%,27.55
27,1569449652,drgonballs (20/20),1,158.15,P Mike Minor P Chris Bassitt SS Francisco Lindor 3B José Ramírez 1B Carlos Santana OF Kyle Schwarber OF Ian Happ OF Adam Eaton 2B Adam Frazier C Nick Dini,,Xander Bogaerts,SS,9.92%,3
28,1569426060,ratman69 (1/2),1,158,P Jakob Junis P Steven Brault OF Ronald Acuña Jr. 2B Jose Altuve SS Javier Báez OF Andrew Benintendi 3B Eugenio Suárez OF Jorge Soler 1B Trey Mancini C Andrew Knizner,,Mike Ford,1B,9.42%,0
29,1569449644,drgonballs (12/20),2,157.15,P Justin Verlander P Mike Foltynewicz 2B Whit Merrifield OF Jorge Soler 3B Mike Moustakas 1B Paul Goldschmidt OF Adam Eaton OF José Martínez SS José Peraza C John Hicks,,Gio Urshela,3B,9.34%,10
30,1569443101,jgAllDay (19/20),0,156.95,P Justin Verlander P Jakob Junis OF Yordan Alvarez 2B Whit Merrifield OF Jorge Soler 3B Hunter Dozier 1B Mike Ford OF Trent Grisham SS Humberto Arteaga C Nick Dini,,Miles Mikolas,P,9.34%,3.85
31,1569430339,feelmytd19 (1/4),3,156.8,P Jakob Junis P Mike Foltynewicz OF J.D. Martinez 3B Eugenio Suárez OF Bryan Reynolds C Gary Sánchez 1B Paul Goldschmidt SS Niko Goodrum OF Jason Heyward 2B Adam Frazier,,Ronald Acuña Jr.,OF,9.08%,19
32,1569415277,SillyLine,3,155.75,P Justin Verlander P Aaron Civale OF Ronald Acuña Jr. OF Whit Merrifield 1B Josh Bell SS Niko Goodrum 3B Tommy Edman OF José Martínez 2B Chris Owings C Nick Dini,,Whit Merrifield,OF,8.75%,23
33,1569415478,turd_ferguson (3/20),2,155.7,P Masahiro Tanaka P Mike Foltynewicz OF Yordan Alvarez OF George Springer 3B Alex Bregman SS Carlos Correa OF Michael Brantley 1B Paul Goldschmidt 2B Adam Frazier C Nick Dini,,Freddie Freeman,1B,8.41%,11
33,1569415535,turd_ferguson (7/20),2,155.7,P Masahiro Tanaka P Mike Foltynewicz OF Yordan Alvarez OF George Springer 3B Alex Bregman SS Carlos Correa OF Michael Brantley 1B Paul Goldschmidt 2B Adam Frazier C Nick Dini,,Shohei Ohtani,OF,8.41%,13
33,1569415595,turd_ferguson (11/20),2,155.7,P Masahiro Tanaka P Mike Foltynewicz OF Yordan Alvarez OF George Springer 3B Alex Bregman SS Carlos Correa OF Michael Brantley 1B Paul Goldschmidt 2B Adam Frazier C Nick Dini,,Johan Camargo,SS,8.41%,0
33,1569422881,turd_ferguson (15/20),2,155.7,P Masahiro Tanaka P Mike Foltynewicz OF Yordan Alvarez OF George Springer 3B Alex Bregman SS Carlos Correa OF Michael Brantley 1B Paul Goldschmidt 2B Adam Frazier C Nick Dini,,Max Stassi,C,8.41%,4
33,1569422899,turd_ferguson (19/20),2,155.7,P Masahiro Tanaka P Mike Foltynewicz OF Yordan Alvarez OF George Springer 3B Alex Bregman SS Carlos Correa OF Michael Brantley 1B Paul Goldschmidt 2B Adam Frazier C Nick Dini,,Matt Chapman,3B,8.33%,7
38,1569415477,turd_ferguson (2/20),1,155.3,P Justin Verlander P Jacob deGrom 3B Eugenio Suárez OF Jorge Soler 1B Paul Goldschmidt OF Sam Travis OF Billy Hamilton 2B Chris Owings SS Humberto Arteaga C Nick Dini,,Rafael Devers,3B,8.16%,10
38,1569415534,turd_ferguson (6/20),1,155.3,P Justin Verlander P Jacob deGrom 3B Eugenio Suárez OF Jorge Soler 1B Paul Goldschmidt OF Sam Travis OF Billy Hamilton 2B Chris Owings SS Humberto Arteaga C Nick Dini,,Jorge Soler,OF,7.99%,43
38,1569415594,turd_ferguson (10/20),1,155.3,P Justin Verlander P Jacob deGrom 3B Eugenio Suárez OF Jorge Soler 1B Paul Goldschmidt OF Sam Travis OF Billy Hamilton 2B Chris Owings SS Humberto Arteaga C Nick Dini,,Robinson Chirinos,C,7.49%,0
38,1569422880,turd_ferguson (14/20),1,155.3,P Justin Verlander P Jacob deGrom 3B Eugenio Suárez OF Jorge Soler 1B Paul Goldschmidt OF Sam Travis OF Billy Hamilton 2B Chris Owings SS Humberto Arteaga C Nick Dini,,Paul DeJong,SS,7.23%,4
38,1569422898,turd_ferguson (18/20),1,155.3,P Justin Verlander P Jacob deGrom 3B Eugenio Suárez OF Jorge Soler 1B Paul Goldschmidt OF Sam Travis OF Billy Hamilton 2B Chris Owings SS Humberto Arteaga C Nick Dini,,DJ LeMahieu,2B,7.15%,2
43,1569443087,jgAllDay (5/20),0,154.3,P Mike Minor P Jakob Junis OF Mike Trout OF Yordan Alvarez 2B Whit Merrifield OF Jorge Soler 3B Matt Chapman 1B Cheslor Cuthbert SS Humberto Arteaga C Nick Dini,,Eugenio Suárez,3B,6.98%,19
44,1569433911,mannyj120 (5/20),0,153.7,P Masahiro Tanaka P Mike Foltynewicz OF George Springer SS Alex Bregman OF Michael Brantley 3B Eugenio Suárez OF Jorge Soler C Gary Sánchez 1B Sam Travis 2B Chris Owings,,Aledmys Díaz,1B,6.90%,5
45,1569444482,DefendFreedom (14/20),0,151.85,P Justin Verlander P Masahiro Tanaka OF Jorge Soler 3B Hunter Dozier OF Brian Goodwin 1B Matt Thaiss SS David Fletcher OF Alex Gordon 2B Luís Rengifo C Nick Dini,,Andrew Cashner,P,6.81%,-5.65
46,1569445030,TakeoverTarget (10/20),0,151.6,P Jakob Junis P Héctor Noesí OF Mike Trout 2B Whit Merrifield OF Jorge Soler 3B Hunter Dozier OF Aaron Judge SS Gleyber Torres C Gary Sánchez 1B Cheslor Cuthbert,,Humberto Arteaga,SS,6.73%,5
47,1569439880,TeezBeez (19/20),0,151.45,P Chris Bassitt P Héctor Noesí 2B DJ LeMahieu 1B Pete Alonso SS Bo Bichette OF Michael Conforto OF Jorge Soler 3B Hunter Dozier OF Lorenzo Cain C Manny Piña,,Héctor Noesí,P,6.73%,15.3
48,1569428772,callkennyloggins,1,151.3,P Masahiro Tanaka P Aaron Civale OF J.D. Martinez 2B Jose Altuve OF Jorge Soler SS Trea Turner OF Aaron Judge C Gary Sánchez 1B Paul Goldschmidt 3B Dawel Lugo,,Aaron Civale,P,6.39%,19.1
49,1569449946,etcho,2,151.15,P Justin Verlander P Mike Foltynewicz OF George Springer OF Andrew Benintendi 3B Hunter Dozier 1B Paul Goldschmidt OF Yasiel Puig 2B Adam Frazier SS José Peraza C Nick Dini,,Hunter Dozier,3B,6.22%,38
50,1569414459,kodimac14 (5/15),0,150.8,P Jakob Junis P Mike Foltynewicz OF Mike Trout 2B Jose Altuve 1B Freddie Freeman OF Jorge Soler 3B Hunter Dozier OF Aristides Aquino SS Johan Camargo C Nick Dini,,David Fletcher,SS,6.06%,0
51,1569414460,kodimac14 (6/15),0,150.15,P Justin Verlander P Mike Foltynewicz OF J.D. Martinez OF Jorge Soler 3B Hunter Dozier OF Aristides Aquino 1B Mike Ford 2B Starlin Castro SS José Peraza C Nick Dini,,José Martínez,OF,5.97%,4
52,1569432762,jackandsoda (1/20),0,149.95,P Miles Mikolas P Aaron Civale OF Ronald Acuña Jr. SS Bo Bichette OF Shohei Ohtani OF Jorge Soler 3B Hunter Dozier 2B Michael Chavis 1B Justin Smoak C Manny Piña,,Josh Reddick,OF,5.97%,5
