P,P,C,1B,2B,3B,SS,OF,OF,OF
Justin Verlander,Jacob deGrom,Nick Dini,Sam Travis,Chris Owings,Hunter Dozier,Humberto Arteaga,Bubba Starling,Billy Hamilton,Mike Trout
Mike Foltynewicz,Justin Verlander,Nick Dini,Sam Travis,Chris Owings,Rafael Devers,Xander Bogaerts,Trent Grisham,J.D. Martinez,Shohei Ohtani
Masahiro Tanaka,Jacob deGrom,Christian Vazquez,Sam Travis,Chris Owings,Dawel Lugo,Xander Bogaerts,Bubba Starling,Aaron Judge,J.D. Martinez
Justin Verlander,Jacob deGrom,Chris Herrmann,Matt Olson,Chris Owings,Matt Chapman,Humberto Arteaga,Aaron Judge,Nick Martini,Robbie Grossman
Justin Verlander,Jacob deGrom,Max Stassi,Matt Thaiss,Chris Owings,Dawel Lugo,David Fletcher,Trent Grisham,Shohei Ohtani,Kole Calhoun
