PG,SG,SF,PF,C,G,F,UTIL
Jamal Murray,D'Angelo Russell,Danny Green,John Collins,Deandre Ayton,Shai Gilgeous-Alexander,Andre Iguodala,Malachi Flynn
Shai Gilgeous-Alexander,Alec Burks,Justin Holiday,Rudy Gay,Serge Ibaka,Evan Fournier,John Collins,D'Angelo Russell
Shai Gilgeous-Alexander,Evan Fournier,David Nwaba,Larry Nance Jr.,Deandre Ayton,D'Angelo Russell,Paul Millsap,Trey Burke
Jamal Murray,D'Angelo Russell,Cedi Osman,John Collins,Serge Ibaka,Immanuel Quickley,Lu Dort,Willie Cauley-Stein
Shai Gilgeous-Alexander,D'Angelo Russell,Nicolas Batum,John Collins,Willie Cauley-Stein,Patty Mills,Larry Nance Jr.,Dwight Howard
D'Angelo Russell,Denzel Valentine,Michael Porter Jr.,John Collins,Deandre Ayton,Trey Burke,Lu Dort,Patty Mills
Shai Gilgeous-Alexander,D'Angelo Russell,Nicolas Batum,Rudy Gay,Deandre Ayton,Damyean Dotson,JaMychal Green,Myles Turner
Jamal Murray,Alec Burks,Lu Dort,Rudy Gay,Deandre Ayton,Patrick Beverley,Larry Nance Jr.,D'Angelo Russell
Shai Gilgeous-Alexander,D'Angelo Russell,Cedi Osman,John Collins,Myles Turner,Patrick Beverley,Yuta Watanabe,Trey Burke
Shai Gilgeous-Alexander,D'Angelo Russell,Michael Porter Jr.,Yuta Watanabe,Deandre Ayton,Immanuel Quickley,Terrence Ross,Serge Ibaka
Jamal Murray,Zach LaVine,Nicolas Batum,Yuta Watanabe,John Collins,Evan Fournier,Reggie Bullock,D'Angelo Russell
Darius Garland,D'Angelo Russell,Terrence Ross,John Collins,Deandre Ayton,Tomas Satoransky,Paul Millsap,Willie Cauley-Stein
Jamal Murray,D'Angelo Russell,Jae Crowder,Patrick Williams,Serge Ibaka,Shai Gilgeous-Alexander,Reggie Bullock,Jarrett Allen
Shai Gilgeous-Alexander,Paul George,Yuta Watanabe,John Collins,Deandre Ayton,Alec Burks,Paul Millsap,Patty Mills
D'Angelo Russell,Evan Fournier,Cedi Osman,JaMychal Green,Deandre Ayton,Shake Milton,John Collins,Ivica Zubac
Jamal Murray,Denzel Valentine,Cedi Osman,Rudy Gay,Dwight Howard,Shai Gilgeous-Alexander,Terrence Ross,D'Angelo Russell
Jamal Murray,Paul George,Taurean Prince,Yuta Watanabe,Willie Cauley-Stein,Shai Gilgeous-Alexander,Justin Holiday,D'Angelo Russell
Shai Gilgeous-Alexander,D'Angelo Russell,David Nwaba,John Collins,Bismack Biyombo,Tomas Satoransky,Michael Porter Jr.,Jarrett Allen
Shai Gilgeous-Alexander,Evan Fournier,Nicolas Batum,John Collins,Deandre Ayton,Ben McLemore,Michael Porter Jr.,Darius Garland
Payton Pritchard,D'Angelo Russell,P.J. Dozier,John Collins,Deandre Ayton,Immanuel Quickley,Larry Nance Jr.,Myles Turner
