PG,SG,SF,PF,C,G,F,UTIL
Stephen Curry,Alec Burks,Brandon Ingram,Anthony Davis,Mitchell Robinson,Brad Wanamaker,Kyle Kuzma,Georges Niang
Stephen Curry,Alec Burks,Brandon Ingram,Eric Paschall,Anthony Davis,Dennis Schroder,Kevin Knox,Bryn Forbes
Stephen Curry,Dennis Schroder,Brandon Ingram,Eric Paschall,Mitchell Robinson,Elfrid Payton,Georges Niang,Jordan Clarkson
Stephen Curry,Dennis Schroder,Brandon Ingram,Thanasis Antetokounmpo,Nerlens Noel,Jordan Clarkson,Anthony Davis,Damion Lee
Stephen Curry,Alec Burks,Brandon Ingram,Kyle Kuzma,Markieff Morris,Eric Bledsoe,RJ Barrett,Jordan Clarkson
Stephen Curry,Dennis Schroder,Pat Connaughton,Brandon Ingram,Mitchell Robinson,RJ Barrett,Kyle Kuzma,Joe Ingles
Stephen Curry,Dennis Schroder,Brandon Ingram,Anthony Davis,Jaxson Hayes,Elfrid Payton,Reggie Bullock,Jordan Poole
Stephen Curry,Alec Burks,Josh Hart,Brandon Ingram,Anthony Davis,Elfrid Payton,Pat Connaughton,Damion Lee
Stephen Curry,Alec Burks,Brandon Ingram,Giannis Antetokounmpo,Nerlens Noel,Dennis Schroder,Georges Niang,Jaxson Hayes
Stephen Curry,Bryn Forbes,Brandon Ingram,Anthony Davis,Kevon Looney,RJ Barrett,Kyle Kuzma,Reggie Bullock
Stephen Curry,Alec Burks,Kent Bazemore,Georges Niang,Anthony Davis,Dennis Schroder,RJ Barrett,Jordan Clarkson
Stephen Curry,Alec Burks,Brandon Ingram,Thanasis Antetokounmpo,Anthony Davis,Jordan Poole,RJ Barrett,Joe Ingles
Jordan Clarkson,Damion Lee,Brandon Ingram,Anthony Davis,Mitchell Robinson,RJ Barrett,Kyle Kuzma,Eric Paschall
Stephen Curry,Wesley Matthews,Pat Connaughton,Brandon Ingram,Anthony Davis,Brad Wanamaker,RJ Barrett,Jordan Clarkson
Stephen Curry,Jordan Clarkson,Brandon Ingram,Anthony Davis,Kevon Looney,Elfrid Payton,Markieff Morris,Immanuel Quickley
Stephen Curry,Jordan Clarkson,Brandon Ingram,Kyle Kuzma,Rudy Gobert,Elfrid Payton,Reggie Bullock,Damion Lee
Stephen Curry,Jordan Clarkson,Kent Bazemore,Brandon Ingram,Anthony Davis,Nickeil Alexander-Walker,Kyle Kuzma,Kevin Knox
Stephen Curry,Bryn Forbes,Kent Bazemore,Anthony Davis,Mitchell Robinson,Elfrid Payton,Brandon Ingram,Joe Ingles
Stephen Curry,Dennis Schroder,Brandon Ingram,Thanasis Antetokounmpo,Giannis Antetokounmpo,Elfrid Payton,Kevin Knox,Brad Wanamaker
Stephen Curry,J.J. Redick,Brandon Ingram,Anthony Davis,Nerlens Noel,Elfrid Payton,Kyle Kuzma,Eric Paschall
