Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
24,2477450354,Mbowers331,0,195.43999,QB Ben Roethlisberger RB Nick Chubb RB J.K. Dobbins FLEX A.J. Brown WR Jarvis Landry WR JuJu Smith-Schuster WR Marquise Brown TE Eric Ebron DST Bears ,,Anthony Miller,WR,17.63%,4.4
25,2477350881,grindley.c (1/20),0,195.04,QB Ben Roethlisberger RB Derrick Henry RB James Conner WR Michael Thomas WR Diontae Johnson WR JuJu Smith-Schuster FLEX Chase Claypool TE Austin Hooper DST Titans ,,Ryan Tannehill,QB,16.80%,10.2
25,2477060207,dfstics (19/20),0,195.03998,QB Ben Roethlisberger FLEX Alvin Kamara RB J.K. Dobbins RB James Conner WR Jarvis Landry WR JuJu Smith-Schuster WR Chase Claypool TE Eric Ebron DST Titans ,,Jarvis Landry,WR,16.36%,20.2
27,2477313204,jerkydog (14/20),0,194.93999,QB Ben Roethlisberger FLEX Alvin Kamara RB Nick Chubb RB James Conner WR Michael Thomas WR Diontae Johnson WR Chase Claypool TE Eric Ebron DST Titans ,,Drew Brees,QB,15.77%,18.8
28,2477301763,fof_ze (2/3),0,194.84,QB Ben Roethlisberger RB Alvin Kamara RB Nick Chubb WR Diontae Johnson WR JuJu Smith-Schuster WR Chase Claypool FLEX Rashard Higgins TE Austin Hooper DST Saints ,,Emmanuel Sanders,WR,15.24%,2.3
29,2477242697,snalepka (11/20),0,194.69998,QB Drew Brees RB Alvin Kamara RB Nick Chubb WR Michael Thomas FLEX Diontae Johnson WR JuJu Smith-Schuster WR Chase Claypool TE Eric Ebron DST Titans ,,Titans ,DST,14.99%,8
30,2477438980,marleylola,0,194.44,QB Ben Roethlisberger RB Alvin Kamara RB David Montgomery FLEX Diontae Johnson WR JuJu Smith-Schuster WR Marquise Brown WR Chase Claypool TE Austin Hooper DST Titans ,,Kareem Hunt,RB,13.98%,19.1
30,2477484100,houseofshame (3/3),0,194.43999,QB Ben Roethlisberger RB Alvin Kamara RB James Conner WR Diontae Johnson WR Jarvis Landry WR JuJu Smith-Schuster FLEX Chase Claypool TE Cole Kmet DST Ravens ,,Jared Cook,TE,12.79%,8
32,2477085608,kjb03312019,0,194.34,QB Ben Roethlisberger RB Derrick Henry FLEX James Conner RB Kareem Hunt WR Diontae Johnson WR JuJu Smith-Schuster WR Marquise Brown TE Eric Ebron DST Saints ,,Cole Kmet,TE,11.50%,4.6
32,2477252277,viciouswolfpack (1/2),0,194.34,QB Ben Roethlisberger RB Alvin Kamara RB Nick Chubb WR Jarvis Landry WR JuJu Smith-Schuster WR Marquise Brown FLEX Chase Claypool TE Cole Kmet DST Saints ,,Gus Edwards,RB,10.29%,3.8
34,2477526711,Counts241,0,193.23999,QB Ben Roethlisberger RB David Montgomery RB Nick Chubb FLEX James Conner WR Diontae Johnson WR JuJu Smith-Schuster WR Chase Claypool TE Austin Hooper DST Saints ,,Ravens ,DST,9.52%,7
35,2477054360,RTR1003 (13/20),0,192.63998,QB Ben Roethlisberger RB Nick Chubb RB J.K. Dobbins WR Allen Robinson II WR Michael Thomas WR Diontae Johnson FLEX JuJu Smith-Schuster TE Eric Ebron DST Titans ,,Austin Hooper,TE,9.24%,17.6
36,2477379302,coaks (1/5),0,192.23999,QB Ben Roethlisberger RB Alvin Kamara RB J.K. Dobbins WR Diontae Johnson WR Jarvis Landry WR JuJu Smith-Schuster FLEX Marquise Brown TE Jimmy Graham DST Titans ,,Bears ,DST,8.62%,3
37,2477202508,erush (5/20),0,192.05998,QB Lamar Jackson RB Nick Chubb RB Latavius Murray WR Michael Thomas FLEX Diontae Johnson WR JuJu Smith-Schuster WR Chase Claypool TE Eric Ebron DST Saints ,,Jimmy Graham,FLEX,7.17%,10.5
38,2477224103,therock1812 (11/20),0,192.03998,QB Ben Roethlisberger RB Nick Chubb RB J.K. Dobbins FLEX Michael Thomas WR Diontae Johnson WR JuJu Smith-Schuster WR Chase Claypool TE Eric Ebron DST Steelers ,,Mitchell Trubisky,QB,7.13%,12.96
39,2477230407,jwarner308 (20/20),0,191.73999,QB Ben Roethlisberger RB Derrick Henry RB Kareem Hunt WR Michael Thomas WR Diontae Johnson WR Jarvis Landry FLEX JuJu Smith-Schuster TE Austin Hooper DST Titans ,,Dez Bryant,WR,6.60%,0
