Minimum Place,Payout
1,300
2,200
3,125
4,80
5,55
10,30
15,25
20,20
25,15
30,10
40,8
50,6
60,5
75,4
95,3
125,2
165,1.5
310,1
700,0.75
1650,0.5
3765,0.4
9080,0.3
21365,0.2
89179,0
