PG,SG,SF,PF,C,G,F,UTIL
Stephen Curry,Kendrick Nunn,Josh Okogie,James Johnson,Clint Capela,Malcolm Brogdon,Tobias Harris,Mason Plumlee
Luka Doncic,Wayne Ellington,Josh Okogie,Domantas Sabonis,Clint Capela,Evan Fournier,Marvin Bagley III,Kendrick Nunn
Dejounte Murray,Kendrick Nunn,Jerami Grant,Solomon Hill,Deandre Ayton,Victor Oladipo,Marvin Bagley III,Aaron Gordon
Kendrick Nunn,Wayne Ellington,Andrew Wiggins,Solomon Hill,Nikola Vucevic,Victor Oladipo,Domantas Sabonis,Richaun Holmes
Luka Doncic,Kendrick Nunn,Jae'Sean Tate,Tobias Harris,Nikola Vucevic,Damion Lee,Devin Vassell,Clint Capela
Kendrick Nunn,Victor Oladipo,Josh Okogie,Draymond Green,Clint Capela,Aaron Gordon,Kristaps Porzingis,Richaun Holmes
Trae Young,Kendrick Nunn,Josh Okogie,Kristaps Porzingis,Nikola Vucevic,Dejounte Murray,Jae'Sean Tate,James Wiseman
Malcolm Brogdon,Wayne Ellington,Josh Okogie,John Collins,Nikola Vucevic,Kendrick Nunn,Kelly Oubre,Joel Embiid
Brad Wanamaker,Kendrick Nunn,Jerami Grant,Marvin Bagley III,Nikola Vucevic,Shake Milton,Kristaps Porzingis,Clint Capela
Goran Dragic,Devin Vassell,Josh Okogie,P.J. Tucker,Clint Capela,Luka Doncic,Aaron Gordon,Chris Paul
Luka Doncic,Kendrick Nunn,Aaron Gordon,Kelly Oubre,Clint Capela,T.J. McConnell,Josh Jackson,Deandre Ayton
Luka Doncic,Kendrick Nunn,Josh Okogie,Cam Johnson,Christian Wood,Fred VanVleet,Aaron Gordon,James Wiseman
Goran Dragic,Paul George,Cam Johnson,James Johnson,Clint Capela,Jordan McLaughlin,Jerami Grant,Christian Wood
Goran Dragic,Damion Lee,Jerami Grant,Solomon Hill,Nikola Vucevic,Malcolm Brogdon,James Johnson,Jaylen Brown
Chris Paul,Kendrick Nunn,Jerami Grant,James Johnson,Nikola Vucevic,Jae'Sean Tate,John Collins,Richaun Holmes
Goran Dragic,Paul George,Josh Okogie,Solomon Hill,Deandre Ayton,Malcolm Brogdon,Draymond Green,Victor Oladipo
Jordan McLaughlin,Kendrick Nunn,Cam Johnson,Draymond Green,Nikola Vucevic,Fred VanVleet,Kristaps Porzingis,Joel Embiid
Derrick Rose,Kendrick Nunn,Eric Gordon,Solomon Hill,Nikola Vucevic,Malcolm Brogdon,Pascal Siakam,Deandre Ayton
Malcolm Brogdon,Kendrick Nunn,Cam Johnson,Pascal Siakam,Clint Capela,Anthony Edwards,P.J. Tucker,Joel Embiid
Goran Dragic,Victor Oladipo,Josh Okogie,James Johnson,Nikola Vucevic,Trae Young,Frank Kaminsky,Kyle Lowry
