Player_Name,Salary,Team,Pos,Opp,Proj_FP,Proj_Val
Michael Wacha,6000.00,STL,SP,LAD,14.29,2.38
Erick Fedde,5600.00,WAS,SP,SFG,11.97,2.14
Merrill Kelly,6600.00,ARI,SP,PHI,13.9,2.11
Vincent Velasquez,7800.00,PHI,SP,ARI,13.29,1.7
Jeff Samardzija,8700.00,SFG,SP,WAS,14.12,1.62
Tony Gonsolin,7000.00,LAD,SP,STL,10.89,1.56
