P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions,,,,,,,,
,,,,,,,,,,,SP,Adonis Medina (13082448),Adonis Medina,13082448,P,7600,PHI@ARI 08/05/2019 09:40PM ET,PHI,0
,,,,,,,,,,,SP,Dustin May (13082495),Dustin May,13082495,P,7600,STL@LAD 08/05/2019 10:10PM ET,LAD,7.35
,,,,,,,,,,,SP,Madison Bumgarner (13082157),Madison Bumgarner,13082157,P,7600,WAS@SF 08/05/2019 09:45PM ET,SF,16.72
,,,,,,,,,,,SP,Ross Stripling (13082331),Ross Stripling,13082331,P,7500,STL@LAD 08/05/2019 10:10PM ET,LAD,8.59
,,,,,,,,,,,SP,Jason Vargas (13082114),Jason Vargas,13082114,P,7400,PHI@ARI 08/05/2019 09:40PM ET,PHI,13.16
,,,,,,,,,,,SP,Andrew Suarez (13082332),Andrew Suarez,13082332,P,7300,WAS@SF 08/05/2019 09:45PM ET,SF,1.88
,,,,,,,,,,,RP,Sam Coonrod (13082429),Sam Coonrod,13082429,P,7300,WAS@SF 08/05/2019 09:45PM ET,SF,3.77
,,,,,,,,,,,SP,Adam Wainwright (13082092),Adam Wainwright,13082092,P,7200,STL@LAD 08/05/2019 10:10PM ET,STL,13.77
,,,,,,,,,,,SP,Austin Voth (13082351),Austin Voth,13082351,P,7200,WAS@SF 08/05/2019 09:45PM ET,WAS,13.42
,,,,,,,,,,,SP,Jerad Eickhoff (13082288),Jerad Eickhoff,13082288,P,7100,PHI@ARI 08/05/2019 09:40PM ET,PHI,10.37
,,,,,,,,,,,SP,Ranger Suarez (13082389),Ranger Suarez,13082389,P,7100,PHI@ARI 08/05/2019 09:40PM ET,PHI,5.13
,,,,,,,,,,,SP,Corbin Martin (13082487),Corbin Martin,13082487,P,7100,PHI@ARI 08/05/2019 09:40PM ET,ARI,8.1
,,,,,,,,,,,SP,Alex Young (13082386),Alex Young,13082386,P,7000,PHI@ARI 08/05/2019 09:40PM ET,ARI,16.11
,,,,,,,,,,,SP,Bo Takahashi (13082446),Bo Takahashi,13082446,P,7000,PHI@ARI 08/05/2019 09:40PM ET,ARI,0
,,,,,,,,,,,SP,Enyel De Los Santos (13082481),Enyel De Los Santos,13082481,P,7000,PHI@ARI 08/05/2019 09:40PM ET,PHI,2.79
,,,,,,,,,,,SP,Kenta Maeda (13082153),Kenta Maeda,13082153,P,7000,STL@LAD 08/05/2019 10:10PM ET,LAD,13.04
,,,,,,,,,,,SP,Tony Gonsolin (13082497),Tony Gonsolin,13082497,P,7000,STL@LAD 08/05/2019 10:10PM ET,LAD,7.3
,,,,,,,,,,,SP,Logan Webb (13082436),Logan Webb,13082436,P,7000,WAS@SF 08/05/2019 09:45PM ET,SF,0
,,,,,,,,,,,SP,James Bourque (13082440),James Bourque,13082440,P,7000,WAS@SF 08/05/2019 09:45PM ET,WAS,-9.5
,,,,,,,,,,,SP,Zack Godley (13082236),Zack Godley,13082236,P,6900,PHI@ARI 08/05/2019 09:40PM ET,ARI,4.41
