P,P,C,1B,2B,3B,SS,OF,OF,OF
Michael Wacha,Jeff Samardzija,J.T. Realmuto,Rhys Hoskins,Cesar Hernandez,Eduardo Escobar,Jean Segura,David Peralta,Bryce Harper,Marcell Ozuna
Michael Wacha,Jeff Samardzija,J.T. Realmuto,Rhys Hoskins,Ketel Marte,Matt Carpenter,Jean Segura,David Peralta,Bryce Harper,Scott Kingery
Michael Wacha,Jeff Samardzija,J.T. Realmuto,Jake Lamb,Ketel Marte,Eduardo Escobar,Paul DeJong,David Peralta,Bryce Harper,Adam Jones
Erick Fedde,Jeff Samardzija,J.T. Realmuto,Rhys Hoskins,Cesar Hernandez,Matt Carpenter,Jean Segura,David Peralta,Bryce Harper,Cody Bellinger
Michael Wacha,Jeff Samardzija,Buster Posey,Christian Walker,Ketel Marte,Eduardo Escobar,Jean Segura,David Peralta,Bryce Harper,Adam Jones
Michael Wacha,Merrill Kelly,Buster Posey,Jake Lamb,Ketel Marte,Eduardo Escobar,Trea Turner,Adam Eaton,David Peralta,Adam Jones
Merrill Kelly,Jeff Samardzija,Buster Posey,Joc Pederson,Ketel Marte,Justin Turner,Corey Seager,David Peralta,Cody Bellinger,Alex Verdugo
Erick Fedde,Merrill Kelly,Will Smith,Joc Pederson,Ketel Marte,Justin Turner,Corey Seager,Adam Eaton,David Peralta,Cody Bellinger
Erick Fedde,Jeff Samardzija,J.T. Realmuto,Joc Pederson,Cesar Hernandez,Justin Turner,Jean Segura,Bryce Harper,Cody Bellinger,Scott Kingery
Erick Fedde,Merrill Kelly,Carson Kelly,Jake Lamb,Ketel Marte,Eduardo Escobar,Trea Turner,Adam Eaton,David Peralta,Cody Bellinger
Erick Fedde,Jeff Samardzija,Will Smith,Joc Pederson,Cesar Hernandez,Justin Turner,Corey Seager,David Peralta,Bryce Harper,Cody Bellinger
Michael Wacha,Jeff Samardzija,J.T. Realmuto,Rhys Hoskins,Ketel Marte,Eduardo Escobar,Jean Segura,Bryce Harper,Mike Yastrzemski,Adam Haseley
Erick Fedde,Vincent Velasquez,J.T. Realmuto,Rhys Hoskins,Cesar Hernandez,Justin Turner,Jean Segura,Adam Eaton,Bryce Harper,Cody Bellinger
Michael Wacha,Jeff Samardzija,J.T. Realmuto,Paul Goldschmidt,Cesar Hernandez,Eduardo Escobar,Jean Segura,Bryce Harper,Mike Yastrzemski,Scott Kingery
Michael Wacha,Erick Fedde,J.T. Realmuto,Christian Walker,Ketel Marte,Eduardo Escobar,Trea Turner,David Peralta,Bryce Harper,Adam Jones
Michael Wacha,Jeff Samardzija,Carson Kelly,Jake Lamb,Ketel Marte,Eduardo Escobar,Jean Segura,David Peralta,Bryce Harper,Mike Yastrzemski
Merrill Kelly,Jeff Samardzija,Will Smith,Joc Pederson,Ketel Marte,Justin Turner,Corey Seager,Dexter Fowler,Mike Yastrzemski,Cody Bellinger
Michael Wacha,Erick Fedde,J.T. Realmuto,Rhys Hoskins,Ketel Marte,Eduardo Escobar,Jean Segura,Adam Eaton,Bryce Harper,Scott Kingery
Merrill Kelly,Jeff Samardzija,Will Smith,Max Muncy,Ketel Marte,Justin Turner,Corey Seager,Steven Duggar,David Peralta,Cody Bellinger
Michael Wacha,Merrill Kelly,Carson Kelly,Christian Walker,Ketel Marte,Eduardo Escobar,Trea Turner,Adam Eaton,David Peralta,Juan Soto
