Player_Name,Salary,Team,Pos,Opp,Proj_FP,pown%
Will Barton,5500.00,DEN,SG/SF,OKC,32.4,30.00%
Norman Powell,3300.00,TOR,SG/SF,WAS,19.37,0.01%
Khris Middleton,7100.00,MIL,SG/SF,MIN,41.25,15.00%
Kyle Lowry,7300.00,TOR,PG,WAS,42.09,20.00%
Wayne Selden,4000.00,MEM,PG/SG,DET,22.74,42.50%
Dillon Brooks,4400.00,MEM,SG/SF,DET,24.98,10.00%
Serge Ibaka,4900.00,TOR,PF/C,WAS,27.6,12.50%
Malcolm Brogdon,5300.00,MIL,PG/SG,MIN,29.52,35.00%
Jamal Murray,5700.00,DEN,PG/SG,OKC,31.7,35.00%
Delon Wright,4000.00,TOR,PG/SG,WAS,22.2,7.50%
Nikola Jokic,8100.00,DEN,C,OKC,44.11,20.00%
DeMar DeRozan,7800.00,TOR,SG/SF,WAS,42.08,17.50%
Giannis Antetokounmpo,10400.00,MIL,SF/PF,MIN,55.63,22.50%
Carmelo Anthony,5800.00,OKC,SF/PF,DEN,31,30.00%
Gary Harris,5800.00,DEN,SG,OKC,30.66,15.00%
Tim Frazier,3900.00,WAS,PG,TOR,20.43,4.00%
Jonas Valanciunas,5600.00,TOR,C,WAS,29.21,17.50%
Russell Westbrook,11300.00,OKC,PG,DEN,58.89,32.50%
Andrew Harrison,4300.00,MEM,PG/SG,DET,22.29,15.00%
Marc Gasol,7600.00,MEM,C,DET,39.06,10.00%
LaMarcus Aldridge,7700.00,SAS,PF/C,HOU,39.49,12.50%
Markieff Morris,6200.00,WAS,SF/PF,TOR,31.65,10.00%
Paul George,7500.00,OKC,SF,DEN,38.01,17.50%
John Henson,4900.00,MIL,C,MIN,24.76,10.00%
Tomas Satoransky ,4600.00,WAS,PG/SG,TOR,23.24,10.00%
Taj Gibson,5400.00,MIN,PF/C,MIL,27.12,10.00%
Bradley Beal,8400.00,WAS,SG,TOR,41.78,12.50%
Blake Griffin,7900.00,DET,PF/C,MEM,39.08,15.00%
James Harden,11400.00,HOU,PG/SG,SAS,55.63,12.50%
Andre Drummond,9400.00,DET,C,MEM,45.67,12.50%
Jeff Teague,5500.00,MIN,PG,MIL,26.72,12.50%
Andrew Wiggins,6000.00,MIN,SG/SF,MIL,29.15,15.00%
Pau Gasol,5700.00,SAS,PF/C,HOU,27.63,10.00%
Steven Adams,6300.00,OKC,C,DEN,30.51,25.00%
Kyle Anderson,5100.00,SAS,SG/SF,HOU,24.66,12.50%
Karl-Anthony Towns,8700.00,MIN,C,MIL,42.08,12.50%
Dejounte Murray,5900.00,SAS,PG,HOU,28.27,10.00%
P.J. Tucker,3800.00,HOU,SF/PF,SAS,18.22,10.00%
Trey Lyles,5200.00,DEN,SF/PF,OKC,24.85,12.50%
Ryan Anderson,4400.00,HOU,PF/C,SAS,20.91,5.00%
Jakob Poeltl,3600.00,TOR,PF/C,WAS,17.06,5.00%
Ish Smith,5500.00,DET,PG,MEM,25.77,12.50%
Chris Paul,9100.00,HOU,PG/SG,SAS,42.72,10.00%
Otto Porter,6600.00,WAS,SF/PF,TOR,30.91,10.00%
Marcin Gortat,4600.00,WAS,C,TOR,21.43,5.00%
Manu Ginobili,3900.00,SAS,SG/SF,HOU,17.99,7.50%
Kelly Oubre,4700.00,WAS,SG/SF,TOR,21.65,7.50%
Matthew Dellavedova,3800.00,MIL,PG/SG,MIN,17.47,1.00%
Jimmy Butler,8600.00,MIN,SG,MIL,39.36,10.00%
JaMychal Green,5100.00,MEM,SF/PF,DET,23.33,2.50%
Clint Capela,6800.00,HOU,C,SAS,30.77,12.50%
Stanley Johnson,5400.00,DET,SG/SF,MEM,24.36,5.00%
Danny Green,4300.00,SAS,SG/SF,HOU,19.15,7.50%
Luc Richard Mbah a Moute,4200.00,HOU,SF/PF,SAS,18.42,2.50%
Jerami Grant,3400.00,OKC,SF/PF,DEN,14.88,5.00%
Pascal Siakam,3500.00,TOR,PF,WAS,15.34,0.01%
Jarell Martin,4700.00,MEM,PF/C,DET,20.34,10.00%
Raymond Felton,3400.00,OKC,PG/SG,DEN,14.5,2.00%
Sterling Brown,3700.00,MIL,SG,MIN,15.66,5.00%
Reggie Bullock,5000.00,DET,SG/SF,MEM,20.34,4.00%
Tony Parker,3800.00,SAS,PG,HOU,15.42,1.00%
Luke Kennard,4000.00,DET,SG,MEM,16.03,1.00%
Dwight Buycks,3400.00,DET,PG,MEM,13.58,2.50%
Josh Huestis,3300.00,OKC,SF,DEN,13.02,1.00%
Anthony Tolliver,4600.00,DET,SF/PF,MEM,17.83,2.50%
OG Anunoby,3400.00,TOR,SF/PF,WAS,13.2,0.01%
Mike Scott,3700.00,WAS,PF,TOR,14.21,0.01%
Gorgui Dieng,3400.00,MIN,PF/C,MIL,13.07,5.00%
Jamal Crawford,3700.00,MIN,SG,MIL,14.14,1.00%
Darrell Arthur,3400.00,DEN,PF,OKC,12.88,0.01%
Wilson Chandler,4100.00,DEN,SF/PF,OKC,15.46,5.00%
Gerald Green,5600.00,HOU,SG/SF,SAS,21.09,5.00%
Patty Mills,3900.00,SAS,PG,HOU,14.58,1.00%
Tony Snell,3800.00,MIL,SG/SF,MIN,14.17,1.00%
Thon Maker,3200.00,MIL,PF/C,MIN,11.92,1.00%
Nene ,3400.00,HOU,C,SAS,12.54,0.01%
Emmanuel Mudiay,3700.00,DEN,PG,OKC,12.03,0.01%
Bryn Forbes,3900.00,SAS,PG/SG,HOU,12.6,0.01%
Davis Bertans,4000.00,SAS,SF/PF,HOU,12.89,2.50%
Nemanja Bjelica,3800.00,MIN,SF/PF,MIL,11.42,0.01%
Deyonta Davis ,3600.00,MEM,PF/C,DET,10.75,0.01%
James Ennis,3500.00,MEM,SG/SF,DET,10.31,0.01%
Terrance Ferguson,3300.00,OKC,SG/SF,DEN,9.5,0.01%
Myke Henry,3100.00,MEM,SG/SF,DET,8.77,2.50%
Ben McLemore,3500.00,MEM,SG/SF,DET,9.89,0.01%
Ian Mahinmi,3300.00,WAS,C,TOR,9.08,0.01%
Torrey Craig,3400.00,DEN,SG/SF,OKC,8.91,0.01%
Tyus Jones,4000.00,MIN,PG/SG,MIL,10.41,1.00%
Patrick Patterson,3000.00,OKC,PF/C,DEN,6.85,0.01%
Alex Abrines,3200.00,OKC,SG/SF,DEN,6.5,0.01%
