Player_Name,Salary,Team,Pos,Opp,Proj_FP,pown%
Richaun Holmes,3600.00,PHI,PF,MEM,23.93,35.00%
Ersan Ilyasova,4600.00,PHI,PF,MEM,27.5,20.00%
Zach Randolph,5000.00,MEM,PF/C,PHI,29.67,10.00%
Gerald Henderson,3500.00,PHI,SG,MEM,20.65,10.00%
Derrick Williams,3000.00,MIA,SF,NYK,17.54,0.01%
Marcin Gortat,6100.00,WAS,C,ORL,35.59,5.00%
Tyler Johnson,5200.00,MIA,PG,NYK,30.23,10.00%
Pau Gasol,5100.00,SAS,C,MIN,29.47,7.50%
Rodney Hood,5300.00,UTA,SG,PHO,30.19,12.50%
John Wall,8700.00,WAS,PG,ORL,49.59,35.00%
Sergio Rodriguez,5000.00,PHI,PG,MEM,28.42,17.50%
Patty Mills,4200.00,SAS,PG,MIN,23.77,2.00%
Karl-Anthony Towns,8100.00,MIN,C,SAS,45.73,22.50%
Ricky Rubio,4700.00,MIN,PG,SAS,26.55,15.00%
Shelvin Mack,3800.00,UTA,PG,PHO,21.43,2.00%
Dario Saric,4900.00,PHI,SF/PF,MEM,27.61,17.50%
Robin Lopez,4900.00,CHI,C,DET,27.17,10.00%
Marcus Thornton,3000.00,WAS,SG,ORL,16.61,0.01%
LaMarcus Aldridge,6300.00,SAS,PF/C,MIN,34.9,20.00%
Tony Allen,3900.00,MEM,SG,PHI,21.5,17.50%
Jarell Martin,3100.00,MEM,PF,PHI,16.87,0.01%
Dwyane Wade,6200.00,CHI,SG,DET,33.35,12.50%
Joakim Noah,3700.00,NYK,C,MIA,19.89,1.00%
Rodney McGruder,3600.00,MIA,SG,NYK,19.37,1.00%
Elfrid Payton,4400.00,ORL,PG,WAS,23.64,7.50%
Rajon Rondo,6500.00,CHI,PG,DET,34.79,20.00%
Andrew Wiggins,6000.00,MIN,SF,SAS,31.82,7.50%
Zach LaVine,5700.00,MIN,SG,SAS,30.09,25.00%
Marcus Morris,5100.00,DET,SF,CHI,26.86,5.00%
Jimmy Butler,8900.00,CHI,SG/SF,DET,46.87,32.50%
Aaron Gordon,4200.00,ORL,SF/PF,WAS,22.03,2.50%
Kristaps Porzingis,8000.00,NYK,PF,MIA,41.92,20.00%
Nikola Vucevic,6100.00,ORL,C,WAS,31.84,5.00%
Troy Williams,4400.00,MEM,SF,PHI,22.92,5.00%
Andre Drummond,7500.00,DET,C,CHI,39,22.50%
Hassan Whiteside,9600.00,MIA,C,NYK,49.53,35.00%
Nik Stauskas,3900.00,PHI,SG,MEM,20.14,5.00%
Serge Ibaka,6300.00,ORL,PF/C,WAS,32.47,7.50%
Marc Gasol,7400.00,MEM,C,PHI,38.11,15.00%
Rudy Gobert,6400.00,UTA,C,PHO,32.95,5.00%
Markieff Morris,5200.00,WAS,SF/PF,ORL,26.6,15.00%
Goran Dragic,7300.00,MIA,PG,NYK,37.39,17.50%
Jon Leuer,4500.00,DET,PF,CHI,22.93,5.00%
Troy Daniels,4700.00,MEM,SG,PHI,23.93,10.00%
Kawhi Leonard,7800.00,SAS,SF,MIN,39.68,30.00%
Gordon Hayward,8200.00,UTA,SF,PHO,41.1,20.00%
Evan Fournier,5400.00,ORL,SG,WAS,26.81,12.50%
Otto Porter,6600.00,WAS,SF/PF,ORL,32.76,15.00%
Kentavious Caldwell-Pope,5700.00,DET,SG,CHI,28.23,7.50%
Isaiah Canaan,3100.00,CHI,SG,DET,15.28,0.25%
Boris Diaw,3000.00,UTA,PF/C,PHO,14.73,0.01%
Josh McRoberts,3200.00,MIA,PF/C,NYK,15.68,5.00%
Bismack Biyombo,4700.00,ORL,C,WAS,22.98,0.50%
Brandon Jennings,4000.00,NYK,PG,MIA,19.48,1.00%
Carmelo Anthony,7600.00,NYK,SF,MIA,36.68,20.00%
Reggie Jackson,5600.00,DET,PG,CHI,27.04,10.00%
Wayne Ellington,4200.00,MIA,SG,NYK,20.22,12.50%
Joe Ingles,3200.00,UTA,SF,PHO,15.25,0.01%
D.J. Augustin,3800.00,ORL,PG,WAS,18.01,2.00%
Tobias Harris,6000.00,DET,SF/PF,CHI,28.33,15.00%
Dante Exum,3100.00,UTA,PG,PHO,14.59,0.01%
Bradley Beal,7000.00,WAS,SG,ORL,32.91,15.00%
Nicolas Laprovittola,3000.00,SAS,PG,MIN,14.09,0.01%
Gorgui Dieng,5200.00,MIN,PF/C,SAS,24.39,7.50%
Nikola Mirotic,4200.00,CHI,SF/PF,DET,19.4,1.00%
Derrick Rose,6400.00,NYK,PG,MIA,29.57,10.00%
JaMychal Green,5700.00,MEM,PF,PHI,26.18,2.50%
Dewayne Dedmon,3300.00,SAS,C,MIN,14.9,0.25%
Trey Lyles,4100.00,UTA,PF/C,PHO,18.46,0.25%
Taj Gibson,5800.00,CHI,PF/C,DET,25.96,10.00%
Timothe Luwawu-Cabarrot,3000.00,PHI,SG,MEM,13.43,
Justin Holiday,4500.00,NYK,SG/SF,MIA,19.68,0.25%
