Player_Name,Salary,Team,Pos,Opp,Proj_FP,pown%
Danilo Gallinari,6300.00,LAC,SF,GSW,40.89,48.70%
Patrick Beverley,4400.00,LAC,PG,GSW,27.72,36.10%
Kevin Durant,8200.00,GSW,SF,LAC,49.9,62.20%
Stephen Curry,8300.00,GSW,PG,LAC,49.67,66.20%
Klay Thompson,6100.00,GSW,SG,LAC,34.75,57.20%
Landry Shamet,3700.00,LAC,PG,GSW,20.69,29.10%
Draymond Green,6600.00,GSW,PF,LAC,36.53,49.00%
JaMychal Green,3900.00,LAC,PF,GSW,21.49,28.60%
Shai Gilgeous-Alexander,4700.00,LAC,PG,GSW,25.71,34.40%
Montrezl Harrell,6000.00,LAC,C,GSW,32.12,46.20%
Lou Williams,6900.00,LAC,SG,GSW,36.88,53.20%
Andrew Bogut,4800.00,GSW,C,LAC,24.11,30.10%
Andre Iguodala,4200.00,GSW,SF,LAC,20.92,28.20%
Kevon Looney,3600.00,GSW,PF,LAC,17.66,20.70%
Shaun Livingston,3000.00,GSW,PG,LAC,10.12,0.10%
Garrett Temple,3000.00,LAC,SG,GSW,8.53,3.00%
Alfonzo McKinnie,3000.00,GSW,PF,LAC,6.34,0.10%
Jerome Robinson,3100.00,LAC,SG,GSW,4.07,1.00%
Wilson Chandler,3000.00,LAC,SF,GSW,1.44,4.70%
