Player_Name,Salary,Team,Pos,Opp,Proj_FP,pown%
Trey Lyles,3100.00,DEN,SF/PF,POR,26.08,19.10%
Mason Plumlee,4700.00,DEN,PF/C,POR,37.52,43.00%
Dirk Nowitzki,3600.00,DAL,PF/C,MEM,26.2,0.00%
Monte Morris,4300.00,DEN,PG,POR,30.88,36.50%
Jaylen Adams,3400.00,ATL,PG,MIL,23.98,7.10%
JaMychal Green,4300.00,LAC,SF/PF,GSW,29.96,6.40%
Jakob Poeltl,3700.00,SAS,C,CLE,24.95,0.00%
Royce O'Neale,3500.00,UTA,SF,LAL,23.33,6.40%
Wesley Matthews,4300.00,IND,SG/SF,BKN,28.46,0.00%
Salah Mejri,3500.00,DAL,C,MEM,23.17,0.00%
Delon Wright,6500.00,MEM,PG/SG,DAL,42.11,0.00%
Sam Dekker,3300.00,WAS,SF/PF,NYK,21.03,7.20%
Dennis Schroder,5200.00,OKC,PG/SG,MIN,32.82,0.00%
Will Barton,4200.00,DEN,SG/SF,POR,26.47,7.90%
Cedi Osman,5100.00,CLE,SF/PF,SAS,31.86,0.00%
Tyus Jones,5400.00,MIN,PG,OKC,33.69,0.00%
Brandon Knight,3700.00,CLE,PG/SG,SAS,22.95,0.00%
Devin Harris,3300.00,DAL,PG/SG,MEM,20.47,0.00%
Alex Len,5100.00,ATL,C,MIL,31.53,7.20%
Taurean Prince,4900.00,ATL,SF,MIL,30.22,8.70%
Jeremy Lamb,5300.00,CHA,SG/SF,DET,32.63,0.00%
Mitchell Robinson,7100.00,NYK,C,WAS,43.63,26.30%
Dwight Powell,6000.00,DAL,C,MEM,36.92,0.00%
Justin Holiday,4800.00,MEM,SG/SF,DAL,29.54,0.00%
Thabo Sefolosha,3500.00,UTA,SF/PF,LAL,21.48,1.40%
De'Aaron Fox,6900.00,SAC,PG,NOP,42.39,21.60%
Ryan Broekhoff,3400.00,DAL,SG/SF,MEM,20.76,0.00%
Bogdan Bogdanovic,4900.00,SAC,SG/SF,NOP,29.67,1.80%
DeMarre Carroll,4700.00,BKN,SF/PF,IND,28.37,0.00%
Damyean Dotson,5200.00,NYK,SG/SF,WAS,31.13,0.70%
DeMarcus Cousins,6800.00,GSW,C,LAC,40.66,22.00%
Nemanja Bjelica,4000.00,SAC,PF,NOP,23.68,5.50%
Deyonta Davis ,3300.00,ATL,C,MIL,19.49,5.60%
Spencer Dinwiddie,5400.00,BKN,PG/SG,IND,31.86,0.00%
Harrison Barnes,4700.00,SAC,SF/PF,NOP,27.71,4.30%
Goran Dragic,6300.00,MIA,PG,TOR,37.04,0.00%
Devonte' Graham,3500.00,CHA,PG/SG,DET,20.56,0.00%
Isaiah Thomas,3000.00,DEN,PG,POR,17.58,5.80%
Jahlil Okafor,4000.00,NOP,C,SAC,23.43,7.20%
Trey Burke,4600.00,DAL,PG/SG,MEM,26.88,0.00%
Gary Harris,4000.00,DEN,SG,POR,23.22,0.10%
Chasson Randle,3200.00,WAS,PG/SG,NYK,18.42,1.10%
Mario Hezonja,5600.00,NYK,SF/PF,WAS,32.18,7.50%
Landry Shamet,3900.00,LAC,SG/SF,GSW,22.44,4.50%
Buddy Hield,6800.00,SAC,SG/SF,NOP,38.76,20.50%
Davis Bertans,3400.00,SAS,SF/PF,CLE,19.35,0.00%
Frank Kaminsky,4900.00,CHA,PF/C,DET,27.8,0.00%
Dwayne Bacon,5000.00,CHA,SG/SF,DET,28.24,0.00%
Dario Saric,5100.00,MIN,PF,OKC,28.77,0.00%
Malik Monk,3500.00,CHA,PG/SG,DET,19.72,0.00%
Patty Mills,3500.00,SAS,PG/SG,CLE,19.72,0.00%
Lance Thomas,3200.00,NYK,SF/PF,WAS,18.03,1.50%
Jerami Grant,5300.00,OKC,PF,MIN,29.7,0.00%
Jae Crowder,4600.00,UTA,SF/PF,LAL,25.61,2.90%
Kyrie Irving,8700.00,BOS,PG,ORL,48.17,24.30%
Alex Caruso,6100.00,LAL,PG/SG,UTA,33.72,0.80%
Ivan Rabb,5300.00,MEM,PF/C,DAL,29.23,0.00%
Langston Galloway,3500.00,DET,PG/SG,CHA,19.27,0.00%
Miles Bridges,5300.00,CHA,SF/PF,DET,29.17,0.00%
Marc Gasol,6100.00,TOR,C,MIA,33.38,0.00%
Georges Niang,3300.00,UTA,SF/PF,LAL,18.04,0.40%
Blake Griffin,8100.00,DET,PF/C,CHA,44.06,0.00%
Joe Harris,5100.00,BKN,SG/SF,IND,27.64,0.00%
DeMar DeRozan,7700.00,SAS,SG/SF,CLE,41.66,0.00%
Klay Thompson,6300.00,GSW,SG,LAC,34.02,5.00%
Mike Muscala,3600.00,LAL,PF/C,UTA,19.45,0.90%
Elfrid Payton,7000.00,NOP,PG,SAC,37.72,15.90%
Tyler Dorsey,4700.00,MEM,PG/SG,DAL,25.32,0.00%
Caris LeVert,5600.00,BKN,SG/SF,IND,30.13,0.00%
Torrey Craig,3600.00,DEN,SG/SF,POR,19.33,1.60%
Justin Jackson,4300.00,DAL,SG/SF,MEM,23.09,0.00%
Marcus Smart,4500.00,BOS,PG/SG,ORL,24.17,5.60%
Larry Nance Jr.,6300.00,CLE,PF/C,SAS,33.79,0.00%
Fred VanVleet,5600.00,TOR,PG,MIA,30.03,0.00%
Steven Adams,6400.00,OKC,C,MIN,34.15,0.00%
Jevon Carter,3200.00,MEM,PG/SG,DAL,17.09,0.00%
Willie Cauley-Stein,5100.00,SAC,C,NOP,27.15,0.10%
Wayne Ellington,5000.00,DET,SG/SF,CHA,26.56,0.00%
P.J. Tucker,3700.00,HOU,SF/PF,PHO,19.66,2.10%
Maurice Harkless,4400.00,POR,SF/PF,DEN,23.37,3.20%
Myles Turner,7000.00,IND,C,BKN,36.87,0.00%
Kyle Lowry,6700.00,TOR,PG,MIA,35.23,0.00%
Donovan Mitchell,8600.00,UTA,PG/SG,LAL,45.25,19.60%
Eric Gordon,4500.00,HOU,SG/SF,PHO,23.69,1.90%
Bryn Forbes,4700.00,SAS,PG/SG,CLE,24.72,0.00%
Thaddeus Young,6000.00,IND,SF/PF,BKN,31.5,0.00%
Juancho Hernangomez,3000.00,DEN,SF/PF,POR,15.74,3.00%
Montrezl Harrell,5900.00,LAC,PF/C,GSW,30.99,6.30%
Luke Kennard,3900.00,DET,SG/SF,CHA,20.39,0.00%
