Player_Name,Salary,Team,Pos,Opp,Proj_FP,pown%
Jalen Brunson,3300.00,DAL,PG,CHI,30.49,56.60%
Trey Burke,3400.00,DAL,PG/SG,CHI,22.54,28.80%
Grant Williams,1800.00,BOS,SF/PF,DET,11.75,0.00%
Josh Richardson,5000.00,DAL,SG/SF,CHI,31.29,45.60%
Dorian Finney-Smith,4200.00,DAL,SF/PF,CHI,25.96,35.70%
Ed Davis,3300.00,MIN,C,DEN,20.19,1.00%
Tim Hardaway Jr.,5800.00,DAL,SG,CHI,35.27,40.70%
Thaddeus Young,3900.00,CHI,PF,DAL,22.6,21.80%
Talen Horton-Tucker,3100.00,LAL,SF,MEM,17.86,15.90%
Maxi Kleber,4000.00,DAL,PF/C,CHI,22.59,22.80%
Zach LaVine,7300.00,CHI,SG,DAL,40.79,30.80%
Stephen Curry,9400.00,GSW,PG,POR,51.91,30.80%
Rudy Gobert,7200.00,UTA,C,SAS,39.61,27.80%
Jakob Poeltl,4500.00,SAS,C,UTA,24.63,0.10%
Nikola Jokic,10600.00,DEN,C,MIN,57.53,32.70%
Lonnie Walker IV,4200.00,SAS,SG,UTA,22.8,3.00%
Coby White,6200.00,CHI,PG/SG,DAL,33.51,17.90%
Paul Millsap,4500.00,DEN,PF/C,MIN,24.21,15.90%
Denzel Valentine,3300.00,CHI,SG,DAL,17.7,4.00%
Donovan Mitchell,7100.00,UTA,PG/SG,SAS,37.88,18.90%
DeMar DeRozan,7500.00,SAS,SF/PF,UTA,39.9,21.80%
Kyrie Irving,9000.00,BKN,PG,WAS,47.75,23.80%
Robert Covington,5000.00,POR,PF,GSW,26.48,12.90%
Will Barton,5400.00,DEN,SG/SF,MIN,28.53,16.90%
Timothe Luwawu-Cabarrot,3300.00,BKN,SF,WAS,17.37,0.10%
Kevin Durant,9300.00,BKN,PF,WAS,48.6,27.80%
Dejounte Murray,6700.00,SAS,PG,UTA,34.96,2.00%
D'Angelo Russell,7400.00,MIN,PG/SG,DEN,38.65,13.90%
Gary Harris,3800.00,DEN,SG/SF,MIN,19.72,7.90%
Isaiah Stewart,2600.00,DET,C,BOS,13.48,0.00%
Jarrett Culver,4100.00,MIN,PF,DEN,21.17,7.90%
Dillon Brooks,6300.00,MEM,SG/SF,LAL,32.18,10.90%
Russell Westbrook,10200.00,WAS,PG,BKN,52.03,22.80%
De'Anthony Melton,3700.00,MEM,PG/SG,LAL,18.71,3.00%
Jusuf Nurkic,6400.00,POR,C,GSW,32.17,8.90%
Dwight Powell,4300.00,DAL,C,CHI,21.63,2.00%
Jamal Murray,7200.00,DEN,PG,MIN,35.84,6.00%
Ricky Rubio,5000.00,MIN,PG,DEN,24.86,10.90%
Otto Porter Jr.,6200.00,CHI,SF/PF,DAL,30.78,7.90%
Mike Conley,6900.00,UTA,PG,SAS,34.22,3.00%
Joe Ingles,4700.00,UTA,SG/SF,SAS,23.32,6.00%
Derrick Jones Jr.,4600.00,POR,SF/PF,GSW,22.69,4.00%
Bradley Beal,9100.00,WAS,SG,BKN,44.46,6.90%
Andrew Wiggins,6900.00,GSW,SG/SF,POR,33.7,6.90%
Carmelo Anthony,4300.00,POR,PF,GSW,20.84,2.00%
LeBron James,10100.00,LAL,PG/SF,MEM,48.84,8.90%
Damian Lillard,9800.00,POR,PG,GSW,47.31,6.90%
Juancho Hernangomez,3200.00,MIN,PF,DEN,15.47,0.10%
Royce O'Neale,4400.00,UTA,SF/PF,SAS,21.19,3.00%
Wendell Carter Jr.,6000.00,CHI,C,DAL,28.92,5.00%
Keldon Johnson,6100.00,SAS,SG/SF,UTA,29.36,5.00%
Anthony Davis,9700.00,LAL,PF/C,MEM,46.43,8.90%
Paul George,8700.00,LAC,SG,PHO,41.49,3.00%
Gorgui Dieng,3900.00,MEM,C,LAL,18.6,1.00%
Thomas Bryant,6600.00,WAS,C,BKN,31.36,2.00%
Kawhi Leonard,9600.00,LAC,SF,PHO,45.52,6.00%
Jordan Clarkson,4800.00,UTA,PG/SG,SAS,22.75,1.00%
JaMychal Green,3400.00,DEN,PF,MIN,16.08,1.00%
Tristan Thompson,5400.00,BOS,C,DET,25.56,0.00%
P.J. Dozier,3400.00,DEN,SG/SF,MIN,15.99,0.10%
Nicolas Batum,4800.00,LAC,SF/PF,PHO,22.56,0.10%
Monte Morris,4600.00,DEN,PG,MIN,21.35,0.10%
C.J. McCollum,8400.00,POR,PG/SG,GSW,38.91,3.00%
Rudy Gay,5100.00,SAS,SF/PF,UTA,23.54,0.10%
Killian Hayes,3800.00,DET,PG,BOS,17.53,0.00%
Dennis Schroder,6800.00,LAL,PG/SG,MEM,31.29,0.10%
Patty Mills,3700.00,SAS,PG/SG,UTA,16.99,2.00%
Malik Beasley,5900.00,MIN,SG,DEN,27.04,0.10%
Jonas Valanciunas,8000.00,MEM,C,LAL,36.57,2.00%
Kyle Anderson,6400.00,MEM,SF/PF,LAL,29.22,1.00%
Kelly Oubre,6000.00,GSW,SF/PF,POR,27.23,1.00%
Jarrett Allen,5600.00,BKN,C,WAS,25.35,1.00%
Patrick Beverley,3900.00,LAC,PG,PHO,17.68,0.10%
Jayson Tatum,10600.00,BOS,SF/PF,DET,47.88,0.00%
Anthony Edwards,5200.00,MIN,SG/SF,DEN,23.49,0.10%
Drew Eubanks,3500.00,SAS,C,UTA,15.75,0.10%
Lou Williams,4600.00,LAC,PG/SG,PHO,20.72,0.10%
Caris LeVert,6500.00,BKN,PG/SG,WAS,29.16,0.10%
Serge Ibaka,5700.00,LAC,C,PHO,25.53,1.00%
Bojan Bogdanovic,5900.00,UTA,SF/PF,SAS,26.39,1.00%
Damion Lee,3500.00,GSW,PG/SG,POR,15.54,0.10%
Tyus Jones,5400.00,MEM,PG,LAL,23.91,0.10%
Enes Kanter,4900.00,POR,C,GSW,21.64,1.00%
Davis Bertans,4700.00,WAS,PF,BKN,20.65,0.10%
Rui Hachimura,5200.00,WAS,PF,BKN,22.84,0.10%
Derrick Favors,4000.00,UTA,C,SAS,17.26,0.10%
James Wiseman,5200.00,GSW,C,POR,22.26,0.10%
