Player_Name,Salary,Team,Pos,Opp,Proj_FP,pown%
Wendell Carter,4800.00,CHI,C,IND,29.6,20.00%
Nemanja Bjelica,3900.00,SAC,SF/PF,PHO,23.88,12.50%
Tyreke Evans,5200.00,IND,SG/SF,CHI,31.35,10.00%
Justise Winslow,4100.00,MIA,PG/SF,ORL,23.84,7.50%
Royce O'Neale,3300.00,UTA,SF,SAS,18.82,2.50%
Kosta Koufos,3000.00,SAC,C,PHO,17.08,2.50%
James Johnson,3700.00,MIA,SF/PF,ORL,20.65,2.50%
Thaddeus Young,4700.00,IND,SF/PF,CHI,26.03,7.50%
Evan Turner,4000.00,POR,SG/SF,DAL,22.12,5.00%
Jonathon Simmons,3500.00,ORL,SG/SF,MIA,19.3,2.50%
Willie Cauley-Stein,6400.00,SAC,C,PHO,34.44,30.00%
Troy Williams,3000.00,SAC,SG,PHO,16.14,1.00%
Jae Crowder,5000.00,UTA,SF/PF,SAS,26.78,7.50%
Wesley Matthews,4700.00,DAL,SG/SF,POR,25.1,7.50%
Evan Fournier,5300.00,ORL,SG/SF,MIA,28.21,7.50%
LaMarcus Aldridge,7600.00,SAS,PF/C,UTA,40.11,25.00%
Al-Farouq Aminu,4800.00,POR,SF/PF,DAL,25.28,10.00%
Dwyane Wade,5500.00,MIA,PG/SG,ORL,28.76,7.50%
Patty Mills,3600.00,SAS,PG/SG,UTA,18.84,1.00%
Ricky Rubio,6200.00,UTA,PG,SAS,32.35,10.00%
Joe Ingles,5100.00,UTA,SG/SF,SAS,26.59,5.00%
Wayne Ellington,4600.00,MIA,PG/SG,ORL,23.9,2.50%
Domantas Sabonis,7200.00,IND,PF/C,CHI,37.23,35.00%
Maurice Harkless,3700.00,POR,SF/PF,DAL,19.09,1.00%
Davis Bertans,3500.00,SAS,PF/C,UTA,18.03,1.00%
Cory Joseph,4300.00,IND,PG,CHI,22,15.00%
Justin Jackson,3400.00,SAC,SF,PHO,17.38,1.00%
Cameron Payne,3000.00,CHI,PG/SG,IND,15.27,0.01%
D.J. Augustin,4500.00,ORL,PG,MIA,22.87,2.50%
Lauri Markkanen,5400.00,CHI,PF,IND,27.43,15.00%
Josh Richardson,7000.00,MIA,SG/SF,ORL,35.47,12.50%
Dennis Smith Jr.,5500.00,DAL,PG,POR,27.79,7.50%
De'Aaron Fox,7500.00,SAC,PG,PHO,37.9,25.00%
Hassan Whiteside,7700.00,MIA,C,ORL,38.83,25.00%
Derrick Favors,4400.00,UTA,PF/C,SAS,22.08,5.00%
Buddy Hield,6000.00,SAC,SG/SF,PHO,29.94,12.50%
Bogdan Bogdanovic,5800.00,SAC,SG/SF,PHO,28.88,22.50%
Rudy Gay,5500.00,SAS,SF/PF,UTA,27.39,7.50%
Kyle Korver,3400.00,UTA,SG/SF,SAS,16.79,1.00%
C.J. McCollum,7100.00,POR,PG/SG,DAL,35.03,15.00%
Ryan Arcidiacono,4000.00,CHI,PG,IND,19.68,2.50%
Bryn Forbes,3700.00,SAS,PG/SG,UTA,18.09,1.00%
Jusuf Nurkic,7400.00,POR,C,DAL,36.01,15.00%
DeAndre Jordan,7300.00,DAL,C,POR,35.46,15.00%
Damian Lillard,9800.00,POR,PG,DAL,47.36,25.00%
Aaron Gordon,6900.00,ORL,SF/PF,MIA,33.36,17.50%
Maxi Kleber,3200.00,DAL,PF,POR,15.41,0.01%
Jonathan Isaac,4300.00,ORL,PF,MIA,20.47,2.50%
Kelly Olynyk,3900.00,MIA,PF/C,ORL,18.54,1.00%
Luka Doncic,7000.00,DAL,PG,POR,33.25,17.50%
Jerian Grant,3300.00,ORL,PG,MIA,15.63,0.01%
Iman Shumpert,3700.00,SAC,SG/SF,PHO,17.51,2.50%
Donovan Mitchell,7900.00,UTA,PG/SG,SAS,36.96,17.50%
Justin Holiday,5400.00,CHI,SG/SF,IND,25.19,5.00%
Terrence Ross,5000.00,ORL,SG/SF,MIA,23.18,5.00%
DeMar DeRozan,8300.00,SAS,SG/SF,UTA,38.37,17.50%
Zach LaVine,8400.00,CHI,PG/SG,IND,38.82,25.00%
Rudy Gobert,8600.00,UTA,C,SAS,39.54,20.00%
Derrick White,4200.00,SAS,PG,UTA,18.92,2.50%
Jakob Poeltl,3300.00,SAS,C,UTA,14.71,0.01%
Harrison Barnes,6600.00,DAL,SF/PF,POR,29.43,17.50%
Nikola Vucevic,9000.00,ORL,C,MIA,39.94,15.00%
Myles Turner,6100.00,IND,C,CHI,27.08,10.00%
Bojan Bogdanovic,5600.00,IND,SG/SF,CHI,24.82,10.00%
Chandler Hutchison,3000.00,CHI,SG,IND,13.3,0.01%
Marco Belinelli,3500.00,SAS,SG/SF,UTA,15.46,0.01%
Rodney McGruder,4700.00,MIA,SG/SF,ORL,20.77,2.50%
Darren Collison,6300.00,IND,PG,CHI,27.21,5.00%
Devin Harris,3200.00,DAL,PG/SG,POR,13.8,0.01%
J.J. Barea,5100.00,DAL,PG/SG,POR,21.91,5.00%
Bam Adebayo,4300.00,MIA,C,ORL,18.03,1.00%
Jabari Parker,6700.00,CHI,SF/PF,IND,27.71,5.00%
Mohamed Bamba,3500.00,ORL,C,MIA,14.43,0.01%
Seth Curry,3000.00,POR,PG/SG,DAL,12.17,0.01%
Zach Collins,3400.00,POR,PF,DAL,13.74,0.01%
Meyers Leonard,3500.00,POR,C,DAL,13.99,0.01%
Dorian Finney-Smith,3800.00,DAL,SF,POR,14.99,0.01%
Doug McDermott,3500.00,IND,SF/PF,CHI,12.56,0.01%
Dwight Powell,3700.00,DAL,PF/C,POR,12.85,0.01%
Shaquille Harrison,3300.00,CHI,PG,IND,10.99,0.01%
Nik Stauskas,3100.00,POR,SG/SF,DAL,10.29,0.01%
