Player_Name,Salary,Team,Pos,Opp,Proj_FP,pown%
Jamal Crawford,3900.00,LAC,SG,PHO,24.59,25.00%
Kyrie Irving,7900.00,CLE,PG,CHI,45.58,17.50%
Stanley Johnson,3000.00,DET,SG/SF,BKN,16.86,10.00%
DeAndre Jordan,6900.00,LAC,C,PHO,38.59,15.00%
Raymond Felton,3400.00,LAC,PG/SF,PHO,18.68,10.00%
Tyler Ennis,3500.00,LAL,PG,MIN,18.81,12.50%
Kris Dunn,3900.00,MIN,PG,LAL,20.87,22.50%
Gorgui Dieng,5900.00,MIN,PF/C,LAL,31.31,40.00%
Michael Carter-Williams,3000.00,CHI,PG,CLE,15.88,4.00%
D'Angelo Russell,7200.00,LAL,PG/SG,MIN,37.88,10.00%
Louis Williams,5400.00,HOU,PG/SG,POR,28.39,20.00%
Ish Smith,6100.00,DET,PG,BKN,32.04,22.50%
Brook Lopez,7000.00,BKN,C,DET,36.47,10.00%
Al-Farouq Aminu,4500.00,POR,PF,HOU,23.39,10.00%
Andre Drummond,8000.00,DET,C,BKN,41.4,10.00%
Isaiah Whitehead,3400.00,BKN,PG/SG,DET,17.6,3.00%
Clint Capela,5600.00,HOU,C,POR,28.89,17.50%
Andrew Wiggins,7100.00,MIN,SF,LAL,36.59,15.00%
Tobias Harris,6000.00,DET,SF/PF,BKN,30.9,17.50%
LeBron James,10100.00,CLE,SF,CHI,51.95,27.50%
Tyus Jones,3000.00,MIN,PG/SG,LAL,15.4,3.00%
Caris LeVert,3600.00,BKN,SF,DET,18.27,2.50%
Nene Hilario,4200.00,HOU,C,POR,21.14,5.00%
James Harden,12400.00,HOU,PG/SG,POR,62.01,25.00%
Jordan Clarkson,6400.00,LAL,PG,MIN,32.03,7.50%
Eric Gordon,5300.00,HOU,SG,POR,26.48,10.00%
Chris Paul,8600.00,LAC,PG,PHO,42.93,15.00%
Ricky Rubio,7800.00,MIN,PG,LAL,38.78,15.00%
Patrick Beverley,4900.00,HOU,PG/SG,POR,24.35,12.50%
Kentavious Caldwell-Pope,5200.00,DET,SG,BKN,25.85,15.00%
Larry Nance,4600.00,LAL,SF/PF,MIN,22.57,7.50%
Jeremy Lin,6200.00,BKN,PG,DET,30.42,10.00%
Jon Leuer,4200.00,DET,PF/C,BKN,20.58,5.00%
Trevor Ariza,5700.00,HOU,SF/PF,POR,27.93,17.50%
Blake Griffin,8100.00,LAC,PF/C,PHO,39.6,15.00%
Evan Turner,3500.00,POR,SG/SF,HOU,16.98,7.50%
Kevin Love,7300.00,CLE,PF/C,CHI,35.31,10.00%
David Nwaba,3300.00,LAL,SG,MIN,15.91,4.00%
Karl-Anthony Towns,10900.00,MIN,PF/C,LAL,52.51,25.00%
Noah Vonleh,4100.00,POR,PF/C,HOU,19.74,5.00%
Marcus Morris,5100.00,DET,SF/PF,BKN,24.33,15.00%
C.J. McCollum,7600.00,POR,PG/SG,HOU,36.1,12.50%
Rajon Rondo,6600.00,CHI,PG,CLE,31.29,17.50%
Julius Randle,6700.00,LAL,PF/C,MIN,31.61,12.50%
Damian Lillard,9200.00,POR,PG,HOU,43.4,17.50%
J.J. Redick,4300.00,LAC,SG,PHO,20.12,15.00%
Jimmy Butler,10000.00,CHI,SG/SF,CLE,46.37,10.00%
Aron Baynes,3500.00,DET,C,BKN,16.12,1.00%
Tristan Thompson,4400.00,CLE,C,CHI,20.08,5.00%
Ivica Zubac,5000.00,LAL,C,MIN,22.53,7.50%
Paul Zipser,4000.00,CHI,SG/SF,CLE,18.01,3.00%
