Player_Name,Salary,Team,Pos,Opp,Proj_FP,pown%
Doug McDermott,3100.00,NYK,SF/PF,BKN,5.48,0.01%
Darrell Arthur,3000.00,DEN,PF,SAS,4.9,0.01%
Torrey Craig,3400.00,DEN,SG/SF,SAS,5.34,0.01%
Channing Frye,3300.00,CLE,PF/C,DET,4.87,0.01%
Omri Casspi,3300.00,GSW,SF/PF,UTA,4.07,0.01%
Georgios Papagiannis,3600.00,SAC,C,NOP,4.08,0.01%
Patrick McCaw,3000.00,GSW,PG/SF,UTA,3,0.01%
Tony Allen,3000.00,NOP,SG/SF,SAC,2.87,0.01%
Joffrey Lauvergne,3300.00,SAS,PF/C,DEN,2.58,0.01%
Marcus Georges-Hunt,3000.00,MIN,SG/SF,TOR,2.22,0.01%
Alex Abrines,3300.00,OKC,SG/SF,WAS,2.08,0.01%
Henry Ellenson,3000.00,DET,PF/C,CLE,0.6,0.01%
Darrun Hilliard,3000.00,SAS,SG/SF,DEN,0.6,0.01%
