Player_Name,Salary,Team,Pos,Opp,Proj_FP,pown%
Danuel House,3600.00,HOU,SF/PF,OKC,22.97,17.50%
Al-Farouq Aminu,3900.00,POR,SF/PF,UTA,24.31,17.50%
Noah Vonleh,5200.00,NYK,PF/C,MIL,32.04,17.50%
Jerami Grant,4500.00,OKC,PF,HOU,27.61,10.00%
Draymond Green,6300.00,GSW,PF/C,LAL,38.66,35.00%
Jusuf Nurkic,6100.00,POR,C,UTA,37.3,35.00%
Ricky Rubio,5400.00,UTA,PG,POR,32.44,20.00%
Brook Lopez,4300.00,MIL,C,NYK,25.8,20.00%
Dennis Schroder,4900.00,OKC,PG/SG,HOU,29.18,15.00%
Gerald Green,3900.00,HOU,SG/SF,OKC,22.77,10.00%
P.J. Tucker,4300.00,HOU,SF/PF,OKC,24.51,15.00%
Marcus Smart,4400.00,BOS,PG/SG,PHI,24.77,7.50%
Clint Capela,7400.00,HOU,C,OKC,41.58,12.50%
James Harden,10900.00,HOU,PG/SG,OKC,60.94,30.00%
Kevin Durant,9300.00,GSW,SF/PF,LAL,51.53,20.00%
Eric Gordon,5800.00,HOU,SG/SF,OKC,32.02,15.00%
Kevon Looney,3500.00,GSW,PF/C,LAL,19.24,7.50%
Khris Middleton,6500.00,MIL,SG/SF,NYK,35.71,12.50%
Damian Lillard,7800.00,POR,PG,UTA,42.82,15.00%
Stephen Curry,9000.00,GSW,PG/SG,LAL,49.33,15.00%
Maurice Harkless,3300.00,POR,SF/PF,UTA,18.03,5.00%
Giannis Antetokounmpo,10700.00,MIL,SF/PF,NYK,58.35,15.00%
J.J. Redick,5100.00,PHI,SG/SF,BOS,27.45,15.00%
Gordon Hayward,5000.00,BOS,SF/PF,PHI,26.9,20.00%
Tim Hardaway Jr.,6600.00,NYK,SG/SF,MIL,35.38,17.50%
Joel Embiid,9500.00,PHI,C,BOS,50.86,10.00%
Kyrie Irving,8100.00,BOS,PG,PHI,43.28,15.00%
Jimmy Butler,7000.00,PHI,SG/SF,BOS,37.27,12.50%
Jayson Tatum,6000.00,BOS,SF/PF,PHI,31.71,10.00%
Brandon Ingram,5300.00,LAL,PG/SG,GSW,27.74,17.50%
Andre Iguodala,3300.00,GSW,SG/SF,LAL,17.27,7.50%
Joe Ingles,5700.00,UTA,SG/SF,POR,29.77,5.00%
Wilson Chandler,3800.00,PHI,SF/PF,BOS,19.75,2.50%
Klay Thompson,6700.00,GSW,SG,LAL,34.79,10.00%
Rudy Gobert,7200.00,UTA,C,POR,37.24,10.00%
Derrick Favors,4900.00,UTA,PF/C,POR,25.21,7.50%
Terry Rozier,3700.00,BOS,PG/SG,PHI,19.01,1.00%
Ben Simmons,8400.00,PHI,PG/SF,BOS,43,15.00%
Eric Bledsoe,6800.00,MIL,PG/SG,NYK,34.59,7.50%
Enes Kanter,6200.00,NYK,C,MIL,31.43,10.00%
Russell Westbrook,10300.00,OKC,PG,HOU,52.18,22.50%
Josh Hart,3500.00,LAL,PG/SG,GSW,17.73,5.00%
LeBron James,10100.00,LAL,SF/PF,GSW,50.97,15.00%
Kyle Kuzma,6400.00,LAL,SF/PF,GSW,32.34,10.00%
Lonzo Ball,5500.00,LAL,PG,GSW,27.64,15.00%
Donovan Mitchell,7100.00,UTA,PG/SG,POR,35.62,7.50%
Jonas Jerebko,4100.00,GSW,PF/C,LAL,20.51,7.50%
C.J. McCollum,5900.00,POR,PG/SG,UTA,29.51,10.00%
Sterling Brown,3200.00,MIL,SG/SF,NYK,15.89,1.00%
George Hill,3400.00,MIL,PG/SG,NYK,16.85,1.00%
Mike Muscala,4200.00,PHI,PF/C,BOS,20.24,7.50%
Malcolm Brogdon,5000.00,MIL,PG/SG,NYK,24.06,10.00%
Steven Adams,6700.00,OKC,C,HOU,31.66,7.50%
Kyle Korver,3300.00,UTA,SG/SF,POR,15.61,1.00%
Jae Crowder,4600.00,UTA,SF/PF,POR,21.68,7.50%
Evan Turner,4000.00,POR,SG/SF,UTA,18.84,5.00%
Paul George,9700.00,OKC,SF/PF,HOU,45.04,12.50%
Ivica Zubac,4400.00,LAL,C,GSW,19.93,22.50%
Damyean Dotson,3800.00,NYK,SG/SF,MIL,17.22,1.00%
Marcus Morris,5900.00,BOS,SF/PF,PHI,26.61,7.50%
Allonzo Trier,3500.00,NYK,PG/SG,MIL,15.6,1.00%
Shaun Livingston,3100.00,GSW,PG,LAL,13.82,1.00%
Al Horford,5700.00,BOS,PF/C,PHI,25.22,7.50%
Tyson Chandler,3600.00,LAL,C,GSW,15.85,1.00%
Rajon Rondo,4500.00,LAL,PG,GSW,19.42,7.50%
Kevin Knox,5600.00,NYK,SF/PF,MIL,24.18,12.50%
Terrance Ferguson,3100.00,OKC,SG/SF,HOU,13.24,1.00%
Nene Hilario,3300.00,HOU,C,OKC,14,1.00%
Emmanuel Mudiay,6900.00,NYK,PG,MIL,29.27,5.00%
Nik Stauskas,3200.00,POR,SG/SF,UTA,13.2,1.00%
D.J. Wilson,3700.00,MIL,PF/C,NYK,14.95,1.00%
Zach Collins,3100.00,POR,PF/C,UTA,12.51,0.01%
Nerlens Noel,3200.00,OKC,C,HOU,12.84,1.00%
Dante Exum,3200.00,UTA,PG/SG,POR,12.81,1.00%
Kentavious Caldwell-Pope,3500.00,LAL,SG/SF,GSW,13.69,1.00%
Jaylen Brown,4800.00,BOS,SG/SF,PHI,18.57,2.50%
T.J. McConnell,3600.00,PHI,PG/SG,BOS,13.73,1.00%
Meyers Leonard,3200.00,POR,PF/C,UTA,12.12,0.01%
Frank Ntilikina,3300.00,NYK,PG/SG,MIL,12.05,0.01%
Daniel Theis,4000.00,BOS,PF/C,PHI,14.61,2.50%
Lance Thomas,3000.00,NYK,SF/PF,MIL,10.89,0.01%
Seth Curry,3000.00,POR,PG/SG,UTA,10.66,0.01%
Hamidou Diallo,3100.00,OKC,SG/SF,HOU,10.83,1.00%
Thabo Sefolosha,3100.00,UTA,SF/PF,POR,10.76,0.01%
Jordan Bell,3000.00,GSW,PF/C,LAL,10.13,1.00%
Landry Shamet,3200.00,PHI,PG/SG,BOS,10.81,1.00%
Patrick Patterson,3000.00,OKC,PF/C,HOU,9.47,1.00%
Furkan Korkmaz,3700.00,PHI,SG/SF,BOS,11.46,1.00%
Royce O'Neale,3100.00,UTA,SF,POR,9.61,0.01%
Alfonzo McKinnie,3200.00,GSW,SF/PF,LAL,9.86,1.00%
Tony Snell,3800.00,MIL,SG/SF,NYK,11.49,1.00%
Luke Kornet,3200.00,NYK,PF/C,MIL,9.04,0.01%
Brandon Knight,3300.00,HOU,PG/SG,OKC,8.85,0.01%
Thon Maker,3100.00,MIL,PF/C,NYK,8.16,0.01%
Austin Rivers,4200.00,HOU,PG/SG,OKC,10.63,1.00%
Lance Stephenson,3400.00,LAL,SG/SF,GSW,6.53,0.01%
Robert Williams,3900.00,BOS,PF/C,PHI,7.2,0.01%
Timothe Luwawu-Cabarrot,3000.00,OKC,SG/SF,HOU,3.54,0.00%
Semi Ojeleye,3100.00,BOS,SF/PF,PHI,3.34,0.01%
Courtney Lee,3300.00,NYK,SG/SF,MIL,3.02,0.01%
