Player_Name,Salary,Team,Pos,Opp,Proj_FP,pown%
Randy Foye,3000.00,BKN,SG,CHA,18.23,7.00%
Terrence Jones,3500.00,NOP,PF,PHO,20.43,18.00%
Cody Zeller,4300.00,CHA,C,BKN,24.13,5.00%
Trevor Booker,4700.00,BKN,PF,CHA,26.28,11.00%
John Wall,8500.00,WAS,PG,ATL,46.48,16.00%
Sean Kilpatrick,4400.00,BKN,SG,CHA,23.84,18.00%
Joe Harris,3100.00,BKN,SG,CHA,16.55,0.75%
Ramon Sessions,3000.00,CHA,PG,BKN,15.97,0.25%
Langston Galloway,3000.00,NOP,PG,PHO,15.92,1.00%
Anthony Davis,10900.00,NOP,PF/C,PHO,57.41,28.00%
Patty Mills,3800.00,SAS,PG,UTA,20.04,21.00%
Andrew Bogut,3800.00,DAL,C,POR,19.97,2.00%
Hassan Whiteside,8400.00,MIA,C,TOR,43.97,8.00%
Lance Stephenson,4200.00,NOP,SF,PHO,21.76,0.42%
Marc Gasol,6700.00,MEM,C,LAC,34.73,8.00%
Tim Frazier,6400.00,NOP,PG,PHO,32.91,18.00%
Dwight Howard,7700.00,ATL,C,WAS,39.31,7.00%
Paul Millsap,7700.00,ATL,PF,WAS,39.34,9.00%
Robin Lopez,4100.00,CHI,C,NYK,20.84,2.00%
E'Twaun Moore,3900.00,NOP,SG,PHO,19.76,1.50%
Dwyane Wade,6400.00,CHI,SG,NYK,32.32,9.00%
Louis Williams,4300.00,LAL,SG,GSW,21.56,1.00%
Andre Iguodala,3700.00,GSW,SF,LAL,18.5,2.00%
Al-Farouq Aminu,4500.00,POR,PF,DAL,22.48,2.00%
Mike Muscala,3600.00,ATL,C,WAS,17.97,1.50%
Larry Nance,4000.00,LAL,SF/PF,GSW,19.96,14.00%
Taj Gibson,5700.00,CHI,PF/C,NYK,28.33,4.00%
Derrick Rose,5600.00,NYK,PG,CHI,27.66,14.00%
Isaiah Whitehead,3600.00,BKN,PG,CHA,17.79,8.00%
Kevin Durant,10100.00,GSW,SF/PF,LAL,49.81,24.00%
Zaza Pachulia,3900.00,GSW,C,LAL,19.08,0.50%
Goran Dragic,7100.00,MIA,PG,TOR,34.7,8.00%
Kemba Walker,7500.00,CHA,PG,BKN,36.69,9.00%
Markieff Morris,5500.00,WAS,SF/PF,ATL,26.86,17.00%
Manu Ginobili,3700.00,SAS,SG,UTA,18.07,1.25%
Justin Anderson,3200.00,DAL,SF,POR,15.54,0.50%
Marcin Gortat,5900.00,WAS,C,ATL,28.63,12.00%
Michael Kidd-Gilchrist,5400.00,CHA,SF,BKN,26.2,8.00%
Pau Gasol,5600.00,SAS,C,UTA,27.09,4.00%
Justise Winslow,5600.00,MIA,SF,TOR,27.13,15.00%
DeAndre Jordan,7000.00,LAC,C,MEM,33.84,5.00%
Wade Baldwin,3200.00,MEM,PG,LAC,15.47,1.00%
DeMar DeRozan,8000.00,TOR,SG,MIA,38.57,18.00%
Otto Porter,4800.00,WAS,SF,ATL,23.09,9.00%
Tyler Johnson,4600.00,MIA,PG/SG,TOR,22.14,3.00%
Draymond Green,7800.00,GSW,PF/C,LAL,37.42,16.00%
Julius Randle,6100.00,LAL,PF,GSW,29.25,3.00%
Marreese Speights,3200.00,LAC,C,MEM,15.36,0.01%
Marvin Williams,5200.00,CHA,PF,BKN,24.98,9.00%
Dennis Schroder,6100.00,ATL,PG,WAS,29.21,7.00%
JaMychal Green,4800.00,MEM,SF/PF,LAC,22.97,7.00%
Blake Griffin,8200.00,LAC,PF,MEM,39.29,14.00%
Kris Humphries,3000.00,ATL,PF,WAS,14.35,0.01%
Mason Plumlee,4900.00,POR,C,DAL,23.36,9.00%
Spencer Hawes,3600.00,CHA,PF/C,BKN,17.12,2.00%
Malcolm Delaney,3000.00,ATL,PG,WAS,14.2,0.25%
Jonas Valanciunas,6500.00,TOR,C,MIA,30.68,8.00%
Nicolas Batum,6600.00,CHA,SG/SF,BKN,31.08,15.00%
Thabo Sefolosha,4100.00,ATL,SF,WAS,19.27,0.50%
Brook Lopez,6700.00,BKN,C,CHA,31.52,3.00%
David Lee,3600.00,SAS,PF,UTA,16.9,0.25%
Frank Kaminsky,4100.00,CHA,PF,BKN,19.23,5.00%
Kyle O'Quinn,3000.00,NYK,PF/C,CHI,13.96,0.01%
Kyle Lowry,7300.00,TOR,PG,MIA,33.88,8.00%
Seth Curry,3100.00,DAL,SG,POR,14.34,3.00%
Damian Lillard,9100.00,POR,PG,DAL,42.03,11.00%
Tarik Black,3300.00,LAL,C,GSW,15.26,0.50%
Luol Deng,4700.00,LAL,SF/PF,GSW,21.71,1.00%
Kawhi Leonard,8300.00,SAS,SF,UTA,38.14,12.00%
Dewayne Dedmon,3700.00,SAS,C,UTA,16.99,0.01%
Luis Scola,3300.00,BKN,PF/C,CHA,15.13,0.25%
LaMarcus Aldridge,6600.00,SAS,PF/C,UTA,30.19,8.00%
Zach Randolph,5600.00,MEM,PF,LAC,25.58,1.00%
Justin Hamilton,3700.00,BKN,C,CHA,16.87,0.50%
Kent Bazemore,4900.00,ATL,SG/SF,WAS,22.26,6.00%
DeMarre Carroll,4300.00,TOR,SF/PF,MIA,19.46,3.00%
Carmelo Anthony,7600.00,NYK,SF,CHI,34.36,14.00%
Jimmy Butler,7900.00,CHI,SG/SF,NYK,35.73,7.00%
Bradley Beal,5300.00,WAS,SG,ATL,23.9,15.00%
Brandon Jennings,3800.00,NYK,PG,CHI,17.15,0.50%
Jamal Crawford,4100.00,LAC,SG,MEM,18.48,1.50%
Chris Paul,8600.00,LAC,PG,MEM,38.68,10.00%
Deron Williams,5400.00,DAL,PG,POR,24.25,4.00%
Jordan Clarkson,5100.00,LAL,PG/SG,GSW,22.83,3.00%
Bobby Portis,3000.00,CHI,PF,NYK,13.37,0.01%
D'Angelo Russell,6800.00,LAL,PG,GSW,30.21,11.00%
Rajon Rondo,6500.00,CHI,PG,NYK,28.86,6.00%
Bojan Bogdanovic,4600.00,BKN,SG/SF,CHA,20.42,4.00%
Courtney Lee,3900.00,NYK,SG,CHI,17.28,0.01%
Tony Allen,3600.00,MEM,SG,LAC,15.94,0.50%
Rudy Gobert,6600.00,UTA,C,SAS,29.24,2.00%
Shelvin Mack,3000.00,UTA,PG,SAS,13.23,0.01%
Wesley Matthews,5000.00,DAL,SG/SF,POR,22,12.00%
George Hill,6200.00,UTA,PG/SG,SAS,27.27,5.00%
Joe Johnson,4700.00,UTA,SG/SF,SAS,20.64,0.50%
C.J. McCollum,6900.00,POR,PG/SG,DAL,29.99,8.00%
Ed Davis,3300.00,POR,C,DAL,14.36,0.25%
Jarell Martin,3000.00,MEM,PF/C,LAC,13.05,0.25%
James Johnson,3000.00,MIA,SF/PF,TOR,13.03,0.25%
Austin Rivers,3200.00,LAC,PG,MEM,13.87,1.00%
Luke Babbitt,3200.00,MIA,PF,TOR,13.78,0.01%
Mike Conley,6600.00,MEM,PG,LAC,28.19,6.00%
Evan Turner,4300.00,POR,SG/SF,DAL,18.28,2.00%
James Ennis,4800.00,MEM,SG/SF,LAC,20.36,1.00%
J.J. Barea,4800.00,DAL,PG/SG,POR,20.35,5.00%
Joakim Noah,4500.00,NYK,C,CHI,19.02,8.00%
Dirk Nowitzki,5900.00,DAL,PF,POR,24.93,10.00%
Nikola Mirotic,5500.00,CHI,PF,NYK,23.18,6.00%
Harrison Barnes,5800.00,DAL,SF,POR,24.42,10.00%
Doug McDermott,3500.00,CHI,SF,NYK,14.71,0.50%
Jerian Grant,3000.00,CHI,PG,NYK,12.56,0.01%
Kyle Korver,4000.00,ATL,SG,WAS,16.69,1.00%
