Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
22,2382166406,Mihalko42,0,147.68,DST Buccaneers  TE Travis Kelce RB Le'Veon Bell WR Mike Evans WR Cooper Kupp FLEX Tyreek Hill QB Patrick Mahomes RB Xavier Jones WR Tyrie Cleveland,,Raheem Mostert,RB,14.00%,11.3
23,2382365452,richardbdrk1,0,147.58,DST Saints  TE Travis Kelce FLEX Sammy Watkins RB Alvin Kamara WR Richie James WR Tyreek Hill RB Jeff Wilson Jr. QB Patrick Mahomes WR Scotty Miller,,Rams ,DST,13.00%,15
24,2382206830,gregdaniels,0,147.08,DST Chiefs  TE Travis Kelce WR Sammy Watkins RB Melvin Gordon III FLEX Demarcus Robinson WR Tyreek Hill QB Patrick Mahomes WR Mecole Hardman RB Clyde Edwards-Helaire,,Broncos ,DST,13.00%,4
25,2382062927,suburbanaces,0,146.88,DST Saints  WR Antonio Brown RB Raheem Mostert WR Demarcus Robinson RB Alvin Kamara FLEX Richie James WR Tyreek Hill TE Gerald Everett QB Patrick Mahomes,,Noah Fant,TE,13.00%,2.3
26,2381948602,LetsGoRaiders22,0,146.68,DST Rams  TE Jared Cook FLEX Robert Woods WR Sammy Watkins RB Melvin Gordon III RB Alvin Kamara WR Tyreek Hill WR Tre'Quan Smith QB Patrick Mahomes,,Leonard Fournette,RB,13.00%,5
27,2382524163,JDsM535is,0,146.08,DST Chiefs  WR Antonio Brown TE Jordan Reed RB Le'Veon Bell WR Michael Thomas FLEX Kendrick Bourne WR Tyreek Hill QB Patrick Mahomes RB Ronald Jones II,,Demarcus Robinson,WR,13.00%,8.6
28,2382681716,Rreid1,0,145.78,DST Chiefs  TE Travis Kelce RB Le'Veon Bell FLEX Jerick McKinnon WR Sammy Watkins WR Tyreek Hill QB Patrick Mahomes WR Mecole Hardman RB Clyde Edwards-Helaire,,Phillip Lindsay,RB,12.00%,2
29,2381724320,fatal92,0,145.68,DST Chiefs  TE Rob Gronkowski WR Sammy Watkins RB Melvin Gordon III WR Michael Thomas WR Tyreek Hill QB Patrick Mahomes RB Clyde Edwards-Helaire FLEX Nick Keizer,,Jared Cook,TE,12.00%,0
30,2382139803,gatech03,0,145.18001,DST Chiefs  TE Jared Cook FLEX Travis Kelce RB Kyle Juszczyk WR Sammy Watkins WR Demarcus Robinson RB Alvin Kamara WR Tyreek Hill QB Patrick Mahomes,,Mecole Hardman,WR,11.00%,5.3
31,2381871013,Killerkeller80,0,145.1,DST Broncos  QB Tom Brady TE Travis Kelce FLEX Le'Veon Bell WR Robert Woods RB Jerick McKinnon WR Cooper Kupp RB Leonard Fournette WR Tyreek Hill,,Jared Goff,QB,11.00%,6.02
32,2382211607,dannyvanzandt,0,144.48,DST Saints  WR Emmanuel Sanders TE Travis Kelce FLEX Sammy Watkins RB Melvin Gordon III WR Richie James WR Tyreek Hill QB Patrick Mahomes RB Darrell Henderson Jr.,,Deebo Samuel,WR,11.00%,27.3
33,2382080527,AustinGerdes,0,144.38,DST Saints  WR Robert Woods RB Malcolm Brown RB Melvin Gordon III FLEX Alvin Kamara WR Tyreek Hill WR Tre'Quan Smith TE Gerald Everett QB Patrick Mahomes,,Jerick McKinnon,RB,11.00%,5.2
33,2382701108,funmoney11,0,144.38,DST Saints  FLEX Jared Cook WR Robert Woods WR Sammy Watkins RB Melvin Gordon III RB Alvin Kamara TE Ross Dwelley WR Tyreek Hill QB Patrick Mahomes,,Darrell Henderson Jr.,RB,10.00%,1.9
35,2381770591,Darth_Dracuul,0,143.07999,DST Saints  TE Jared Cook FLEX Robert Woods RB Alvin Kamara WR Josh Reynolds WR Tyreek Hill QB Patrick Mahomes WR Scotty Miller RB Darrell Henderson Jr.,,Richie James,WR,10.00%,3.9
36,2381902972,lilrogue44,0,142.78,DST Broncos  TE Rob Gronkowski WR Michael Thomas WR Josh Reynolds FLEX Tyreek Hill WR Tim Patrick QB Patrick Mahomes RB Austin Walter RB Clyde Edwards-Helaire,,Tim Patrick,WR,8.00%,0
37,2381633109,NeefBuck88,0,141.48,DST Chiefs  WR Emmanuel Sanders TE Rob Gronkowski RB Latavius Murray WR Robert Woods RB Alvin Kamara WR Deebo Samuel QB Patrick Mahomes FLEX Noah Fant,,Jordan Reed,FLEX,8.00%,3.8
38,2382373089,downtownboosy,0,141,DST Saints  QB Tom Brady WR Emmanuel Sanders TE Travis Kelce RB Jerick McKinnon RB Melvin Gordon III WR Demarcus Robinson WR Tyreek Hill FLEX Clyde Edwards-Helaire,,Tre'Quan Smith,FLEX,8.00%,2.6
39,2381942123,jagnole2013,0,140.18001,DST Saints  WR Antonio Brown TE Travis Kelce FLEX Latavius Murray WR Robert Woods WR Sammy Watkins RB Leonard Fournette QB Patrick Mahomes RB Cam Akers,,Latavius Murray,RB,7.00%,28.6
40,2381800492,wared81,0,139.68,DST Chiefs  TE Travis Kelce WR Demarcus Robinson RB Alvin Kamara WR Tyreek Hill FLEX Tre'Quan Smith QB Patrick Mahomes WR Scotty Miller RB Clyde Edwards-Helaire,,49ers ,DST,7.00%,17
41,2382650002,dgizzywitdaglizzy,0,139.57999,DST Saints  FLEX Rob Gronkowski WR Antonio Brown WR Robert Woods WR Deebo Samuel QB Patrick Mahomes RB Ronald Jones II TE Noah Fant RB Clyde Edwards-Helaire,,Gerald Everett,TE,7.00%,3.6
42,2381662494,GiantsSuck877,0,137.78,DST 49ers  WR Antonio Brown RB Jerick McKinnon WR Sammy Watkins FLEX Tyreek Hill WR Tim Patrick TE Gerald Everett QB Patrick Mahomes RB Clyde Edwards-Helaire,,Kendrick Bourne,WR,6.00%,6.4
43,2382617071,Cinecicale45,0,134.72,DST Rams  WR Robert Woods RB Jerick McKinnon TE Tyler Higbee RB Malcolm Brown QB Jared Goff WR Tyreek Hill FLEX Deebo Samuel WR Van Jefferson Jr.,,Cameron Brate,TE,5.00%,7.4
44,2382104910,CKittieSprint,0,133.68,DST Chiefs  TE Jared Cook FLEX Cameron Brate WR Sammy Watkins WR Michael Thomas RB Phillip Lindsay RB Alvin Kamara WR Tyreek Hill QB Patrick Mahomes,,Le'Veon Bell,FLEX,5.00%,5.2
45,2382343032,ccorne,0,132.48,DST Saints  WR Emmanuel Sanders TE Rob Gronkowski RB Alvin Kamara WR Kendrick Bourne RB Leonard Fournette WR Deebo Samuel QB Patrick Mahomes FLEX Ronald Jones II,,Ross Dwelley,FLEX,4.00%,1.3
46,2382807297,dredawg21,0,132.18001,DST Broncos  TE Travis Kelce WR Sammy Watkins RB Raheem Mostert WR Michael Thomas FLEX Richie James WR Deebo Samuel QB Patrick Mahomes RB Ronald Jones II,,Scotty Miller,WR,4.00%,0
47,2381501015,MainMan52,0,131.92,DST Rams  WR Emmanuel Sanders TE Travis Kelce QB Taysom Hill FLEX Sammy Watkins WR Tyreek Hill RB Darrell Henderson Jr. WR Mecole Hardman RB Clyde Edwards-Helaire,,Cam Akers,RB,3.00%,14.4
48,2381981996,BriereBear,0,131.12,DST Broncos  WR Antonio Brown QB Taysom Hill TE Jordan Reed RB Raheem Mostert FLEX Melvin Gordon III WR Michael Thomas WR Tyreek Hill RB Ronald Jones II,,Royce Freeman,RB,3.00%,5
49,2382084433,Haleduck,0,131.07999,DST Broncos  TE Travis Kelce WR Robert Woods WR Mike Evans WR Demarcus Robinson FLEX Josh Reynolds QB Patrick Mahomes RB Ronald Jones II RB Clyde Edwards-Helaire,,Tyler Higbee,TE,3.00%,1.6
50,2381535512,jstadt,0,130.82,DST 49ers  TE Jared Cook WR Antonio Brown QB Taysom Hill WR Mike Evans RB Melvin Gordon III RB Phillip Lindsay FLEX Alvin Kamara WR Tyreek Hill,,Malcolm Brown,RB,3.00%,2.9
51,2381840056,BKM1992,0,130.18,DST Saints  TE Tyler Higbee RB Melvin Gordon III WR Michael Thomas RB Alvin Kamara WR Tyreek Hill QB Patrick Mahomes WR Byron Pringle FLEX Nick Keizer,,Nick Keizer,FLEX,2.00%,0
52,2382809871,qbills30,0,129.5,DST Saints  QB Tom Brady TE Rob Gronkowski WR Antonio Brown WR Mike Evans FLEX Cooper Kupp RB Leonard Fournette WR Chris Godwin RB Ronald Jones II,,Van Jefferson Jr.,WR,2.00%,0
53,2381618668,Kslyy2020,0,128.1,DST Saints  QB Tom Brady TE Rob Gronkowski WR Antonio Brown FLEX Travis Kelce WR Demarcus Robinson WR Chris Godwin RB Ronald Jones II RB Clyde Edwards-Helaire,,Buccaneers ,DST,2.00%,4
54,2382015641,mythicalrhymer01,0,128.08,DST Saints  WR Antonio Brown TE Jordan Reed WR Robert Woods RB Raheem Mostert QB Nick Mullens RB Alvin Kamara WR Richie James FLEX Tyreek Hill,,Jeff Wilson Jr.,FLEX,2.00%,3.3
55,2382746273,gfilez3,0,127.100006,DST Chiefs  QB Tom Brady FLEX Rob Gronkowski TE Travis Kelce WR Robert Woods RB Raheem Mostert WR Demarcus Robinson RB Alvin Kamara WR Chris Godwin,,Ke'Shawn Vaughn,RB,1.00%,0
56,2382459944,Louigilg,0,126.420006,DST Broncos  TE Travis Kelce QB Taysom Hill RB Malcolm Brown FLEX Cooper Kupp RB Alvin Kamara WR Josh Reynolds WR Tyreek Hill WR Tre'Quan Smith,,Jerry Jeudy,WR,1.00%,0
57,2381886903,zryan4,0,126.08001,DST Chiefs  WR Robert Woods FLEX Mike Evans WR Sammy Watkins WR Chris Godwin QB Patrick Mahomes RB Ronald Jones II TE Noah Fant RB Clyde Edwards-Helaire,,Adam Trautman,FLEX,1.00%,1.8
58,2382658202,Crhydeck,0,122.42,DST Saints  QB Taysom Hill WR Robert Woods FLEX Tyler Higbee RB Melvin Gordon III RB Alvin Kamara WR Tyreek Hill WR Tim Patrick TE Noah Fant,,Byron Pringle,WR,1.00%,0
59,2382622280,whyknots,0,122.30001,DST Saints  QB Tom Brady FLEX Rob Gronkowski TE Travis Kelce WR Robert Woods WR Sammy Watkins WR Tim Patrick RB Ronald Jones II RB Clyde Edwards-Helaire,,Austin Walter,RB,1.00%,0
60,2381761074,CSM3,0,121.8,DST 49ers  QB Tom Brady TE Cameron Brate WR Mike Evans RB Melvin Gordon III WR Michael Thomas RB Alvin Kamara FLEX Leonard Fournette WR Deebo Samuel,,Nick Mullens,QB,1.00%,9.08
61,2382178532,dmissal,0,121.78,DST Saints  TE Travis Kelce WR Robert Woods WR Sammy Watkins WR Michael Thomas FLEX Ross Dwelley RB Royce Freeman QB Patrick Mahomes RB Ronald Jones II,,Kyle Juszczyk,RB,1.00%,5.2
62,2382461524,Dkjones365,0,117.78,DST Saints  WR Cooper Kupp RB Alvin Kamara TE Ross Dwelley RB Leonard Fournette WR Deebo Samuel QB Patrick Mahomes FLEX Ronald Jones II WR Mecole Hardman,,Xavier Jones,RB,1.00%,0
63,2381679703,DeBunny,0,116.319984,DST Saints  RB Latavius Murray WR Robert Woods WR Mike Evans WR Cooper Kupp QB Jared Goff TE Gerald Everett FLEX Ronald Jones II RB Clyde Edwards-Helaire,,Tyrie Cleveland,WR,1.00%,0
64,2382723648,ciaranhanleyuk,0,116.18,DST Broncos  WR Antonio Brown TE Travis Kelce FLEX Jordan Reed RB Raheem Mostert RB Alvin Kamara WR Josh Reynolds WR Deebo Samuel QB Patrick Mahomes,,Ty Montgomery,RB,1.00%,0
65,2382577180,cth172,0,114.88001,DST Broncos  WR Antonio Brown TE Travis Kelce WR Sammy Watkins FLEX Demarcus Robinson WR Chris Godwin QB Patrick Mahomes RB Ronald Jones II RB Clyde Edwards-Helaire,,Tyler Johnson,WR,1.00%,0
66,2381647134,candyman76574,0,114.52,DST 49ers  TE Rob Gronkowski QB Taysom Hill WR Mike Evans WR Michael Thomas WR Cooper Kupp FLEX Phillip Lindsay RB Ronald Jones II RB Clyde Edwards-Helaire,,,
67,2382761159,Knyse30,0,112.81999,DST Saints  FLEX Rob Gronkowski WR Antonio Brown TE Travis Kelce WR Robert Woods RB Melvin Gordon III QB Jared Goff WR Chris Godwin RB Ronald Jones II,,,
68,2381975037,flavorxxx,0,111.48,DST Saints  WR Emmanuel Sanders TE Travis Kelce RB Jerick McKinnon WR Sammy Watkins FLEX Josh Reynolds WR Chris Godwin QB Patrick Mahomes RB Clyde Edwards-Helaire,,,
69,2381750778,Reboundboy,0,107.38,DST Saints  TE Travis Kelce WR Robert Woods WR Sammy Watkins RB Melvin Gordon III RB Alvin Kamara FLEX Josh Reynolds QB Patrick Mahomes WR Van Jefferson Jr.,,,
70,2381654646,Bigharv53,0,106.420006,DST Saints  TE Rob Gronkowski QB Taysom Hill FLEX Michael Thomas WR Chris Godwin RB Ronald Jones II WR Mecole Hardman WR Jerry Jeudy RB Clyde Edwards-Helaire,,,
71,2382171027,TarheelTorrence,0,106.32,DST Saints  RB Latavius Murray QB Taysom Hill TE Cameron Brate WR Robert Woods WR Sammy Watkins WR Cooper Kupp RB Alvin Kamara FLEX Darrell Henderson Jr.,,,
72,2382249326,Richgalusha62,0,106.22,DST Chiefs  TE Rob Gronkowski WR Antonio Brown QB Taysom Hill FLEX Cameron Brate WR Mike Evans WR Michael Thomas RB Alvin Kamara RB Ronald Jones II,,,
73,2382721227,Skeedar,0,106.2,DST Saints  QB Tom Brady TE Rob Gronkowski WR Antonio Brown WR Mike Evans WR Cooper Kupp FLEX Demarcus Robinson RB Alvin Kamara RB Darrell Henderson Jr.,,,
74,2381574941,packerbackerdale,0,104.92,DST Saints  TE Travis Kelce QB Taysom Hill FLEX Jordan Reed WR Robert Woods WR Sammy Watkins RB Alvin Kamara RB Ronald Jones II WR Mecole Hardman,,,
75,2381815559,Joe0171,0,103.12,DST 49ers  TE Travis Kelce QB Taysom Hill WR Robert Woods WR Cooper Kupp RB Phillip Lindsay RB Ronald Jones II WR Mecole Hardman FLEX Clyde Edwards-Helaire,,,
75,2381703528,Millennium_Falcons,0,103.119995,DST Saints  TE Rob Gronkowski QB Taysom Hill WR Robert Woods FLEX Sammy Watkins RB Melvin Gordon III WR Michael Thomas RB Alvin Kamara WR Josh Reynolds,,,
77,2382142890,Toddtighe,0,101.68,DST Rams  WR Antonio Brown TE Travis Kelce RB Jerick McKinnon WR Sammy Watkins RB Alvin Kamara FLEX Josh Reynolds WR Richie James QB Patrick Mahomes,,,
78,2382531814,ndesmarais15,0,101.58,DST Broncos  WR Antonio Brown TE Travis Kelce WR Robert Woods FLEX Sammy Watkins RB Raheem Mostert WR Cooper Kupp RB Phillip Lindsay QB Patrick Mahomes,,,
79,2382273631,jdbalentine,0,100.82,DST Saints  TE Rob Gronkowski QB Taysom Hill FLEX Jerick McKinnon WR Cooper Kupp WR Demarcus Robinson RB Alvin Kamara WR Chris Godwin RB Clyde Edwards-Helaire,,,
80,2381575175,Zmanbamafan,0,98.81999,DST Rams  QB Taysom Hill TE Cameron Brate WR Robert Woods FLEX Melvin Gordon III WR Michael Thomas RB Alvin Kamara WR Kendrick Bourne RB Ronald Jones II,,,
81,2381507027,guyb08,0,97.02,DST Saints  WR Emmanuel Sanders TE Travis Kelce FLEX Robert Woods WR Mike Evans RB Melvin Gordon III WR Cooper Kupp QB Jared Goff RB Cam Akers,,,
82,2382522640,Keen024,0,96.119995,DST Saints  TE Rob Gronkowski QB Taysom Hill WR Robert Woods WR Sammy Watkins RB Melvin Gordon III WR Cooper Kupp RB Alvin Kamara FLEX Leonard Fournette,,,
83,2382303333,danicjas,0,95.12001,DST Broncos  WR Emmanuel Sanders WR Cooper Kupp QB Jared Goff RB Alvin Kamara WR Tyreek Hill FLEX Jeff Wilson Jr. TE Noah Fant RB Clyde Edwards-Helaire,,,
84,2381815312,keychins,0,95.08,DST Chiefs  TE Jared Cook WR Robert Woods WR Mike Evans WR Cooper Kupp RB Alvin Kamara QB Patrick Mahomes FLEX Adam Trautman RB Clyde Edwards-Helaire,,,
85,2382652285,lowballexpress,0,95.020004,DST Saints  TE Travis Kelce QB Taysom Hill WR Robert Woods WR Sammy Watkins RB Alvin Kamara WR Josh Reynolds FLEX Tre'Quan Smith RB Clyde Edwards-Helaire,,,
86,2382693271,drizzydre02,0,93.520004,DST Rams  WR Antonio Brown TE Travis Kelce QB Taysom Hill WR Robert Woods RB Raheem Mostert WR Cooper Kupp FLEX Tre'Quan Smith RB Clyde Edwards-Helaire,,,
87,2381551300,KweenKami,0,89.48,DST Chiefs  FLEX Emmanuel Sanders TE Travis Kelce WR Robert Woods WR Sammy Watkins RB Melvin Gordon III WR Tim Patrick QB Patrick Mahomes RB Clyde Edwards-Helaire,,,
88,2382032716,jayceebeepats,0,86.51999,DST Saints  WR Emmanuel Sanders TE Rob Gronkowski WR Antonio Brown WR Robert Woods RB Melvin Gordon III QB Jared Goff FLEX Alvin Kamara RB Ronald Jones II,,,
89,2381698322,Drewdrew69me,0,86.020004,DST Saints  WR Emmanuel Sanders TE Travis Kelce QB Taysom Hill FLEX Cooper Kupp WR Chris Godwin RB Darrell Henderson Jr. WR Mecole Hardman RB Clyde Edwards-Helaire,,,
90,2382404992,VThomas80,0,85.58,DST Saints  WR Emmanuel Sanders WR Antonio Brown WR Robert Woods RB Alvin Kamara FLEX Tre'Quan Smith QB Patrick Mahomes TE Noah Fant RB Clyde Edwards-Helaire,,,
91,2382644701,tstmj121314,0,84.72,DST Rams  FLEX Emmanuel Sanders WR Antonio Brown TE Travis Kelce RB Melvin Gordon III QB Jared Goff RB Alvin Kamara WR Kendrick Bourne WR Deebo Samuel,,,
92,2382706483,tee251,0,78.22,DST Saints  QB Taysom Hill RB Le'Veon Bell WR Sammy Watkins WR Michael Thomas WR Cooper Kupp RB Alvin Kamara FLEX Josh Reynolds TE Noah Fant,,,
93,2382034056,Kangel196,0,75.78,DST Saints  TE Jared Cook WR Emmanuel Sanders WR Sammy Watkins FLEX Michael Thomas RB Phillip Lindsay RB Alvin Kamara WR Tim Patrick QB Patrick Mahomes,,,
94,2382122666,UncleDutchy,0,75.4,DST Rams  QB Tom Brady TE Jared Cook WR Emmanuel Sanders FLEX Michael Thomas WR Cooper Kupp RB Alvin Kamara WR Josh Reynolds RB Darrell Henderson Jr.,,,
95,2382346665,telgar42,0,73.82,DST Saints  TE Jared Cook WR Emmanuel Sanders WR Robert Woods FLEX Sammy Watkins QB Jared Goff RB Alvin Kamara WR Chris Godwin RB Clyde Edwards-Helaire,,,
96,2382750825,okie69,0,70.42,DST Chiefs  TE Jared Cook QB Taysom Hill WR Robert Woods WR Sammy Watkins WR Michael Thomas FLEX Cooper Kupp RB Alvin Kamara RB Darrell Henderson Jr.,,,
97,2382088414,fluidone,0,69.22,DST Rams  WR Emmanuel Sanders FLEX Travis Kelce WR Cooper Kupp QB Jared Goff WR Tim Patrick RB Ronald Jones II TE Noah Fant RB Clyde Edwards-Helaire,,,
98,2382687446,astevn816,0,68.62,DST Broncos  WR Robert Woods WR Mike Evans WR Cooper Kupp QB Jared Goff FLEX Alvin Kamara RB Leonard Fournette TE Gerald Everett RB Darrell Henderson Jr.,,,
99,2382620071,roidedup,0,60.020004,DST Chiefs  WR Antonio Brown TE Travis Kelce WR Cooper Kupp WR Demarcus Robinson QB Jared Goff RB Alvin Kamara FLEX Richie James RB Clyde Edwards-Helaire,,,
100,2381606047,Daveanton9,0,0,,,,
