Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,2377121400,syrup,0,129.22,QB Jared Goff RB Dalvin Cook RB Nick Chubb WR Amari Cooper WR JuJu Smith-Schuster WR Darius Slayton FLEX T.Y. Hilton TE Eric Ebron DST Cardinals ,,Dalvin Cook,RB,60.00%,11.2
2,2377113585,Mr.420loudpacks,0,122.000015,QB Derek Carr RB Ezekiel Elliott RB Antonio Gibson WR Terry McLaurin WR Robert Woods WR Michael Pittman Jr. FLEX Breshad Perriman TE Travis Kelce DST Seahawks ,,Darius Slayton,WR,40.00%,0
3,2377151721,brewerswx,0,85.34,QB Aaron Rodgers RB Dalvin Cook RB Aaron Jones WR Tyler Lockett WR Cooper Kupp FLEX Demarcus Robinson WR KJ Hamler TE Richard Rodgers DST Chiefs ,,Daniel Jones,QB,20.00%,10.42
4,2377050982,ndesmarais15,0,69.52,QB Daniel Jones RB Dalvin Cook RB Josh Jacobs FLEX Davante Adams WR Darius Slayton WR Jakeem Grant WR A.J. Green TE Evan Engram DST Raiders ,,Josh Jacobs,RB,20.00%,6.4
5,2376986199,ianstetkiewicz,0,0,,,Davante Adams,FLEX,20.00%,18.1
,,,,,,,Jakeem Grant,WR,20.00%,3.5
,,,,,,,A.J. Green,WR,20.00%,0
,,,,,,,Evan Engram,TE,20.00%,20.9
,,,,,,,Raiders ,DST,20.00%,-1
,,,,,,,Derek Carr,QB,20.00%,4.6
,,,,,,,Ezekiel Elliott,RB,20.00%,3.9
,,,,,,,Antonio Gibson,RB,20.00%,39.6
,,,,,,,Terry McLaurin,WR,20.00%,16.2
,,,,,,,Robert Woods,WR,20.00%,15.8
,,,,,,,Michael Pittman Jr.,WR,20.00%,4.8
,,,,,,,Breshad Perriman,FLEX,20.00%,11.9
,,,,,,,Travis Kelce,TE,20.00%,16.2
,,,,,,,Seahawks ,DST,20.00%,9
,,,,,,,Jared Goff,QB,20.00%,6.02
,,,,,,,Nick Chubb,RB,20.00%,29.6
,,,,,,,Amari Cooper,WR,20.00%,26.2
,,,,,,,JuJu Smith-Schuster,WR,20.00%,17.7
,,,,,,,T.Y. Hilton,FLEX,20.00%,18.1
,,,,,,,Eric Ebron,TE,20.00%,12.4
,,,,,,,Cardinals ,DST,20.00%,8
,,,,,,,Aaron Rodgers,QB,20.00%,25.64
,,,,,,,Aaron Jones,RB,20.00%,10
,,,,,,,Tyler Lockett,WR,20.00%,5.3
,,,,,,,Cooper Kupp,WR,20.00%,6.1
,,,,,,,Demarcus Robinson,FLEX,20.00%,8.6
,,,,,,,KJ Hamler,WR,20.00%,-0.8
,,,,,,,Richard Rodgers,TE,20.00%,14.3
,,,,,,,Chiefs ,DST,20.00%,5
