Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
26,2381983220,mandulabigdummy,0,141.1,DST Jets  FLEX Cole Beasley QB Derek Carr TE Tyler Eifert WR Keenan Allen WR Nelson Agholor RB Derrick Henry RB Nick Chubb WR DJ Moore,,DJ Moore,WR,12.50%,10.1
27,2382197197,Richgalusha62,0,140.8,DST Bills  QB Derek Carr RB Derrick Henry TE Mike Gesicki WR Jakobi Meyers FLEX Hayden Hurst RB Josh Jacobs WR A.J. Brown WR Justin Jefferson,,Hunter Henry,TE,12.50%,13.7
28,2381552195,JC917,0,139.98001,DST Giants  QB Kirk Cousins WR Jamison Crowder RB Kenyan Drake TE Evan Engram FLEX Keelan Cole Sr. RB Dalvin Cook WR Christian Kirk WR Justin Jefferson,,Keelan Cole Sr.,FLEX,12.50%,7.4
29,2382096021,jbvikes,0,139.28,DST Browns  QB Ryan Fitzpatrick WR DeVante Parker FLEX Mo Alie-Cox TE Hunter Henry WR Curtis Samuel RB Nick Chubb RB Dalvin Cook WR Justin Jefferson,,Dolphins ,DST,12.50%,14
30,2382088785,UncleDutchy,0,139.2,DST Bills  WR Cole Beasley QB Derek Carr TE Darren Waller RB Kenyan Drake FLEX Derrick Henry WR Curtis Samuel RB Nyheim Hines WR Calvin Ridley,,Kyle Rudolph,TE,12.00%,13.8
31,2381852725,biggbankroll,0,139.04001,DST Jaguars  FLEX Mike Davis RB Wayne Gallman Jr. TE Jonnu Smith WR Curtis Samuel WR Calvin Ridley QB Justin Herbert RB James Robinson WR Justin Jefferson,,Justin Herbert,QB,12.00%,20.44
32,2381893757,piracy1068,0,138.48,DST Jaguars  QB Ryan Fitzpatrick WR Jarvis Landry TE Jonnu Smith FLEX Evan Engram RB Dalvin Cook WR Christian Kirk WR Calvin Ridley RB James Robinson,,Kyler Murray,QB,12.00%,8.9
33,2382382740,ndesmarais15,0,137.18,DST Bengals  WR Cole Beasley TE Kyle Rudolph FLEX Keenan Allen RB Dalvin Cook QB Josh Allen RB Nyheim Hines WR Gabriel Davis WR Justin Jefferson,,Robby Anderson,WR,11.00%,19.4
34,2381113391,bigtony747,0,136.82,DST Colts  WR DeAndre Hopkins WR Jarvis Landry RB Mike Davis RB Derrick Henry TE Evan Engram FLEX Hunter Renfrow QB Daniel Jones WR Darius Slayton,,Michael Pittman Jr.,WR,10.00%,4.8
35,2382220612,MarcLintermann,0,135.08,DST Giants  QB Ryan Fitzpatrick WR DeVante Parker RB Derrick Henry WR Russell Gage RB Dalvin Cook WR Denzel Mims FLEX Josh Jacobs TE Adam Shaheen,,Jonnu Smith,TE,9.50%,0
36,2381115634,MVP_of_fantasy,0,134.78,DST Browns  QB Ryan Fitzpatrick TE Kyle Rudolph WR DeVante Parker WR Nelson Agholor RB Nick Chubb RB Dalvin Cook WR DJ Moore FLEX Nyheim Hines,,Mike Davis,RB,9.50%,10.9
37,2382268769,LuckyLindy1994,0,134.48,DST Vikings  QB Kirk Cousins TE Darren Waller WR Robby Anderson RB Nick Chubb FLEX Tyler Conklin WR DJ Moore RB Josh Jacobs WR Justin Jefferson,,Colts ,DST,9.00%,-3
38,2381972656,SPEEDCULT,0,134.07999,DST Giants  QB Ryan Fitzpatrick WR DeVante Parker RB Wayne Gallman Jr. TE Evan Engram FLEX Brian Hill RB Dalvin Cook WR Jakobi Meyers WR Calvin Ridley,,Austin Ekeler,RB,9.00%,23.9
39,2381260762,swanniebaby,0,133.04001,DST Giants  FLEX Darren Waller WR DeVante Parker TE Jonnu Smith RB Jordan Wilkins RB Nick Chubb WR DJ Moore QB Justin Herbert WR Justin Jefferson,,Jamison Crowder,WR,8.00%,6.1
40,2381290330,damacklion,0,132.87999,DST Browns  WR Cole Beasley TE Tyler Eifert WR Jarvis Landry WR Mike Williams FLEX Dalvin Cook QB Josh Allen RB Nyheim Hines RB James Robinson,,Jakobi Meyers,WR,8.00%,10.2
41,2382024106,rryba34,0,132.38,DST Bills  WR Cole Beasley TE Tyler Kroft WR Stefon Diggs RB Kenyan Drake RB Nick Chubb QB Josh Allen FLEX Zack Moss WR Justin Jefferson,,Sterling Shepard,WR,8.00%,13.8
42,2381384070,bigal6692,0,132.24,DST Colts  QB Ryan Tannehill FLEX Jamison Crowder TE Darren Waller WR Robby Anderson WR Tyler Boyd RB Austin Ekeler RB James Robinson WR Justin Jefferson,,Kenyan Drake,RB,8.00%,24.3
43,2381930098,fluidone,0,131.77998,DST Dolphins  QB Ryan Fitzpatrick TE Darren Waller WR DeVante Parker WR Nelson Agholor RB Kareem Hunt WR Curtis Samuel FLEX DJ Moore RB James Robinson,,Christian Kirk,FLEX,8.00%,4.9
44,2381351486,stanmans9,0,131.58,DST Giants  WR T.Y. Hilton TE Darren Waller RB Wayne Gallman Jr. RB Dalvin Cook QB Josh Allen FLEX Nyheim Hines WR Calvin Ridley WR Gabriel Davis,,Damiere Byrd,WR,7.50%,6.3
45,2381612533,ElectricAve,0,131.5,DST Vikings  QB Matt Ryan WR DeVante Parker RB Brian Hill RB Dalvin Cook TE Mike Gesicki FLEX Nyheim Hines WR Calvin Ridley WR Justin Jefferson,,Tyler Boyd,FLEX,7.00%,4.5
46,2381895669,Big_Cox,0,131.38,DST Colts  QB Ryan Fitzpatrick WR DeVante Parker WR Stefon Diggs TE Evan Engram FLEX Nick Chubb RB Brian Hill RB Chase Edmonds WR Calvin Ridley,,Mike Gesicki,FLEX,7.00%,11.5
47,2381136664,jsmit197,0,131.14,DST Giants  QB Ryan Tannehill TE Trey Burton WR DeAndre Hopkins WR Jamison Crowder WR Robby Anderson RB Nyheim Hines FLEX James Robinson RB Josh Jacobs,,Jarvis Landry,WR,6.50%,31.3
48,2381680974,Darth_Dracuul,0,131.04001,DST Dolphins  TE Kyle Rudolph WR Keenan Allen WR Stefon Diggs RB Wayne Gallman Jr. RB Matt Breida FLEX Brian Hill QB Justin Herbert WR Justin Jefferson,,Trey Burton,TE,6.50%,13.2
49,2381794020,bsm80,0,130.38,DST Browns  QB Ryan Fitzpatrick WR DeVante Parker TE Hunter Henry WR KhaDarel Hodge FLEX Nick Chubb RB Dalvin Cook WR DJ Moore RB Nyheim Hines,,Mike Williams,WR,5.50%,5.6
50,2382142687,squibbed,0,129.68,DST Dolphins  FLEX Keenan Allen WR DeVante Parker RB Derrick Henry WR Mike Williams TE Jonnu Smith RB Brian Hill QB Josh Allen WR Laviska Shenault Jr.,,Jets ,DST,5.50%,9
51,2381999223,bac544385,0,129.12,DST Giants  WR Cole Beasley RB Derrick Henry TE Evan Engram FLEX Keelan Cole Sr. WR Curtis Samuel RB Dalvin Cook QB Daniel Jones WR Laviska Shenault Jr.,,A.J. Brown,WR,5.50%,25.8
52,2381774568,CSM3,0,128.3,DST Bills  RB Frank Gore WR Cole Beasley TE Kyle Rudolph WR Stefon Diggs RB Derrick Henry FLEX Austin Hooper QB Kyler Murray WR Calvin Ridley,,Daniel Jones,QB,5.00%,10.42
53,2382049679,rubygirl01,0,127.94,DST Colts  TE Darren Waller WR Breshad Perriman WR Corey Davis FLEX Curtis Samuel RB Nick Chubb WR DJ Moore QB Justin Herbert RB James Robinson,,Laviska Shenault Jr.,WR,5.00%,6.7
54,2381234317,illboyz24,0,127.78,DST Jets  TE Kyle Rudolph WR Stefon Diggs RB Brian Hill RB Dalvin Cook QB Josh Allen FLEX Calvin Ridley WR Gabriel Davis WR Justin Jefferson,,Austin Hooper,TE,5.00%,9.3
55,2381707448,Millennium_Falcons,0,127.6,DST Giants  WR Damiere Byrd WR Stefon Diggs RB Derrick Henry FLEX Jonnu Smith TE Hunter Henry WR Keelan Cole Sr. QB Kyler Murray RB James Robinson,,Vikings ,DST,5.00%,5
