Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,2382963906,arbradt,0,230.87999,DST Vikings  QB Ryan Fitzpatrick WR DeVante Parker RB Derrick Henry RB Nick Chubb WR Tyreek Hill TE Hayden Hurst FLEX Gabriel Davis WR Justin Jefferson,,Saints ,DST,31.50%,14
2,2382132305,brianmturner,0,205.28,DST Saints  WR Jarvis Landry WR Sammy Watkins RB Nick Chubb WR Tyreek Hill QB Patrick Mahomes FLEX Hunter Renfrow TE Dawson Knox RB Clyde Edwards-Helaire,,Dalvin Cook,RB,25.50%,11.2
3,2381284705,jeffmack,0,188.24,DST Saints  WR Tyler Lockett WR Breshad Perriman RB Derrick Henry TE Austin Hooper FLEX Keelan Cole Sr. WR Tyreek Hill RB Nyheim Hines QB Justin Herbert,,Nyheim Hines,RB,18.00%,17.5
4,2381211818,rackemupgoogh7,0,188.08,DST Jets  WR Antonio Brown TE Tyler Eifert WR Robert Woods RB Kareem Hunt WR Tyreek Hill QB Patrick Mahomes RB Ronald Jones II FLEX James Robinson,,Justin Jefferson,WR,17.50%,26
5,2382976472,Harpo65,0,187.48001,DST Saints  QB Ryan Fitzpatrick TE Darren Waller RB Austin Ekeler WR Braxton Berrios WR Tyreek Hill WR DK Metcalf RB David Montgomery FLEX Jalen Reagor,,Kareem Hunt,RB,17.00%,6.2
6,2383137652,Bwilli386,0,186.28001,DST Giants  FLEX Rob Gronkowski TE Travis Kelce WR Sammy Watkins RB Wayne Gallman Jr. WR Tyreek Hill QB Patrick Mahomes RB Ronald Jones II WR Olamide Zaccheaus,,DK Metcalf,WR,17.00%,30.7
7,2381387979,Franco2956,0,181.3,DST Chiefs  QB Derek Carr TE Robert Tonyan RB Aaron Jones FLEX Keelan Cole Sr. RB Nick Chubb WR Tyreek Hill WR DK Metcalf WR Tee Higgins,,Nick Chubb,RB,16.00%,29.6
8,2381784570,Dj0904,0,179.18001,DST Browns  QB Ryan Fitzpatrick WR DeVante Parker WR Tyler Lockett RB Leonard Fournette FLEX Tyreek Hill TE Mike Gesicki RB David Montgomery WR Justin Jefferson,,Darren Waller,TE,15.50%,6.3
9,2382992168,Broncos0127,0,175.48,DST Saints  TE Travis Kelce WR Robert Woods WR Jarvis Landry QB Josh Allen FLEX Andy Isabella RB Nyheim Hines RB James Robinson WR Justin Jefferson,,DeVante Parker,WR,14.50%,22.9
10,2381376185,goldenstars,0,175.18,DST Broncos  QB Ryan Fitzpatrick TE Kyle Rudolph WR Tyreek Hill FLEX Brian Hill RB Dalvin Cook RB Nyheim Hines WR Calvin Ridley WR Justin Jefferson,,Robert Woods,WR,14.50%,15.8
11,2381702765,Millennium_Falcons,0,173.64,DST Saints  WR Damiere Byrd RB Derrick Henry FLEX Rashard Higgins TE Evan Engram WR Keelan Cole Sr. QB Justin Herbert RB James Robinson WR DK Metcalf,,Travis Kelce,TE,13.00%,16.2
12,2381871141,zryan4,0,172.44,DST Seahawks  QB Aaron Rodgers WR Robert Woods WR Robby Anderson WR Allen Robinson II TE Hunter Henry RB Nick Chubb FLEX Travis Fulgham RB David Montgomery,,Russell Wilson,QB,12.50%,14.4
13,2381071343,mkitch36,0,172.04,DST Saints  QB Aaron Rodgers WR Golden Tate WR Jarvis Landry WR Cooper Kupp RB Aaron Jones RB Leonard Fournette FLEX Tyreek Hill TE Mike Gesicki,,Cole Beasley,WR,12.50%,9.3
14,2382656688,dpwguy60,0,170.88,DST Giants  TE Travis Kelce RB Aaron Jones RB Kareem Hunt WR Keelan Cole Sr. WR Tyreek Hill QB Patrick Mahomes FLEX Nyheim Hines WR Darnell Mooney,,Brian Hill,RB,12.50%,5.5
15,2381356317,pditty4l,0,170.28,DST Jets  RB Frank Gore FLEX Michael Thomas TE Robert Tonyan RB Boston Scott WR Tyreek Hill QB Patrick Mahomes WR Darius Slayton WR Calvin Ridley,,Patrick Mahomes,QB,12.00%,35.28
16,2382602814,Kenlorie,0,170.21999,DST Saints  TE Marcedes Lewis FLEX Kyle Rudolph QB Taysom Hill RB Melvin Gordon III WR Tyreek Hill RB Dalvin Cook WR DK Metcalf WR Henry Ruggs III,,Robert Tonyan,FLEX,11.50%,17.7
17,2381757852,Socky,0,167.38,DST Rams  FLEX Antonio Brown TE Travis Kelce RB James White WR Breshad Perriman RB Leonard Fournette WR Tyreek Hill QB Patrick Mahomes WR Mecole Hardman,,James Robinson,RB,11.50%,29.9
18,2382730729,kdog3393,0,167.34,DST Bengals  WR Emmanuel Sanders RB Raheem Mostert WR Robby Anderson FLEX Michael Thomas TE Robert Tonyan RB Wayne Gallman Jr. WR Tyreek Hill QB Justin Herbert,,Stefon Diggs,FLEX,11.50%,10.9
19,2381057833,Boneheads68,0,166.1,DST Dolphins  QB Matt Ryan RB Mike Davis WR Mike Williams FLEX Kareem Hunt TE Dallas Goedert WR Tyreek Hill WR Michael Pittman Jr. RB David Montgomery,,Tyreek Hill,WR,11.00%,60.9
20,2382405099,batremain,0,164.23999,DST Seahawks  TE Kyle Rudolph WR Keenan Allen WR DeVante Parker WR Davante Adams RB Nick Chubb RB Nyheim Hines QB Justin Herbert FLEX Gabriel Davis,,Davante Adams,WR,11.00%,18.1
21,2381633986,NeefBuck88,0,163.48001,DST Vikings  TE Rob Gronkowski FLEX Latavius Murray WR Jarvis Landry WR Cooper Kupp RB Aaron Jones QB Patrick Mahomes WR DJ Moore RB Nyheim Hines,,Alvin Kamara,RB,11.00%,6.2
22,2381282014,lutzgooooo123,0,160.1,DST Seahawks  QB Mike Glennon TE Trey Burton WR Davante Adams RB Kareem Hunt FLEX Chris Carson RB James Robinson WR A.J. Brown WR Justin Jefferson,,Derek Carr,QB,10.50%,4.6
23,2381252888,EddieeVee,0,160.08,DST Broncos  RB Wayne Gallman Jr. TE Evan Engram FLEX Curtis Samuel RB Nick Chubb WR Chris Godwin QB Patrick Mahomes WR Calvin Ridley WR Michael Pittman Jr.,,Wayne Gallman Jr.,RB,10.50%,18.1
24,2381453188,MMTSNHOCKEY,0,157.72,DST Saints  QB Taysom Hill WR DeAndre Hopkins WR Damiere Byrd RB Wayne Gallman Jr. TE Dallas Goedert RB Chris Carson FLEX James Robinson WR Justin Jefferson,,Chris Carson,RB,10.50%,13.9
25,2383112756,HeHateMe1982,0,156.08,DST Saints  QB Ryan Fitzpatrick FLEX Cole Beasley WR Robert Woods WR Corey Davis RB Kareem Hunt TE Evan Engram RB James Robinson WR DK Metcalf,,Hunter Henry,TE,10.50%,13.7
26,2383056629,lman527,0,155.54,DST Saints  WR DeVante Parker FLEX Greg Ward TE Hunter Henry RB Nick Chubb WR DJ Moore RB Nyheim Hines QB Justin Herbert WR Justin Jefferson,,Josh Jacobs,RB,10.50%,6.4
27,2381653863,Bigharv53,0,155.5,DST Patriots  WR Jakeem Grant TE Richard Rodgers RB Kenyan Drake RB Derrick Henry FLEX Kareem Hunt QB Kyler Murray WR A.J. Brown WR Justin Jefferson,,Ryan Fitzpatrick,QB,10.00%,19.28
28,2381326734,Carlosh8,0,155.37999,DST Colts  TE Jimmy Graham WR Tyler Boyd FLEX Keelan Cole Sr. WR Tyreek Hill RB Dalvin Cook QB Patrick Mahomes RB Nyheim Hines WR Tee Higgins,,Keenan Allen,WR,10.00%,16
29,2382428821,jkmom123098,0,155.08,DST Saints  TE Jimmy Graham FLEX Cole Beasley WR Michael Thomas RB Mike Davis QB Mitchell Trubisky RB Wayne Gallman Jr. WR Tyreek Hill WR Michael Pittman Jr.,,Seahawks ,DST,10.00%,9
30,2381416028,out2000_98,0,155,DST Titans  QB Derek Carr WR Keenan Allen TE Darren Waller WR DeVante Parker FLEX Raheem Mostert WR Tyreek Hill RB Brian Hill RB Nyheim Hines,,Justin Herbert,QB,10.00%,20.44
31,2383056198,woodsmaster,0,153.28,DST Saints  QB Ryan Fitzpatrick TE Travis Kelce FLEX Jamison Crowder WR DeVante Parker RB Brian Hill RB Nyheim Hines WR A.J. Brown WR Justin Jefferson,,Cooper Kupp,WR,9.50%,6.1
32,2382721254,davidafisk,0,153.2,DST Saints  WR Golden Tate QB Russell Wilson RB Nick Chubb WR Chris Godwin TE Mike Gesicki RB Nyheim Hines WR Jakobi Meyers FLEX DK Metcalf,,Evan Engram,TE,9.50%,20.9
33,2382574471,deadeye127,0,152.98,DST Bears  QB Ryan Fitzpatrick FLEX Robby Anderson WR Davante Adams TE Dallas Goedert RB Brian Hill RB Nyheim Hines WR DK Metcalf WR Justin Jefferson,,Calvin Ridley,WR,9.50%,17
34,2383359586,Bryan1337,0,152.87999,DST Dolphins  QB Ryan Fitzpatrick WR DeVante Parker TE Hunter Henry FLEX Kareem Hunt WR Curtis Samuel RB Nick Chubb RB Nyheim Hines WR Calvin Ridley,,Josh Allen,QB,9.00%,17.48
35,2381623043,Maldasean,0,152.38,DST Browns  TE Robert Tonyan WR Stefon Diggs RB Alvin Kamara FLEX Keelan Cole Sr. WR Tyreek Hill WR Hunter Renfrow QB Josh Allen RB Nyheim Hines,,Jamison Crowder,WR,9.00%,6.1
36,2383144689,tasha4fam,0,152.17998,DST Dolphins  WR Jarvis Landry WR Jamison Crowder WR DeVante Parker TE Hunter Henry RB Kareem Hunt QB Patrick Mahomes RB Chris Carson FLEX Zack Moss,,Travis Fulgham,FLEX,8.50%,3.6
37,2383181409,jbarlow12,0,151.78,DST Seahawks  QB Ryan Fitzpatrick WR Cole Beasley TE Kyle Rudolph RB Wayne Gallman Jr. RB Dalvin Cook WR Calvin Ridley WR A.J. Brown FLEX David Montgomery,,Keelan Cole Sr.,WR,8.50%,7.4
38,2383176387,ronsville,0,151.09999,DST Saints  TE Tyler Eifert WR Allen Robinson II QB Carson Wentz RB Dalvin Cook WR Travis Fulgham WR Jakobi Meyers RB David Montgomery FLEX Justin Jefferson,,DJ Moore,WR,8.50%,10.1
