Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
25,2382689655,cwsmarathon,0,164.28,QB Patrick Mahomes RB Dalvin Cook RB James Robinson FLEX Nyheim Hines WR Justin Jefferson WR Cole Beasley WR Andy Isabella TE Kyle Rudolph DST Saints ,,Kareem Hunt,RB,12.00%,6.2
26,2382664713,Carolina_Dolfan,0,163.24,QB Justin Herbert RB Josh Jacobs RB James Robinson FLEX Matt Breida WR Tyreek Hill WR Mike Williams WR Nelson Agholor TE Austin Hooper DST Saints ,,Keelan Cole Sr.,WR,11.00%,7.4
27,2382611003,bdevil316,0,162.38,QB Ryan Fitzpatrick FLEX Nick Chubb RB Mike Davis RB James Robinson WR Calvin Ridley WR DeVante Parker WR Andy Isabella TE Mike Gesicki DST Saints ,,Giants ,DST,11.00%,9
28,2382520573,CATCH26,0,161.09999,QB Derek Carr FLEX Nick Chubb RB Austin Ekeler RB Wayne Gallman Jr. WR DeVante Parker WR Jarvis Landry WR Nelson Agholor TE Darren Waller DST Saints ,,Kyle Rudolph,TE,11.00%,13.8
29,2382620858,grammygrams7,0,159.28,QB Ryan Fitzpatrick FLEX Nick Chubb RB Wayne Gallman Jr. RB Nyheim Hines WR Keenan Allen WR DJ Moore WR Sterling Shepard TE Evan Engram DST Saints ,,Justin Herbert,QB,10.50%,20.44
30,2382718361,korvac2015,0,159.14,QB Ryan Tannehill RB Derrick Henry FLEX Nick Chubb RB Jonathan Taylor WR A.J. Brown WR Corey Davis WR T.Y. Hilton TE Jonnu Smith DST Rams ,,Robert Woods,FLEX,10.50%,15.8
31,2382624644,astevn816,0,158.18,QB Patrick Mahomes RB Clyde Edwards-Helaire RB Sony Michel WR Tyreek Hill FLEX Curtis Samuel WR Tee Higgins WR Sammy Watkins TE Travis Kelce DST Vikings ,,Evan Engram,TE,9.00%,20.9
32,2382650517,Iambossofuwo,0,158.09999,QB Matt Ryan RB Josh Jacobs FLEX Nick Chubb RB Kareem Hunt WR Tyreek Hill WR Nelson Agholor WR Michael Pittman Jr. TE Evan Engram DST Jaguars ,,Michael Pittman Jr.,WR,9.00%,4.8
33,2382357420,Sphinx1769,0,155.34,QB Ryan Tannehill RB Giovani Bernard RB Kareem Hunt WR Tyreek Hill WR Mike Evans FLEX Robert Woods WR Curtis Samuel TE Hunter Henry DST Browns ,,Alvin Kamara,FLEX,8.50%,6.2
34,2382643754,aviddevil,0,155.08,QB Ryan Fitzpatrick FLEX Derrick Henry RB Josh Jacobs RB Nick Chubb WR DeVante Parker WR Antonio Brown WR Curtis Samuel TE Tyler Eifert DST Bengals ,,Kyler Murray,QB,8.50%,8.9
35,2382429168,MentySTL,0,154.09999,QB Derek Carr RB Derrick Henry RB Nick Chubb WR Keenan Allen WR Justin Jefferson WR Nelson Agholor FLEX Andy Isabella TE Hunter Henry DST Vikings ,,Hunter Henry,TE,8.50%,13.7
36,2382425014,deanobrown850,0,154.02,QB Taysom Hill RB Dalvin Cook RB Leonard Fournette WR Tyreek Hill WR DeVante Parker WR Nelson Agholor FLEX Demarcus Robinson TE Mike Gesicki DST Chiefs ,,DeAndre Hopkins,WR,8.00%,10.5
37,2382733352,jayt208,0,153.78,QB Josh Allen RB Josh Jacobs RB Brian Hill WR Justin Jefferson WR DeVante Parker WR Cole Beasley FLEX Jarvis Landry TE Evan Engram DST Saints ,,Cooper Kupp,WR,7.50%,6.1
38,2382659260,Mlowitz,0,152.58,QB Josh Allen RB James Robinson RB Nyheim Hines WR Robby Anderson FLEX Chris Godwin WR Robert Woods WR Cole Beasley TE Mike Gesicki DST Saints ,,Antonio Brown,WR,7.50%,3.1
39,2382537492,eschu14,0,151.20001,QB Kyler Murray FLEX Derrick Henry RB Nyheim Hines RB Brian Hill WR Stefon Diggs WR Justin Jefferson WR Andy Isabella TE Rob Gronkowski DST Saints ,,Mike Gesicki,TE,7.50%,11.5
40,2382634645,Socky,0,151.04001,QB Ryan Tannehill RB Leonard Fournette RB Phillip Lindsay WR Tyreek Hill FLEX DeVante Parker WR Antonio Brown WR Sammy Watkins TE Travis Kelce DST Saints ,,Derrick Henry,RB,7.50%,41.5
41,2382427120,JoeyTeddys,0,149.48,QB Ryan Fitzpatrick FLEX Nick Chubb RB Brian Hill RB Matt Breida WR Stefon Diggs WR Calvin Ridley WR Justin Jefferson TE Evan Engram DST Saints ,,Michael Thomas,WR,7.00%,9.1
42,2382590861,jhk0050,0,149.38,QB Ryan Fitzpatrick RB James Robinson RB Austin Ekeler WR Cooper Kupp WR DJ Moore WR DeVante Parker FLEX Gabriel Davis TE Darren Waller DST Saints ,,Jakobi Meyers,WR,6.50%,10.2
43,2382691371,Operator34,0,148.4,QB Philip Rivers RB Mike Davis RB Jordan Wilkins FLEX Michael Thomas WR Justin Jefferson WR Chris Godwin WR Deebo Samuel TE Evan Engram DST Giants ,,Chris Godwin,WR,6.50%,17.7
44,2382464254,BDUB99164318,0,148.28,QB Kirk Cousins RB Josh Jacobs RB Nick Chubb WR DeAndre Hopkins WR Justin Jefferson FLEX Mike Evans WR Keelan Cole Sr. TE Trey Burton DST Vikings ,,Christian Kirk,WR,6.50%,4.9
