QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions,,,,,,,,
,,,,,,,,,,RB,James Cook (30330662),James Cook,30330662,RB/FLEX,6400,BUF@NE 10/22/2023 01:00PM ET,BUF,12.22
,,,,,,,,,,RB,Jahmyr Gibbs (30330664),Jahmyr Gibbs,30330664,RB/FLEX,6300,DET@BAL 10/22/2023 01:00PM ET,DET,9.72
,,,,,,,,,,WR,Jakobi Meyers (30330892),Jakobi Meyers,30330892,WR/FLEX,6200,LV@CHI 10/22/2023 01:00PM ET,LV,17.5
,,,,,,,,,,RB,Zack Moss (30330666),Zack Moss,30330666,RB/FLEX,6200,CLE@IND 10/22/2023 01:00PM ET,IND,21.92
,,,,,,,,,,WR,Amari Cooper (30330894),Amari Cooper,30330894,WR/FLEX,6100,CLE@IND 10/22/2023 01:00PM ET,CLE,14.14
,,,,,,,,,,RB,Isiah Pacheco (30330668),Isiah Pacheco,30330668,RB/FLEX,6100,LAC@KC 10/22/2023 04:25PM ET,KC,15.03
,,,,,,,,,,QB,Geno Smith (30330586),Geno Smith,30330586,QB,6000,ARI@SEA 10/22/2023 04:05PM ET,SEA,15.35
,,,,,,,,,,WR,Tyler Lockett (30330896),Tyler Lockett,30330896,WR/FLEX,6000,ARI@SEA 10/22/2023 04:05PM ET,SEA,12.42
,,,,,,,,,,WR,Gabe Davis (30330898),Gabe Davis,30330898,WR/FLEX,5900,BUF@NE 10/22/2023 01:00PM ET,BUF,13.48
,,,,,,,,,,QB,Kyler Murray (30330587),Kyler Murray,30330587,QB,5900,ARI@SEA 10/22/2023 04:05PM ET,ARI,0
,,,,,,,,,,RB,Brian Robinson Jr. (30330670),Brian Robinson Jr.,30330670,RB/FLEX,5800,WAS@NYG 10/22/2023 01:00PM ET,WAS,14.08
,,,,,,,,,,QB,Jordan Love (30330588),Jordan Love,30330588,QB,5800,GB@DEN 10/22/2023 04:25PM ET,GB,19.24
,,,,,,,,,,WR,Jerry Jeudy (30330900),Jerry Jeudy,30330900,WR/FLEX,5800,GB@DEN 10/22/2023 04:25PM ET,DEN,8.44
,,,,,,,,,,WR,Zay Flowers (30330902),Zay Flowers,30330902,WR/FLEX,5700,DET@BAL 10/22/2023 01:00PM ET,BAL,13.15
,,,,,,,,,,TE,Mark Andrews (30331246),Mark Andrews,30331246,TE/FLEX,5700,DET@BAL 10/22/2023 01:00PM ET,BAL,14.28
,,,,,,,,,,QB,Deshaun Watson (30330589),Deshaun Watson,30330589,QB,5700,CLE@IND 10/22/2023 01:00PM ET,CLE,19.14
,,,,,,,,,,RB,Rhamondre Stevenson (30330672),Rhamondre Stevenson,30330672,RB/FLEX,5600,BUF@NE 10/22/2023 01:00PM ET,NE,10.58
,,,,,,,,,,QB,Daniel Jones (30330590),Daniel Jones,30330590,QB,5600,WAS@NYG 10/22/2023 01:00PM ET,NYG,13.01
,,,,,,,,,,WR,Christian Watson (30330904),Christian Watson,30330904,WR/FLEX,5600,GB@DEN 10/22/2023 04:25PM ET,GB,11.05
,,,,,,,,,,QB,Sam Howell (30330591),Sam Howell,30330591,QB,5500,WAS@NYG 10/22/2023 01:00PM ET,WAS,18.4
,,,,,,,,,,WR,George Pickens (30330906),George Pickens,30330906,WR/FLEX,5500,PIT@LAR 10/22/2023 04:05PM ET,PIT,16.18
,,,,,,,,,,WR,Terry McLaurin (30330908),Terry McLaurin,30330908,WR/FLEX,5400,WAS@NYG 10/22/2023 01:00PM ET,WAS,12.87
,,,,,,,,,,QB,Russell Wilson (30330592),Russell Wilson,30330592,QB,5400,GB@DEN 10/22/2023 04:25PM ET,DEN,19.2
,,,,,,,,,,RB,Javonte Williams (30330674),Javonte Williams,30330674,RB/FLEX,5400,GB@DEN 10/22/2023 04:25PM ET,DEN,7.42
,,,,,,,,,,TE,Sam LaPorta (30331248),Sam LaPorta,30331248,TE/FLEX,5300,DET@BAL 10/22/2023 01:00PM ET,DET,13.25
,,,,,,,,,,QB,Baker Mayfield (30330593),Baker Mayfield,30330593,QB,5300,ATL@TB 10/22/2023 01:00PM ET,TB,16.04
,,,,,,,,,,QB,Joshua Dobbs (30330594),Joshua Dobbs,30330594,QB,5300,ARI@SEA 10/22/2023 04:05PM ET,ARI,15.42
,,,,,,,,,,WR,Marquise Brown (30330910),Marquise Brown,30330910,WR/FLEX,5300,ARI@SEA 10/22/2023 04:05PM ET,ARI,13.88
,,,,,,,,,,RB,AJ Dillon (30330676),AJ Dillon,30330676,RB/FLEX,5300,GB@DEN 10/22/2023 04:25PM ET,GB,6.18
,,,,,,,,,,QB,Jimmy Garoppolo (30330595),Jimmy Garoppolo,30330595,QB,5200,LV@CHI 10/22/2023 01:00PM ET,LV,14.17
,,,,,,,,,,QB,Gardner Minshew II (30330597),Gardner Minshew II,30330597,QB,5200,CLE@IND 10/22/2023 01:00PM ET,IND,7.85
,,,,,,,,,,QB,Desmond Ridder (30330596),Desmond Ridder,30330596,QB,5200,ATL@TB 10/22/2023 01:00PM ET,ATL,16.52
,,,,,,,,,,RB,Najee Harris (30330680),Najee Harris,30330680,RB/FLEX,5200,PIT@LAR 10/22/2023 04:05PM ET,PIT,6.68
,,,,,,,,,,WR,Courtland Sutton (30330912),Courtland Sutton,30330912,WR/FLEX,5200,GB@DEN 10/22/2023 04:25PM ET,DEN,12.42
