Minimum Place,Payout
1,150
2,100
3,60
4,45
5,35
6,25
8,20
10,15
13,10
16,8
20,6
25,5
35,4
55,3
120,2
255,1.5
610,1
1490,0.75
3419,0.5
13260,0
