P,P,C,1B,2B,3B,SS,OF,OF,OF
Blake Snell,Reynaldo Lopez,Blake Swihart,Mark Reynolds,Starlin Castro,Nolan Arenado,Trevor Story,Ian Desmond,Raimel Tapia,Keon Broxton
Blake Snell,Reynaldo Lopez,Chris Iannetta,Mark Reynolds,Brendan Rodgers,Dawel Lugo,Trevor Story,Eloy Jimenez,Ian Desmond,Adam Jones
Blake Snell,Reynaldo Lopez,Chris Iannetta,Matt Adams,Brendan Rodgers,Nolan Arenado,Trea Turner,Austin Dean,Ian Desmond,Raimel Tapia
Blake Snell,Aaron Nola,Martin Maldonado,Mark Reynolds,Brendan Rodgers,Todd Frazier,Trevor Story,Ian Desmond,Raimel Tapia,Carlos Gomez
Blake Snell,Reynaldo Lopez,James McCann,Yonder Alonso,Yolmer Sanchez,Nolan Arenado,Trevor Story,Eloy Jimenez,Ian Desmond,Charlie Tilson
Blake Snell,Reynaldo Lopez,Jorge Alfaro,Garrett Cooper,Starlin Castro,Nolan Arenado,Trevor Story,Austin Dean,Brian Anderson,Adam Jones
Blake Snell,Reynaldo Lopez,Austin Wynns,Trey Mancini,Jonathan Villar,Nolan Arenado,Richard Martin,Austin Dean,Ian Desmond,Keon Broxton
Reynaldo Lopez,Aaron Nola,Chris Iannetta,Mark Reynolds,Jonathan Villar,Nolan Arenado,Trevor Story,Ronald Acuna,Austin Dean,Ian Desmond
Blake Snell,Reynaldo Lopez,Blake Swihart,Matt Adams,Starlin Castro,Anthony Rendon,Trea Turner,Victor Robles,Juan Soto,Ian Desmond
Blake Snell,Glenn Sparkman,Matt Wieters,Mark Reynolds,Brendan Rodgers,Nolan Arenado,Trevor Story,Austin Dean,Ian Desmond,Michael Brantley
Blake Snell,Reynaldo Lopez,Blake Swihart,Miguel Cabrera,Ronny Rodriguez,Dawel Lugo,Trevor Story,Ian Desmond,Nick Castellanos,Christin Stewart
Blake Snell,Reynaldo Lopez,Robinson Chirinos,Mark Reynolds,Tony Kemp,Nolan Arenado,Trevor Story,Josh Reddick,Michael Brantley,Derek Fisher
Reynaldo Lopez,Aaron Nola,Austin Wynns,Yonder Alonso,Brendan Rodgers,Nolan Arenado,Trevor Story,Ian Desmond,Raimel Tapia,Jarrod Dyson
Blake Snell,Reynaldo Lopez,Austin Wynns,Renato Nunez,Jonathan Villar,Todd Frazier,Trevor Story,Josh Reddick,Keon Broxton,DJ Stewart
Blake Snell,Reynaldo Lopez,Blake Swihart,Rhys Hoskins,Starlin Castro,Maikel Franco,Jean Segura,Ian Desmond,Andrew McCutchen,Bryce Harper
Blake Snell,Reynaldo Lopez,Matt Wieters,Matt Carpenter,Yairo Munoz,Nolan Arenado,Paul DeJong,Ian Desmond,Keon Broxton,Dexter Fowler
Madison Bumgarner,Reynaldo Lopez,Russell Martin,Mark Reynolds,Brendan Rodgers,Nolan Arenado,Trevor Story,Ian Desmond,Josh Reddick,Andrew McCutchen
Blake Snell,Glenn Sparkman,Chris Iannetta,Garrett Cooper,Nicky Lopez,Nolan Arenado,Trevor Story,Ian Desmond,Raimel Tapia,Josh Reddick
Blake Snell,Reynaldo Lopez,James McCann,Yonder Alonso,Leury Garcia,Yoan Moncada,Trea Turner,Eloy Jimenez,Raimel Tapia,Keon Broxton
Blake Snell,Reynaldo Lopez,Robinson Chirinos,Yulieski Gurriel,Jonathan Villar,Alex Bregman,Trea Turner,Ian Desmond,Josh Reddick,Michael Brantley
