P,P,C,1B,2B,3B,SS,OF,OF,OF
Jon Gray,Adam Wainwright,Travis d'Arnaud,James Loney,Neil Walker,Evan Longoria,Xander Bogaerts,Jay Bruce,George Springer,Curtis Granderson
Jon Gray,Adam Wainwright,Travis d'Arnaud,Hanley Ramirez,Dustin Pedroia,Evan Longoria,Xander Bogaerts,Mookie Betts,Curtis Granderson,Andrew Benintendi
Stephen Strasburg,Adam Wainwright,Travis d'Arnaud,Hanley Ramirez,Neil Walker,Evan Longoria,Matt Reynolds,Jay Bruce,Curtis Granderson,Aaron Altherr
