CAPT,FLEX,FLEX,FLEX,FLEX,FLEX
Lamar Jackson,Andy Dalton,Devin Duvernay,Michael Gallup,Marquise Brown,Amari Cooper
Lamar Jackson,Devin Duvernay,Michael Gallup,Ezekiel Elliott,Marquise Brown,Amari Cooper
Lamar Jackson,Andy Dalton,Michael Gallup,Dez Bryant,Marquise Brown,Amari Cooper
