QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Josh Allen,Mike Davis,Aaron Jones,DeVante Parker,Stefon Diggs,DeAndre Hopkins,Dawson Knox,Duke Johnson,New Orleans Saints
Justin Herbert,Mike Davis,Aaron Jones,Jakeem Grant,Tyler Lockett,Keenan Allen,Hunter Henry,Alvin Kamara,New Orleans Saints
Kyler Murray,Mike Davis,Aaron Jones,Stefon Diggs,Michael Thomas,Larry Fitzgerald,Dallas Goedert,Christian Kirk,Los Angeles Rams
Jared Goff,Mike Davis,Aaron Jones,Tyler Lockett,Josh Reynolds,Terry McLaurin,Darren Waller,Cooper Kupp,Miami Dolphins
Drew Lock,Mike Davis,Aaron Jones,Jerry Jeudy,Davante Adams,Henry Ruggs,Noah Fant,Miles Sanders,New Orleans Saints
Russell Wilson,Mike Davis,Aaron Jones,Tyler Lockett,D.J. Moore,Robby Anderson,Gerald Everett,D.K. Metcalf,Los Angeles Chargers
Tom Brady,Mike Davis,Aaron Jones,Stefon Diggs,Curtis Samuel,Chris Godwin,Rob Gronkowski,James Conner,Detroit Lions
Ben Roethlisberger,Mike Davis,Aaron Jones,Stefon Diggs,Diontae Johnson,A.J. Green,T.J. Hockenson,JuJu Smith-Schuster,Pittsburgh Steelers
Deshaun Watson,Mike Davis,Aaron Jones,Keenan Allen,Brandin Cooks,Will Fuller,Austin Hooper,D'Andre Swift,Philadelphia Eagles
Carson Wentz,Mike Davis,Aaron Jones,Stefon Diggs,Jalen Reagor,Travis Fulgham,Evan Engram,Josh Jacobs,Green Bay Packers
Joe Burrow,Mike Davis,Aaron Jones,Chase Claypool,Tee Higgins,Tyler Boyd,Mike Gesicki,Alvin Kamara,Cleveland Browns
Aaron Rodgers,Mike Davis,Antonio Gibson,Stefon Diggs,Keelan Cole,Davante Adams,Robert Tonyan,Robert Woods,Denver Broncos
Drew Brees,Mike Davis,Aaron Jones,Michael Thomas,DJ Chark,Jarvis Landry,Jared Cook,Brandon Aiyuk,New York Giants
Josh Allen,Aaron Jones,Giovani Bernard,DeAndre Hopkins,John Brown,Cole Beasley,Logan Thomas,James Robinson,Houston Texans
Derek Carr,Aaron Jones,Nick Chubb,Stefon Diggs,Darius Slayton,Tim Patrick,Darren Waller,Hunter Renfrow,Tampa Bay Buccaneers
Matthew Stafford,Aaron Jones,Leonard Fournette,Terry McLaurin,Davante Adams,Danny Amendola,Eric Ebron,Marvin Jones,Seattle Seahawks
Jake Luton,Aaron Jones,Alvin Kamara,Chris Conley,Davante Adams,Mike Williams,Tyler Eifert,Jerick McKinnon,Washington Football Team
Nick Mullens,Aaron Jones,Kareem Hunt,Michael Thomas,Davante Adams,Sterling Shepard,Jordan Reed,Richie James,Jacksonville Jaguars
Teddy Bridgewater,Aaron Jones,Jamaal Williams,Robby Anderson,Davante Adams,Mike Evans,Ian Thomas,Chase Edmonds,Carolina Panthers
Baker Mayfield,Aaron Jones,Alvin Kamara,Davante Adams,Rashard Higgins,Randall Cobb,Harrison Bryant,Melvin Gordon,Las Vegas Raiders
