C,C,W,W,W,D,D,G,UTIL,,Instructions,,,,,,,,
,,,,,,,,,,G,Oscar Dansk (16154788),Oscar Dansk,16154788,G,6500,ANH@VGK 01/14/2021 10:00PM ET,VGK,0.7
,,,,,,,,,,G,Anthony Stolarz (16154789),Anthony Stolarz,16154789,G,6500,ANH@VGK 01/14/2021 10:00PM ET,ANH,16.1
,,,,,,,,,,G,Olle Eriksson Ek (16155103),Olle Eriksson Ek,16155103,G,6500,ANH@VGK 01/14/2021 10:00PM ET,ANH,0
,,,,,,,,,,G,Michael DiPietro (16155091) (LOCKED),Michael DiPietro,16155091,G,6500,VAN@EDM 01/14/2021 09:00PM ET,VAN,0.7
,,,,,,,,,,G,Stuart Skinner (16155092) (LOCKED),Stuart Skinner,16155092,G,6500,VAN@EDM 01/14/2021 09:00PM ET,EDM,0
,,,,,,,,,,G,Jake Kielly (16155168) (LOCKED),Jake Kielly,16155168,G,6500,VAN@EDM 01/14/2021 09:00PM ET,VAN,0
,,,,,,,,,,G,Alex Stalock (16154627),Alex Stalock,16154627,G,6500,MIN@LA 01/14/2021 10:00PM ET,MIN,13.11
,,,,,,,,,,G,Andrew Hammond (16154816),Andrew Hammond,16154816,G,6500,MIN@LA 01/14/2021 10:00PM ET,MIN,0
,,,,,,,,,,G,Calvin Petersen (16154857),Calvin Petersen,16154857,G,6500,MIN@LA 01/14/2021 10:00PM ET,LA,17.39
,,,,,,,,,,RW,Kevin Fiala (16154876),Kevin Fiala,16154876,W/UTIL,6500,MIN@LA 01/14/2021 10:00PM ET,MIN,11.02
,,,,,,,,,,G,Mat Robson (16155165),Mat Robson,16155165,G,6500,MIN@LA 01/14/2021 10:00PM ET,MIN,0
,,,,,,,,,,RW,Rickard Rakell (16154723),Rickard Rakell,16154723,W/UTIL,6400,ANH@VGK 01/14/2021 10:00PM ET,ANH,9.6
,,,,,,,,,,D,Shea Theodore (16154831),Shea Theodore,16154831,D/UTIL,6400,ANH@VGK 01/14/2021 10:00PM ET,VGK,11.97
,,,,,,,,,,C,Bo Horvat (16154827) (LOCKED),Bo Horvat,16154827,C/UTIL,6300,VAN@EDM 01/14/2021 09:00PM ET,VAN,11.23
,,,,,,,,,,LW,Timo Meier (16154932) (LOCKED),Timo Meier,16154932,W/UTIL,6200,SJ@ARI 01/14/2021 09:00PM ET,SJ,10.28
,,,,,,,,,,C,William Karlsson (16154734),William Karlsson,16154734,C/UTIL,6100,ANH@VGK 01/14/2021 10:00PM ET,VGK,9.2
,,,,,,,,,,D,Alex Pietrangelo (16154615),Alex Pietrangelo,16154615,D/UTIL,6000,ANH@VGK 01/14/2021 10:00PM ET,VGK,12.35
,,,,,,,,,,RW,Mark Stone (16154685),Mark Stone,16154685,W/UTIL,6000,ANH@VGK 01/14/2021 10:00PM ET,VGK,11.36
,,,,,,,,,,C,Anze Kopitar (16154572),Anze Kopitar,16154572,C/UTIL,6000,MIN@LA 01/14/2021 10:00PM ET,LA,10.02
,,,,,,,,,,C,Tomas Hertl (16154780) (LOCKED),Tomas Hertl,16154780,C/UTIL,5900,SJ@ARI 01/14/2021 09:00PM ET,SJ,9.96
,,,,,,,,,,LW,Jakob Silfverberg (16154705),Jakob Silfverberg,16154705,W/UTIL,5900,ANH@VGK 01/14/2021 10:00PM ET,ANH,9
,,,,,,,,,,D,Alexander Edler (16154588) (LOCKED),Alexander Edler,16154588,D/UTIL,5900,VAN@EDM 01/14/2021 09:00PM ET,VAN,11.79
,,,,,,,,,,LW,J.T. Miller (16154717) (LOCKED),J.T. Miller,16154717,W/UTIL,5800,VAN@EDM 01/14/2021 09:00PM ET,VAN,11.38
,,,,,,,,,,C,Logan Couture (16154597) (LOCKED),Logan Couture,16154597,C/UTIL,5600,SJ@ARI 01/14/2021 09:00PM ET,SJ,10.24
,,,,,,,,,,LW,Jonathan Marchessault (16154772),Jonathan Marchessault,16154772,W/UTIL,5500,ANH@VGK 01/14/2021 10:00PM ET,VGK,10.51
,,,,,,,,,,D,Hampus Lindholm (16154774),Hampus Lindholm,16154774,D/UTIL,5500,ANH@VGK 01/14/2021 10:00PM ET,ANH,7.62
,,,,,,,,,,D,Drew Doughty (16154613),Drew Doughty,16154613,D/UTIL,5400,MIN@LA 01/14/2021 10:00PM ET,LA,8.57
,,,,,,,,,,RW,Phil Kessel (16154582) (LOCKED),Phil Kessel,16154582,W/UTIL,5300,SJ@ARI 01/14/2021 09:00PM ET,ARI,7.35
