C,C,W,W,W,D,D,G,UTIL,,Instructions,,,,,,,,
,,,,,,,,,,D,Brayden McNabb (16155278),Brayden McNabb,16155278,D/UTIL,4900,ANH@VGK 01/14/2021 10:00PM ET,VGK,5.78
,,,,,,,,,,RW,Dustin Brown (16155218),Dustin Brown,16155218,W/UTIL,4900,MIN@LA 01/14/2021 10:00PM ET,LA,8.24
,,,,,,,,,,D,Jared Spurgeon (16155280),Jared Spurgeon,16155280,D/UTIL,4900,MIN@LA 01/14/2021 10:00PM ET,MIN,9.46
,,,,,,,,,,RW,Reilly Smith (16155313),Reilly Smith,16155313,W/UTIL,4700,ANH@VGK 01/14/2021 10:00PM ET,VGK,9.49
,,,,,,,,,,RW,Jeff Carter (16155216),Jeff Carter,16155216,W/UTIL,4700,MIN@LA 01/14/2021 10:00PM ET,LA,8.89
,,,,,,,,,,D,Ben Hutton (16155339),Ben Hutton,16155339,D/UTIL,4300,ANH@VGK 01/14/2021 10:00PM ET,ANH,6.2
,,,,,,,,,,D,Olli Maatta (16155325),Olli Maatta,16155325,D/UTIL,4300,MIN@LA 01/14/2021 10:00PM ET,LA,6.77
,,,,,,,,,,D,Alec Martinez (16155241),Alec Martinez,16155241,D/UTIL,4200,ANH@VGK 01/14/2021 10:00PM ET,VGK,8.7
,,,,,,,,,,LW,Zach Parise (16155220),Zach Parise,16155220,W/UTIL,4200,MIN@LA 01/14/2021 10:00PM ET,MIN,8.73
,,,,,,,,,,D,Matt Dumba (16155323),Matt Dumba,16155323,D/UTIL,4200,MIN@LA 01/14/2021 10:00PM ET,MIN,8.28
,,,,,,,,,,RW,Alex Tuch (16155382),Alex Tuch,16155382,W/UTIL,4100,ANH@VGK 01/14/2021 10:00PM ET,VGK,7.74
,,,,,,,,,,RW,Danton Heinen (16155393),Danton Heinen,16155393,W/UTIL,4100,ANH@VGK 01/14/2021 10:00PM ET,ANH,5.65
,,,,,,,,,,D,Ryan Suter (16155214),Ryan Suter,16155214,D/UTIL,4100,MIN@LA 01/14/2021 10:00PM ET,MIN,8.62
,,,,,,,,,,LW,Sonny Milano (16155380),Sonny Milano,16155380,W/UTIL,3900,ANH@VGK 01/14/2021 10:00PM ET,ANH,4.89
,,,,,,,,,,D,Sean Walker (16155476),Sean Walker,16155476,D/UTIL,3900,MIN@LA 01/14/2021 10:00PM ET,LA,6.67
,,,,,,,,,,D,Josh Manson (16155307),Josh Manson,16155307,D/UTIL,3800,ANH@VGK 01/14/2021 10:00PM ET,ANH,5.22
,,,,,,,,,,RW,Martin Frk (16155329),Martin Frk,16155329,W/UTIL,3800,MIN@LA 01/14/2021 10:00PM ET,LA,6.29
,,,,,,,,,,LW,Adrian Kempe (16155384),Adrian Kempe,16155384,W/UTIL,3800,MIN@LA 01/14/2021 10:00PM ET,LA,6.94
,,,,,,,,,,D,Matt Roy (16155423),Matt Roy,16155423,D/UTIL,3800,MIN@LA 01/14/2021 10:00PM ET,LA,6.43
,,,,,,,,,,D,Mikey Anderson (16155473),Mikey Anderson,16155473,D/UTIL,3800,MIN@LA 01/14/2021 10:00PM ET,LA,6.83
,,,,,,,,,,C,Chandler Stephenson (16155331),Chandler Stephenson,16155331,C/UTIL,3700,ANH@VGK 01/14/2021 10:00PM ET,VGK,4.83
,,,,,,,,,,LW,Andreas Athanasiou (16155333),Andreas Athanasiou,16155333,W/UTIL,3600,MIN@LA 01/14/2021 10:00PM ET,LA,7.12
,,,,,,,,,,C,Nick Bjugstad (16155268),Nick Bjugstad,16155268,C/UTIL,3500,MIN@LA 01/14/2021 10:00PM ET,MIN,4.05
,,,,,,,,,,D,Kevin Shattenkirk (16155235),Kevin Shattenkirk,16155235,D/UTIL,3400,ANH@VGK 01/14/2021 10:00PM ET,ANH,7.66
,,,,,,,,,,C,Joel Eriksson Ek (16155401),Joel Eriksson Ek,16155401,C/UTIL,3400,MIN@LA 01/14/2021 10:00PM ET,MIN,6.35
,,,,,,,,,,RW,Troy Terry (16155419),Troy Terry,16155419,W/UTIL,3300,ANH@VGK 01/14/2021 10:00PM ET,ANH,4.6
,,,,,,,,,,C,Blake Lizotte (16155495),Blake Lizotte,16155495,C/UTIL,3300,MIN@LA 01/14/2021 10:00PM ET,LA,4.72
,,,,,,,,,,LW,Marcus Johansson (16155250),Marcus Johansson,16155250,W/UTIL,3200,MIN@LA 01/14/2021 10:00PM ET,MIN,5.78
,,,,,,,,,,C,Nick Bonino (16155255),Nick Bonino,16155255,C/UTIL,3200,MIN@LA 01/14/2021 10:00PM ET,MIN,8.41
,,,,,,,,,,D,Cam Fowler (16155266),Cam Fowler,16155266,D/UTIL,3100,ANH@VGK 01/14/2021 10:00PM ET,ANH,7.65
,,,,,,,,,,D,Jacob Larsson (16155403),Jacob Larsson,16155403,D/UTIL,3100,ANH@VGK 01/14/2021 10:00PM ET,ANH,3.97
,,,,,,,,,,C,Sam Steel (16155431),Sam Steel,16155431,C/UTIL,3100,ANH@VGK 01/14/2021 10:00PM ET,ANH,4.48
,,,,,,,,,,RW,Mats Zuccarello (16155264),Mats Zuccarello,16155264,W/UTIL,3100,MIN@LA 01/14/2021 10:00PM ET,MIN,6.58
,,,,,,,,,,D,Jonas Brodin (16155290),Jonas Brodin,16155290,D/UTIL,3100,MIN@LA 01/14/2021 10:00PM ET,MIN,7.03
,,,,,,,,,,C,Michael Amadio (16155388),Michael Amadio,16155388,C/UTIL,2900,MIN@LA 01/14/2021 10:00PM ET,LA,4.18
,,,,,,,,,,RW,Kirill Kaprizov (16155417),Kirill Kaprizov,16155417,W/UTIL,2900,MIN@LA 01/14/2021 10:00PM ET,MIN,0
,,,,,,,,,,RW,Marcus Foligno (16155253),Marcus Foligno,16155253,W/UTIL,2800,MIN@LA 01/14/2021 10:00PM ET,MIN,5.76
,,,,,,,,,,C,Cody Glass (16155459),Cody Glass,16155459,C/UTIL,2700,ANH@VGK 01/14/2021 10:00PM ET,VGK,4.23
,,,,,,,,,,D,Brad Hunt (16155317),Brad Hunt,16155317,D/UTIL,2700,MIN@LA 01/14/2021 10:00PM ET,MIN,5.67
,,,,,,,,,,LW,Jordan Greenway (16155405),Jordan Greenway,16155405,W/UTIL,2700,MIN@LA 01/14/2021 10:00PM ET,MIN,5.4
,,,,,,,,,,C,Gabriel Vilardi (16155463),Gabriel Vilardi,16155463,C/UTIL,2700,MIN@LA 01/14/2021 10:00PM ET,LA,7.92
,,,,,,,,,,LW,Nicolas Roy (16155413),Nicolas Roy,16155413,W/UTIL,2600,ANH@VGK 01/14/2021 10:00PM ET,VGK,4.8
,,,,,,,,,,C,Ryan Kesler (16155211),Ryan Kesler,16155211,C/UTIL,2500,ANH@VGK 01/14/2021 10:00PM ET,ANH,0
,,,,,,,,,,RW,Patrick Eaves (16155224),Patrick Eaves,16155224,W/UTIL,2500,ANH@VGK 01/14/2021 10:00PM ET,ANH,0
,,,,,,,,,,D,Deryk Engelland (16155226),Deryk Engelland,16155226,D/UTIL,2500,ANH@VGK 01/14/2021 10:00PM ET,VGK,5.67
,,,,,,,,,,C,David Backes (16155230),David Backes,16155230,C/UTIL,2500,ANH@VGK 01/14/2021 10:00PM ET,ANH,4.31
,,,,,,,,,,RW,Ryan Reaves (16155233),Ryan Reaves,16155233,W/UTIL,2500,ANH@VGK 01/14/2021 10:00PM ET,VGK,3.09
,,,,,,,,,,D,Nick Holden (16155239),Nick Holden,16155239,D/UTIL,2500,ANH@VGK 01/14/2021 10:00PM ET,VGK,5.44
,,,,,,,,,,C,Andrew Agozzino (16155262),Andrew Agozzino,16155262,C/UTIL,2500,ANH@VGK 01/14/2021 10:00PM ET,ANH,1.94
,,,,,,,,,,D,Jani Hakanpaa (16155272),Jani Hakanpaa,16155272,D/UTIL,2500,ANH@VGK 01/14/2021 10:00PM ET,ANH,4.72
,,,,,,,,,,C,Sam Carrick (16155274),Sam Carrick,16155274,C/UTIL,2500,ANH@VGK 01/14/2021 10:00PM ET,ANH,5.88
,,,,,,,,,,C,Derek Grant (16155284),Derek Grant,16155284,C/UTIL,2500,ANH@VGK 01/14/2021 10:00PM ET,ANH,6.09
,,,,,,,,,,LW,Nicolas Deslauriers (16155288),Nicolas Deslauriers,16155288,W/UTIL,2500,ANH@VGK 01/14/2021 10:00PM ET,ANH,4
,,,,,,,,,,RW,Tomas Jurco (16155294),Tomas Jurco,16155294,W/UTIL,2500,ANH@VGK 01/14/2021 10:00PM ET,VGK,2.03
,,,,,,,,,,D,Andy Welinski (16155301),Andy Welinski,16155301,D/UTIL,2500,ANH@VGK 01/14/2021 10:00PM ET,ANH,0
,,,,,,,,,,LW,Blake Pietila (16155305),Blake Pietila,16155305,W/UTIL,2500,ANH@VGK 01/14/2021 10:00PM ET,ANH,0
,,,,,,,,,,D,Chris Wideman (16155311),Chris Wideman,16155311,D/UTIL,2500,ANH@VGK 01/14/2021 10:00PM ET,ANH,0
,,,,,,,,,,C,Danny O'Regan (16155337),Danny O'Regan,16155337,C/UTIL,2500,ANH@VGK 01/14/2021 10:00PM ET,VGK,0
,,,,,,,,,,D,Jake Bischoff (16155341),Jake Bischoff,16155341,D/UTIL,2500,ANH@VGK 01/14/2021 10:00PM ET,VGK,6.35
,,,,,,,,,,RW,Carter Rowney (16155349),Carter Rowney,16155349,W/UTIL,2500,ANH@VGK 01/14/2021 10:00PM ET,ANH,3.99
,,,,,,,,,,LW,Valentin Zykov (16155357),Valentin Zykov,16155357,W/UTIL,2500,ANH@VGK 01/14/2021 10:00PM ET,VGK,3.93
,,,,,,,,,,RW,Nick Sorensen (16155359),Nick Sorensen,16155359,W/UTIL,2500,ANH@VGK 01/14/2021 10:00PM ET,ANH,0
,,,,,,,,,,D,Carl Dahlstrom (16155361),Carl Dahlstrom,16155361,D/UTIL,2500,ANH@VGK 01/14/2021 10:00PM ET,VGK,2.36
,,,,,,,,,,LW,William Carrier (16155363),William Carrier,16155363,W/UTIL,2500,ANH@VGK 01/14/2021 10:00PM ET,VGK,3.82
,,,,,,,,,,LW,Tyrell Goulbourne (16155365),Tyrell Goulbourne,16155365,W/UTIL,2500,ANH@VGK 01/14/2021 10:00PM ET,VGK,0
,,,,,,,,,,C,Patrick Brown (16155372),Patrick Brown,16155372,C/UTIL,2500,ANH@VGK 01/14/2021 10:00PM ET,VGK,8.6
,,,,,,,,,,C,Tomas Nosek (16155376),Tomas Nosek,16155376,C/UTIL,2500,ANH@VGK 01/14/2021 10:00PM ET,VGK,4.42
,,,,,,,,,,C,Chase De Leo (16155390),Chase De Leo,16155390,C/UTIL,2500,ANH@VGK 01/14/2021 10:00PM ET,ANH,1.5
,,,,,,,,,,C,Reid Duke (16155395),Reid Duke,16155395,C/UTIL,2500,ANH@VGK 01/14/2021 10:00PM ET,VGK,0
