Minimum Place,Payout
1,500
2,300
3,200
4,150
5,1O0
7,75
10,50
13,40
16,30
20,25
25,20
30,15
40,10
55,8
70,6
90,5
115,4
150,3
200,2
265,1.5
385,1
705,0.75
1515,0.5
3570,0.4
9375,0.3
28495,0.2
118906,0
