QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions,,,,,,,,
,,,,,,,,,,QB,Matt Barkley (16092595),Matt Barkley,16092595,QB,4400,IND@BUF 01/09/2021 01:05PM ET,BUF,2.57
,,,,,,,,,,RB,Carlos Hyde (16092624),Carlos Hyde,16092624,RB/FLEX,4400,LAR@SEA 01/09/2021 04:40PM ET,SEA,8.49
,,,,,,,,,,RB,Devin Singletary (16092626),Devin Singletary,16092626,RB/FLEX,4300,IND@BUF 01/09/2021 01:05PM ET,BUF,9.04
,,,,,,,,,,QB,Blaine Gabbert (16092596),Blaine Gabbert,16092596,QB,4300,TB@WAS 01/09/2021 08:15PM ET,TB,3.83
,,,,,,,,,,QB,Jacoby Brissett (16092597),Jacoby Brissett,16092597,QB,4200,IND@BUF 01/09/2021 01:05PM ET,IND,1.87
,,,,,,,,,,RB,Darrell Henderson Jr. (16092628),Darrell Henderson Jr.,16092628,RB/FLEX,4200,LAR@SEA 01/09/2021 04:40PM ET,LAR,8.89
,,,,,,,,,,RB,Malcolm Brown (16092630),Malcolm Brown,16092630,RB/FLEX,4100,LAR@SEA 01/09/2021 04:40PM ET,LAR,6.88
,,,,,,,,,,QB,Taylor Heinicke (16092598),Taylor Heinicke,16092598,QB,4100,TB@WAS 01/09/2021 08:15PM ET,WAS,11.68
,,,,,,,,,,QB,Jacob Eason (16092604),Jacob Eason,16092604,QB,4000,IND@BUF 01/09/2021 01:05PM ET,IND,0
,,,,,,,,,,QB,Jake Fromm (16092605),Jake Fromm,16092605,QB,4000,IND@BUF 01/09/2021 01:05PM ET,BUF,0
,,,,,,,,,,RB,Darius Anderson (16092658),Darius Anderson,16092658,RB/FLEX,4000,IND@BUF 01/09/2021 01:05PM ET,IND,0
,,,,,,,,,,RB,Jordan Wilkins (16092660),Jordan Wilkins,16092660,RB/FLEX,4000,IND@BUF 01/09/2021 01:05PM ET,IND,4.72
,,,,,,,,,,RB,Marlon Mack (16092662),Marlon Mack,16092662,RB/FLEX,4000,IND@BUF 01/09/2021 01:05PM ET,IND,8.6
,,,,,,,,,,RB,Antonio Williams (16092664),Antonio Williams,16092664,RB/FLEX,4000,IND@BUF 01/09/2021 01:05PM ET,BUF,21.3
,,,,,,,,,,RB,Taiwan Jones (16092666),Taiwan Jones,16092666,RB/FLEX,4000,IND@BUF 01/09/2021 01:05PM ET,BUF,0
,,,,,,,,,,RB,T.J. Yeldon (16092668),T.J. Yeldon,16092668,RB/FLEX,4000,IND@BUF 01/09/2021 01:05PM ET,BUF,5.4
,,,,,,,,,,WR,Gabriel Davis (16092696),Gabriel Davis,16092696,WR/FLEX,4000,IND@BUF 01/09/2021 01:05PM ET,BUF,8.74
,,,,,,,,,,QB,Blake Bortles (16092599),Blake Bortles,16092599,QB,4000,LAR@SEA 01/09/2021 04:40PM ET,LAR,0
,,,,,,,,,,QB,Bryce Perkins (16092603),Bryce Perkins,16092603,QB,4000,LAR@SEA 01/09/2021 04:40PM ET,LAR,0
,,,,,,,,,,RB,Rashaad Penny (16092644),Rashaad Penny,16092644,RB/FLEX,4000,LAR@SEA 01/09/2021 04:40PM ET,SEA,1.13
,,,,,,,,,,RB,Alex Collins (16092646),Alex Collins,16092646,RB/FLEX,4000,LAR@SEA 01/09/2021 04:40PM ET,SEA,7.03
,,,,,,,,,,RB,DeeJay Dallas (16092648),DeeJay Dallas,16092648,RB/FLEX,4000,LAR@SEA 01/09/2021 04:40PM ET,SEA,6.32
,,,,,,,,,,RB,Travis Homer (16092650),Travis Homer,16092650,RB/FLEX,4000,LAR@SEA 01/09/2021 04:40PM ET,SEA,3.64
,,,,,,,,,,RB,Nick Bellore (16092652),Nick Bellore,16092652,RB/FLEX,4000,LAR@SEA 01/09/2021 04:40PM ET,SEA,0.3
