first_name,last_name,position,reg_line,pp_line,game_date,team,opp,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Blake,Comeau,W,3,,2019-10-03,DAL,BOS,5.5,2.8,2900,6,0.0,1.8,3.5,2.3,0.8,,
Ryan,Graves,D,3,,2019-10-03,COL,CGY,6.5,3.4,2900,29,0.0,1.1,3.0,2.2,0.8,,
Valeri,Nichushkin,W,4,2,2019-10-03,COL,CGY,6.5,3.4,2900,31,0.0,1.4,5.5,2.2,0.8,,
Kaapo,Kakko,W,2,2,2019-10-03,NYR,WPG,6,3.1,5600,8,,,,2.2,0.4,,
Dmitry,Kulikov,D,1,,2019-10-03,WPG,NYR,6,2.9,3000,14,0.0,1.3,4.5,2.1,0.7,,
Justin,Dowling,C,4,2,2019-10-03,DAL,BOS,5.5,2.8,2500,5,0.0,1.9,6.5,2.1,0.8,,
Haydn,Fleury,D,3,,2019-10-03,CAR,MTL,5.5,3,3100,7,0.0,0.2,0.5,2.1,0.7,,
Pat,Maroon,W,4,1,2019-10-03,TBL,FLA,6.5,3.7,2900,7,0.0,1.3,3.0,2.0,0.7,,
Jesper,Fast,W,3,,2019-10-03,NYR,WPG,6,3.1,3100,8,0.0,1.1,2.0,1.9,0.6,,
Brendan,Lemieux,W,4,2,2019-10-03,NYR,WPG,6,3.1,2600,8,0.5,1.3,3.0,1.8,0.7,,
Carter,Verhaeghe,W,3,2,2019-10-03,TBL,FLA,6.5,3.7,4600,7,,,,1.7,0.4,,
Joel,Edmundson,D,2,,2019-10-03,CAR,MTL,5.5,3,2900,7,0.0,0.6,1.0,1.7,0.6,,
Gabriel,Bourque,W,3,,2019-10-03,WPG,NYR,6,2.9,2700,15,0.0,0.9,2.0,1.6,0.6,,
Lucas,Wallmark,C,4,,2019-10-03,CAR,MTL,5.5,3,2700,13,0.0,1.0,2.0,1.6,0.6,,
Luke,Witkowski,W,4,,2019-10-03,TBL,FLA,6.5,3.7,2500,7,0.0,0.7,1.5,1.5,0.6,,
Mason,Appleton,W,4,,2019-10-03,WPG,NYR,6,2.9,3000,15,0.0,0.5,1.5,1.5,0.5,,
Gemel,Smith,C,4,,2019-10-03,TBL,FLA,6.5,3.7,2700,7,0.0,0.9,3.0,1.5,0.6,,
Jack,Roslovic,W,4,2,2019-10-03,WPG,NYR,6,2.9,2500,15,0.0,0.4,1.5,1.3,0.5,,
Adam,Fox,D,3,2,2019-10-03,NYR,WPG,6,3.1,3700,26,,,,1.3,0.4,,
Nick,Suzuki,W,2,2,2019-10-03,MTL,CAR,5.5,2.5,3500,23,,,,1.2,0.3,,
Conor,Timmins,D,3,,2019-10-03,COL,CGY,6.5,3.4,2800,29,,,,1.2,0.4,,
Mark,Letestu,C,4,,2019-10-03,WPG,NYR,6,2.9,2500,10,0.0,0.4,1.5,1.1,0.4,,
Ville,Heinola,D,2,2,2019-10-03,WPG,NYR,6,2.9,3000,14,,,,0.9,0.3,,
Cale,Fleury,D,3,,2019-10-03,MTL,CAR,5.5,2.5,3000,5,,,,0.9,0.3,,
