first_name,last_name,position,reg_line,pp_line,game_date,team,opp,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Jacob,Trouba,D,1,1,2019-10-03,NYR,WPG,6,3.1,5100,26,0.0,5.4,18.0,5.8,1.1,,
Brady,Skjei,D,1,,2019-10-03,NYR,WPG,6,3.1,3500,26,4.0,9.3,18.5,5.8,1.7,,
Justin,Schultz,D,2,2,2019-10-03,PIT,BUF,6,3.4,4200,17,2.0,7.4,19.0,5.8,1.4,,
Jaccob,Slavin,D,1,,2019-10-03,CAR,MTL,5.5,3,4500,7,1.0,4.9,9.0,5.6,1.2,,
Conor,Sheary,W,3,2,2019-10-03,BUF,PIT,6,2.6,4100,25,1.5,5.4,10.0,5.6,1.4,,
Ryan,Donato,W,3,2,2019-10-03,MIN,NSH,5.5,2.4,4000,28,3.0,5.5,6.5,5.6,1.4,,
Adam,Henrique,C,3,1,2019-10-03,ANA,ARI,5.5,2.8,4000,4,2.0,5.5,8.5,5.6,1.4,,
Ryan,Strome,C,2,2,2019-10-03,NYR,WPG,6,3.1,3400,11,0.0,7.6,18.0,5.6,1.6,,
Mikko,Koivu,C,2,,2019-10-03,MIN,NSH,5.5,2.4,3900,14,2.0,7.3,14.5,5.6,1.4,,
Zdeno,Chara,D,1,,2019-10-03,BOS,DAL,5.5,2.8,3400,28,0.5,6.3,10.0,5.6,1.6,,
Roope,Hintz,C,2,1,2019-10-03,DAL,BOS,5.5,2.8,3800,5,2.0,5.9,12.0,5.5,1.4,,
Kevin,Shattenkirk,D,2,2,2019-10-03,TBL,FLA,6.5,3.7,4100,2,2.5,5.4,10.5,5.5,1.3,,
Eric,Staal,C,1,1,2019-10-03,MIN,NSH,5.5,2.4,5200,14,0.0,6.6,27.5,5.4,1.0,,
Hampus,Lindholm,D,1,2,2019-10-03,ANA,ARI,5.5,2.8,3800,10,1.5,5.8,13.0,5.4,1.4,,
Frank,Vatrano,W,3,2,2019-10-03,FLA,TBL,6.5,2.8,4500,16,1.5,5.2,13.0,5.4,1.2,,
Jake,Gardiner,D,3,1,2019-10-03,CAR,MTL,5.5,3,4000,7,0.0,5.1,11.5,5.4,1.4,,
Charlie,Coyle,C,3,2,2019-10-03,BOS,DAL,5.5,2.8,3800,6,0.0,6.2,16.5,5.3,1.4,,
Aaron,Ekblad,D,1,2,2019-10-03,FLA,TBL,6.5,2.8,4300,27,1.5,5.9,15.5,5.3,1.2,,
Kyle,Turris,C,3,2,2019-10-03,NSH,MIN,5.5,3.1,3500,19,3.0,5.9,13.0,5.2,1.5,,
Colin,Miller,D,1,2,2019-10-03,BUF,PIT,6,2.6,3700,25,2.5,6.8,16.0,5.2,1.4,,
Vladislav,Namestnikov,W,3,,2019-10-03,NYR,WPG,6,3.1,3900,8,0.5,7.0,22.5,5.2,1.3,,
Ryan,McDonagh,D,1,,2019-10-03,TBL,FLA,6.5,3.7,4500,2,0.5,4.3,7.5,5.2,1.2,,
Kyle,Okposo,W,4,,2019-10-03,BUF,PIT,6,2.6,3100,25,1.5,8.9,13.0,5.1,1.6,,
Noah,Hanifin,D,2,,2019-10-03,CGY,COL,6.5,3.1,3300,18,0.0,5.0,8.0,5.1,1.5,,
T.J.,Brodie,D,1,2,2019-10-03,CGY,COL,6.5,3.1,3400,18,0.5,7.5,16.0,5.1,1.5,,
David,Krejci,C,2,2,2019-10-03,BOS,DAL,5.5,2.8,4100,6,0.0,4.4,9.0,5.1,1.2,,
Jason,Demers,D,1,,2019-10-03,ARI,ANA,5.5,2.7,3000,22,4.0,7.5,12.5,5.1,1.7,,
Neal,Pionk,D,2,2,2019-10-03,WPG,NYR,6,2.9,3900,14,1.0,4.7,9.0,5.1,1.3,,
Brandon,Carlo,D,2,,2019-10-03,BOS,DAL,5.5,2.8,2900,28,2.5,8.2,14.5,5.1,1.8,,
Brett,Connolly,W,2,2,2019-10-03,FLA,TBL,6.5,2.8,3300,16,0.0,5.2,11.5,5.0,1.5,,
Austin,Watson,W,4,,2019-10-03,NSH,MIN,5.5,3.1,2900,19,1.0,7.2,14.5,5.0,1.7,,
Rasmus,Andersson,D,3,2,2019-10-03,CGY,COL,6.5,3.1,3000,18,3.0,9.0,15.5,4.9,1.6,,
Brian,Dumoulin,D,1,,2019-10-03,PIT,BUF,6,3.4,3200,17,0.5,6.2,11.5,4.9,1.5,,
Carl,Soderberg,C,2,2,2019-10-03,ARI,ANA,5.5,2.7,4400,12,1.5,4.4,7.0,4.9,1.1,,
Milan,Lucic,W,3,2,2019-10-03,CGY,COL,6.5,3.1,3500,1,0.0,4.4,10.5,4.9,1.4,,
Brad,Richardson,C,3,,2019-10-03,ARI,ANA,5.5,2.7,2900,12,2.0,8.4,15.5,4.9,1.7,,
Cam,Fowler,D,2,1,2019-10-03,ANA,ARI,5.5,2.8,4300,10,0.5,4.2,12.0,4.8,1.1,,
Andrew,Cogliano,W,3,,2019-10-03,DAL,BOS,5.5,2.8,3200,6,0.0,5.6,15.0,4.7,1.5,,
Ondrej,Palat,W,2,2,2019-10-03,TBL,FLA,6.5,3.7,3600,7,0.0,5.1,15.0,4.7,1.3,,
Yanni,Gourde,C,3,,2019-10-03,TBL,FLA,6.5,3.7,4000,7,0.0,4.2,13.0,4.7,1.2,,
Marcus,Pettersson,D,3,2,2019-10-03,PIT,BUF,6,3.4,2900,17,2.0,5.5,9.0,4.7,1.6,,
Colton,Sceviour,W,4,,2019-10-03,FLA,TBL,6.5,2.8,2700,16,0.5,6.2,11.0,4.7,1.7,,
Karson,Kuhlman,W,2,,2019-10-03,BOS,DAL,5.5,2.8,3700,11,0.0,3.9,10.0,4.7,1.3,,
Braydon,Coburn,D,3,,2019-10-03,TBL,FLA,6.5,3.7,2700,2,1.5,9.2,19.5,4.7,1.7,,
Jordan,Staal,C,2,1,2019-10-03,CAR,MTL,5.5,3,4200,13,1.5,4.0,6.5,4.6,1.1,,
Mattias,Ekholm,D,2,,2019-10-03,NSH,MIN,5.5,3.1,3600,8,1.5,4.7,9.5,4.6,1.3,,
Brett,Pesce,D,2,,2019-10-03,CAR,MTL,5.5,3,4300,7,2.5,4.0,6.5,4.6,1.1,,
Marc,Staal,D,2,,2019-10-03,NYR,WPG,6,3.1,2700,26,2.0,4.8,8.0,4.5,1.7,,
Max,Comtois,W,1,2,2019-10-03,ANA,ARI,5.5,2.8,3400,2,0.0,3.9,8.0,4.5,1.3,,
Jonas,Brodin,D,2,,2019-10-03,MIN,NSH,5.5,2.4,3100,1,1.0,4.9,10.5,4.5,1.5,,
Jesperi,Kotkaniemi,C,3,,2019-10-03,MTL,CAR,5.5,2.5,3900,25,0.0,3.8,8.0,4.5,1.2,,
Jason,Dickinson,W,2,,2019-10-03,DAL,BOS,5.5,2.8,3300,6,1.5,6.9,21.5,4.5,1.4,,
