C,C,W,W,W,D,D,G,UTIL,,Instructions,,,,,,,,
13499948,13499962,13500212,13500248,13500334,13500644,13500652,13501003,13500252,,1. Locate the player you want to select in the list below ,,,,,,,,
13499948,13500028,13500196,13500204,13500248,13500644,13500638,13501003,13500334,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
13499948,13499964,13500208,13500238,13500334,13500644,13500668,13501003,13500252,,3. Paste the ID into the roster position desired ,,,,,,,,
13499948,13499950,13500204,13500334,13500252,13500628,13500644,13501003,13500360,,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,,,
13499948,13499962,13500208,13500248,13500334,13500644,13500630,13501002,13500352,,5. You can create up to 500 lineups per file ,,,,,,,,
13499948,13499964,13500208,13500212,13500334,13500644,13500652,13501002,13500288,,,,,,,,,,
13499948,13499974,13500212,13500238,13500334,13500628,13500644,13501003,13500282,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
13499948,13499964,13500212,13500218,13500334,13500644,13500630,13501003,13500352,,G,Andrei Vasilevskiy (13500988),Andrei Vasilevskiy,13500988,G,8400,FLA@TB 10/03/2019 07:00PM ET,TB,16.74
13499948,13499986,13500196,13500212,13500334,13500644,13500636,13501003,13499994,,G,Matt Murray (13500989),Matt Murray,13500989,G,8300,BUF@PIT 10/03/2019 07:00PM ET,PIT,15.08
13499948,13499950,13500204,13500334,13500352,13500644,13500638,13501002,13499964,,G,Curtis McElhinney (13501004),Curtis McElhinney,13501004,G,8200,FLA@TB 10/03/2019 07:00PM ET,TB,13.75
13499948,13499962,13500208,13500334,13500240,13500644,13500656,13501003,13500258,,G,Pekka Rinne (13500990),Pekka Rinne,13500990,G,8200,MIN@NSH 10/03/2019 08:00PM ET,NSH,13.4
13499948,13499950,13500196,13500334,13500252,13500644,13500636,13501002,13500358,,G,Tristan Jarry (13501005),Tristan Jarry,13501005,G,8100,BUF@PIT 10/03/2019 07:00PM ET,PIT,8
13499948,13499962,13500212,13500238,13500334,13500644,13500656,13501002,13500260,,G,Juuse Saros (13501006),Juuse Saros,13501006,G,8000,MIN@NSH 10/03/2019 08:00PM ET,NSH,13.33
13499948,13499950,13500208,13500334,13500252,13500638,13500630,13501003,13500352,,RW,Nikita Kucherov (13500190),Nikita Kucherov,13500190,W/UTIL,7900,FLA@TB 10/03/2019 07:00PM ET,TB,14.41
13499948,13499942,13500218,13500334,13500252,13500644,13500654,13501003,13499988,,G,Carey Price (13500992),Carey Price,13500992,G,7900,MON@CAR 10/03/2019 07:00PM ET,MON,14.14
13499948,13499942,13500212,13500334,13500356,13500644,13500638,13501003,13499970,,G,Philipp Grubauer (13500991),Philipp Grubauer,13500991,G,7900,CGY@COL 10/03/2019 09:00PM ET,COL,14.29
13499948,13499962,13500238,13500248,13500334,13500644,13500668,13500995,13500282,,G,John Gibson (13500993),John Gibson,13500993,G,7900,ARI@ANH 10/03/2019 10:00PM ET,ANH,14.21
13499948,13499986,13500212,13500334,13500252,13500628,13500644,13500988,13500318,,G,Petr Mrazek (13500994),Petr Mrazek,13500994,G,7800,MON@CAR 10/03/2019 07:00PM ET,CAR,12.78
13499948,13499962,13500204,13500334,13500252,13500638,13500656,13501003,13500260,,G,Keith Kinkaid (13501008),Keith Kinkaid,13501008,G,7700,MON@CAR 10/03/2019 07:00PM ET,MON,9.85
13499948,13499950,13500196,13500334,13500288,13500644,13500652,13501003,13499982,,G,Ben Bishop (13500995),Ben Bishop,13500995,G,7700,BOS@DAL 10/03/2019 08:30PM ET,DAL,16.85
,,,,,,,,,,G,Pavel Francouz (13501007),Pavel Francouz,13501007,G,7700,CGY@COL 10/03/2019 09:00PM ET,COL,8.05
,,,,,,,,,,G,Ryan Miller (13501009),Ryan Miller,13501009,G,7700,ARI@ANH 10/03/2019 10:00PM ET,ANH,12.32
,,,,,,,,,,G,Henrik Lundqvist (13500997),Henrik Lundqvist,13500997,G,7600,WPG@NYR 10/03/2019 07:00PM ET,NYR,12.86
,,,,,,,,,,G,James Reimer (13501010),James Reimer,13501010,G,7600,MON@CAR 10/03/2019 07:00PM ET,CAR,9.66
,,,,,,,,,,G,Tuukka Rask (13500996),Tuukka Rask,13500996,G,7600,BOS@DAL 10/03/2019 08:30PM ET,BOS,14.62
,,,,,,,,,,G,Connor Hellebuyck (13500998),Connor Hellebuyck,13500998,G,7500,WPG@NYR 10/03/2019 07:00PM ET,WPG,14.36
,,,,,,,,,,C,Sidney Crosby (13499940),Sidney Crosby,13499940,C/UTIL,7500,BUF@PIT 10/03/2019 07:00PM ET,PIT,12.44
,,,,,,,,,,G,Anton Khudobin (13501011),Anton Khudobin,13501011,G,7500,BOS@DAL 10/03/2019 08:30PM ET,DAL,13.83
,,,,,,,,,,G,Alexandar Georgiev (13501014),Alexandar Georgiev,13501014,G,7400,WPG@NYR 10/03/2019 07:00PM ET,NYR,14.17
,,,,,,,,,,RW,Viktor Arvidsson (13500192),Viktor Arvidsson,13500192,W/UTIL,7400,MIN@NSH 10/03/2019 08:00PM ET,NSH,11.29
,,,,,,,,,,G,Jaroslav Halak (13501012),Jaroslav Halak,13501012,G,7400,BOS@DAL 10/03/2019 08:30PM ET,BOS,15.32
,,,,,,,,,,G,David Rittich (13500999),David Rittich,13500999,G,7400,CGY@COL 10/03/2019 09:00PM ET,CGY,12.84
,,,,,,,,,,G,Cam Talbot (13501013),Cam Talbot,13501013,G,7400,CGY@COL 10/03/2019 09:00PM ET,CGY,9.29
,,,,,,,,,,G,Laurent Brossoit (13501016),Laurent Brossoit,13501016,G,7300,WPG@NYR 10/03/2019 07:00PM ET,WPG,16.03
,,,,,,,,,,C,Nathan MacKinnon (13499942),Nathan MacKinnon,13499942,C/UTIL,7300,CGY@COL 10/03/2019 09:00PM ET,COL,15
