C,C,W,W,W,D,D,G,UTIL,,Instructions,,,,,,,,
,,,,,,,,,,C,Dylan Larkin (16216363),Dylan Larkin,16216363,C/UTIL,6400,DET@CHI 01/22/2021 08:00PM ET,DET,13.12
,,,,,,,,,,LW,Filip Forsberg (16216287),Filip Forsberg,16216287,W/UTIL,6300,NSH@DAL 01/22/2021 08:30PM ET,NSH,13.3
,,,,,,,,,,D,Brent Burns (16216103),Brent Burns,16216103,D/UTIL,6200,SJ@MIN 01/22/2021 08:00PM ET,SJ,11.6
,,,,,,,,,,RW,Evander Kane (16216174),Evander Kane,16216174,W/UTIL,6100,SJ@MIN 01/22/2021 08:00PM ET,SJ,13
,,,,,,,,,,C,Tyler Seguin (16216201),Tyler Seguin,16216201,C/UTIL,6000,NSH@DAL 01/22/2021 08:30PM ET,DAL,0
,,,,,,,,,,LW,Timo Meier (16216396),Timo Meier,16216396,W/UTIL,6000,SJ@MIN 01/22/2021 08:00PM ET,SJ,11
,,,,,,,,,,LW,Alex DeBrincat (16216442),Alex DeBrincat,16216442,W/UTIL,5900,DET@CHI 01/22/2021 08:00PM ET,CHI,10.32
,,,,,,,,,,C,Tomas Hertl (16216291),Tomas Hertl,16216291,C/UTIL,5900,SJ@MIN 01/22/2021 08:00PM ET,SJ,14.58
,,,,,,,,,,D,Duncan Keith (16216095),Duncan Keith,16216095,D/UTIL,5700,DET@CHI 01/22/2021 08:00PM ET,CHI,11.35
,,,,,,,,,,C,Jonathan Toews (16216137),Jonathan Toews,16216137,C/UTIL,5700,DET@CHI 01/22/2021 08:00PM ET,CHI,0
,,,,,,,,,,LW,Jamie Benn (16216164),Jamie Benn,16216164,W/UTIL,5700,NSH@DAL 01/22/2021 08:30PM ET,DAL,0
,,,,,,,,,,RW,Anthony Mantha (16216316),Anthony Mantha,16216316,W/UTIL,5600,DET@CHI 01/22/2021 08:00PM ET,DET,7.62
,,,,,,,,,,RW,Kevin Fiala (16216357),Kevin Fiala,16216357,W/UTIL,5600,SJ@MIN 01/22/2021 08:00PM ET,MIN,9.7
,,,,,,,,,,RW,Viktor Arvidsson (16216382),Viktor Arvidsson,16216382,W/UTIL,5500,NSH@DAL 01/22/2021 08:30PM ET,NSH,12.97
,,,,,,,,,,D,Miro Heiskanen (16216504),Miro Heiskanen,16216504,D/UTIL,5500,NSH@DAL 01/22/2021 08:30PM ET,DAL,0
,,,,,,,,,,RW,Alexander Radulov (16216108),Alexander Radulov,16216108,W/UTIL,5200,NSH@DAL 01/22/2021 08:30PM ET,DAL,0
,,,,,,,,,,C,Joe Pavelski (16216139),Joe Pavelski,16216139,C/UTIL,5200,NSH@DAL 01/22/2021 08:30PM ET,DAL,0
,,,,,,,,,,RW,Kirill Kaprizov (16216418),Kirill Kaprizov,16216418,W/UTIL,5200,SJ@MIN 01/22/2021 08:00PM ET,MIN,10.5
,,,,,,,,,,C,Logan Couture (16216150),Logan Couture,16216150,C/UTIL,5100,SJ@MIN 01/22/2021 08:00PM ET,SJ,14.52
,,,,,,,,,,C,Dylan Strome (16216394),Dylan Strome,16216394,C/UTIL,5000,DET@CHI 01/22/2021 08:00PM ET,CHI,8.25
,,,,,,,,,,RW,Luke Kunin (16216436),Luke Kunin,16216436,W/UTIL,5000,NSH@DAL 01/22/2021 08:30PM ET,NSH,10.97
,,,,,,,,,,LW,Tyler Bertuzzi (16216332),Tyler Bertuzzi,16216332,W/UTIL,4900,DET@CHI 01/22/2021 08:00PM ET,DET,8.65
,,,,,,,,,,D,Matt Dumba (16216285),Matt Dumba,16216285,D/UTIL,4900,SJ@MIN 01/22/2021 08:00PM ET,MIN,12.2
,,,,,,,,,,C,Matt Duchene (16216172),Matt Duchene,16216172,C/UTIL,4800,NSH@DAL 01/22/2021 08:30PM ET,NSH,7.33
,,,,,,,,,,D,John Klingberg (16216226),John Klingberg,16216226,D/UTIL,4800,NSH@DAL 01/22/2021 08:30PM ET,DAL,0
,,,,,,,,,,D,Erik Karlsson (16216160),Erik Karlsson,16216160,D/UTIL,4800,SJ@MIN 01/22/2021 08:00PM ET,SJ,6.85
,,,,,,,,,,LW,Bobby Ryan (16216116),Bobby Ryan,16216116,W/UTIL,4700,DET@CHI 01/22/2021 08:00PM ET,DET,15.7
,,,,,,,,,,C,Ryan Johansen (16216203),Ryan Johansen,16216203,C/UTIL,4700,NSH@DAL 01/22/2021 08:30PM ET,NSH,6.1
,,,,,,,,,,RW,Denis Gurianov (16216398),Denis Gurianov,16216398,W/UTIL,4700,NSH@DAL 01/22/2021 08:30PM ET,DAL,0
,,,,,,,,,,RW,Dominik Kubalik (16216345),Dominik Kubalik,16216345,W/UTIL,4600,DET@CHI 01/22/2021 08:00PM ET,CHI,12.25
,,,,,,,,,,D,Filip Hronek (16216452),Filip Hronek,16216452,D/UTIL,4600,DET@CHI 01/22/2021 08:00PM ET,DET,8.2
,,,,,,,,,,D,Ryan Suter (16216097),Ryan Suter,16216097,D/UTIL,4600,SJ@MIN 01/22/2021 08:00PM ET,MIN,7.82
,,,,,,,,,,D,Connor Murphy (16216251),Connor Murphy,16216251,D/UTIL,4500,DET@CHI 01/22/2021 08:00PM ET,CHI,7.58
,,,,,,,,,,LW,Zach Parise (16216101),Zach Parise,16216101,W/UTIL,4400,SJ@MIN 01/22/2021 08:00PM ET,MIN,7.35
,,,,,,,,,,C,Pius Suter (16216539),Pius Suter,16216539,C/UTIL,4300,DET@CHI 01/22/2021 08:00PM ET,CHI,4.62
