first_name,last_name,position,injury_status,reg_line,pp_line,starting_goalie,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,pos
Jordan,Greenway,W,,3,,,1/22/2021,Turbo,MIN,SJS,-1.5,5.5,3.1,2500,27,0,4.3,13.5,3.1,1.24,3
Andrej,Sekera,D,,x,,,1/22/2021,Turbo,DAL,NSH,1.5,5.5,2.8,2500,15,0,2.3,6.5,3,1.2,x
Marcus,Sorensen,W,,4,,,1/22/2021,Turbo,SJS,MIN,1.5,5.5,2.4,2500,2,0,3.7,12,2.9,1.16,4
Ian,Cole,D,,x,,,1/22/2021,Turbo,MIN,SJS,-1.5,5.5,3.1,2700,30,0,2.3,6,2.9,1.07,x
Matt,Nieto,W,,4,,,1/22/2021,Turbo,SJS,MIN,1.5,5.5,2.4,2500,2,1.5,3,8,2.9,1.16,4
Frans,Nielsen,W,,4,,,1/22/2021,Turbo,DET,CHI,1.5,6,2.9,2500,21,0,2.5,5,2.8,1.12,4
Mattias,Janmark,W,,3,,,1/22/2021,Turbo,CHI,DET,-1.5,6,3.1,3100,14,1.5,2.3,4.5,2.8,0.9,3
Radim,Simek,D,,x,,,1/22/2021,Turbo,SJS,MIN,1.5,5.5,2.4,2500,13,0,2.2,5.5,2.7,1.08,x
Nick,Caamano,W,,4,,,1/22/2021,Turbo,DAL,NSH,1.5,5.5,2.8,2500,24,0,2.2,6.5,2.7,1.08,4
Matt,Benning,D,,x,,,1/22/2021,Turbo,NSH,DAL,-1.5,5.5,2.8,2500,27,0.5,2.4,6.5,2.7,1.08,x
Nick,Bjugstad,C,,4,,,1/22/2021,Turbo,MIN,SJS,-1.5,5.5,3.1,2500,19,0,2.3,5,2.6,1.04,4
Ryan,Carpenter,W,,4,,,1/22/2021,Turbo,CHI,DET,-1.5,6,3.1,2500,14,0,3.5,13,2.6,1.04,4
Nico,Sturm,W,,4,,,1/22/2021,Turbo,MIN,SJS,-1.5,5.5,3.1,2500,27,0,5.9,14,2.6,1.04,4
Nikolai,Knyzhov,D,,x,,,1/22/2021,Turbo,SJS,MIN,1.5,5.5,2.4,2500,13,0,1.9,6,2.5,1,x
Patrick,Marleau,C,,4,,,1/22/2021,Turbo,SJS,MIN,1.5,5.5,2.4,2500,25,0,0.9,1.5,2.5,1,4
Marc,Staal,D,,x,,,1/22/2021,Turbo,DET,CHI,1.5,6,2.9,2500,29,0,1.6,6.5,2.4,0.96,x
David,Kampf,C,,4,,,1/22/2021,Turbo,CHI,DET,-1.5,6,3.1,2500,24,0,1.8,4.5,2.2,0.88,4
Dylan,Gambrell,C,,3,,,1/22/2021,Turbo,SJS,MIN,1.5,5.5,2.4,2500,25,0,1.7,3.5,2.2,0.88,3
Carson,Soucy,D,,x,,,1/22/2021,Turbo,MIN,SJS,-1.5,5.5,3.1,2500,30,0,1.3,4,2.1,0.84,x
Stefan,Noesen,W,,3,,,1/22/2021,Turbo,SJS,MIN,1.5,5.5,2.4,2500,2,0,1.4,4,2,0.8,3
Filip,Zadina,W,,1,2,,1/22/2021,Turbo,DET,CHI,1.5,6,2.9,4200,21,0,3.2,11.5,1.9,0.45,1
Givani,Smith,W,,4,2,,1/22/2021,Turbo,DET,CHI,1.5,6,2.9,2500,21,0,0.9,3,1.8,0.72,4
