Player_Name,Salary,Team,Pos,Opp,Proj_FP,pown%
LeBron James,9200.00,LAL,PG/SF,MIL,50.38,40.70
Rudy Gobert,7200.00,UTA,C,NOP,38.38,21.40
Jrue Holiday,6600.00,MIL,PG,LAL,35.1,33.50
Khris Middleton,7600.00,MIL,SF,LAL,40.32,34.80
James Wiseman,4500.00,GSW,C,NYK,23.67,33.20
Julius Randle,8800.00,NYK,PF/C,GSW,45.77,36.10
Giannis Antetokounmpo,10500.00,MIL,PF/C,LAL,53.95,30.50
Mike Conley,6500.00,UTA,PG,NOP,33.3,28.10
Montrezl Harrell,5200.00,LAL,C,MIL,26.56,24.80
Andrew Wiggins,6200.00,GSW,SG/SF,NYK,31.61,34.30
Anthony Davis,9400.00,LAL,PF/C,MIL,47.75,20.30
Donovan Mitchell,7900.00,UTA,PG/SG,NOP,39.43,30.80
Stephen Curry,9600.00,GSW,PG,NYK,47.69,14.00
Draymond Green,5500.00,GSW,PF/C,NYK,27.32,29.20
Zion Williamson,7700.00,NOP,PF/C,UTA,37.93,29.40
Bojan Bogdanovic,5000.00,UTA,SF/PF,NOP,24.45,30.60
Steven Adams,5700.00,NOP,C,UTA,27.76,17.50
Marc Gasol,3600.00,LAL,C,MIL,17.37,13.00
D.J. Augustin,3000.00,MIL,PG,LAL,14.48,21.70
Brook Lopez,5100.00,MIL,C,LAL,24.35,16.00
Kelly Oubre,5700.00,GSW,SF/PF,NYK,26.91,21.90
Derrick Favors,3400.00,UTA,C,NOP,16.02,13.00
Lonzo Ball,5500.00,NOP,PG,UTA,25.83,13.10
RJ Barrett,6900.00,NYK,SG/SF,GSW,32.41,12.00
Alex Caruso,3200.00,LAL,PG/SG,MIL,14.93,20.20
Bobby Portis,4300.00,MIL,PF/C,LAL,20.08,20.20
Mitchell Robinson,6000.00,NYK,C,GSW,27.92,8.00
Brandon Ingram,8500.00,NOP,SF/PF,UTA,39.35,9.40
Elfrid Payton,5800.00,NYK,PG,GSW,26.74,7.30
Eric Bledsoe,5300.00,NOP,PG/SG,UTA,24.39,11.70
Royce O'Neale,4800.00,UTA,SF/PF,NOP,21.97,14.50
Dennis Schroder,6300.00,LAL,PG/SG,MIL,28.53,6.70
Donte DiVincenzo,4900.00,MIL,PG/SG,LAL,22.21,17.30
Jordan Clarkson,6100.00,UTA,PG/SG,NOP,27.3,8.00
Nickeil Alexander-Walker,4900.00,NOP,PG/SG,UTA,21.9,11.60
Josh Hart,4500.00,NOP,SF,UTA,19.69,8.70
Joe Ingles,4300.00,UTA,SG/SF,NOP,18.58,7.20
Pat Connaughton,3400.00,MIL,SF,LAL,14.23,1.40
Reggie Bullock,4300.00,NYK,SG/SF,GSW,17.96,4.30
Immanuel Quickley,4100.00,NYK,PG,GSW,16.87,5.80
Kentavious Caldwell-Pope,3700.00,LAL,SG/SF,MIL,15.15,8.70
J.J. Redick,3500.00,NOP,SG/SF,UTA,14.12,10.10
Brad Wanamaker,3100.00,GSW,PG,NYK,12.16,0.10
Kyle Kuzma,5000.00,LAL,SF/PF,MIL,18.8,2.90
Damion Lee,3500.00,GSW,PG/SG,NYK,12.56,0.10
Nerlens Noel,3600.00,NYK,C,GSW,12.69,0.10
Kent Bazemore,3300.00,GSW,SF,NYK,11.2,1.40
Alec Burks,5300.00,NYK,SG,GSW,17.94,1.50
Bryn Forbes,3100.00,MIL,PG/SG,LAL,10.28,0.10
Kevon Looney,3200.00,GSW,C,NYK,10.47,0.60
Eric Paschall,4600.00,GSW,SF/PF,NYK,14.78,4.30
Jaxson Hayes,3100.00,NOP,C,UTA,9.67,0.60
Wesley Matthews,3000.00,LAL,SG,MIL,8.72,0.60
Obi Toppin,3200.00,NYK,PF,GSW,9.22,4.30
Markieff Morris,3300.00,LAL,PF/C,MIL,8.77,1.40
Georges Niang,3100.00,UTA,SF/PF,NOP,8.14,0.10
Kevin Knox,3200.00,NYK,SF/PF,GSW,8.2,0.10
Jordan Poole,3000.00,GSW,PG/SG,NYK,3.75,0.10
Thanasis Antetokounmpo,3000.00,MIL,PF,LAL,2.75,0.10
