PG,SG,SF,PF,C,G,F,UTIL,,Instructions,,,,,,,,
,,,,,,,,,PG,Monte Morris (16318809),Monte Morris,16318809,PG/G/UTIL,4200,DEN@LAL 02/04/2021 10:00PM ET,DEN,21.12
,,,,,,,,,PF/C,Paul Millsap (16318712),Paul Millsap,16318712,PF/C/F/UTIL,4100,DEN@LAL 02/04/2021 10:00PM ET,DEN,20.6
,,,,,,,,,SF/PF,Danuel House Jr. (16318783),Danuel House Jr.,16318783,SF/PF/F/UTIL,4100,HOU@MEM 02/04/2021 09:00PM ET,HOU,17.03
,,,,,,,,,SG,Kevin Porter Jr. (16318929),Kevin Porter Jr.,16318929,SG/G/UTIL,4000,HOU@MEM 02/04/2021 09:00PM ET,HOU,0
,,,,,,,,,SG/SF,Grayson Allen (16318824),Grayson Allen,16318824,SG/SF/F/G/UTIL,3900,HOU@MEM 02/04/2021 09:00PM ET,MEM,17.31
,,,,,,,,,SG/SF,Desmond Bane (16318879),Desmond Bane,16318879,SG/SF/F/G/UTIL,3700,HOU@MEM 02/04/2021 09:00PM ET,MEM,16.91
,,,,,,,,,SG/SF,Kentavious Caldwell-Pope (16318764),Kentavious Caldwell-Pope,16318764,SG/SF/F/G/UTIL,3500,DEN@LAL 02/04/2021 10:00PM ET,LAL,16.67
,,,,,,,,,PG/SG,Facundo Campazzo (16318779),Facundo Campazzo,16318779,PG/SG/G/UTIL,3500,DEN@LAL 02/04/2021 10:00PM ET,DEN,9.17
,,,,,,,,,PF/C,P.J. Tucker (16318708),P.J. Tucker,16318708,PF/C/F/UTIL,3500,HOU@MEM 02/04/2021 09:00PM ET,HOU,16.08
,,,,,,,,,PG/SG,Alex Caruso (16318787),Alex Caruso,16318787,PG/SG/G/UTIL,3400,DEN@LAL 02/04/2021 10:00PM ET,LAL,14.04
,,,,,,,,,C,Marc Gasol (16318723),Marc Gasol,16318723,C/UTIL,3300,DEN@LAL 02/04/2021 10:00PM ET,LAL,15.51
,,,,,,,,,SG/SF,PJ Dozier (16318858),PJ Dozier,16318858,SG/SF/F/G/UTIL,3300,DEN@LAL 02/04/2021 10:00PM ET,DEN,16.59
,,,,,,,,,SF,Sterling Brown (16318806),Sterling Brown,16318806,SF/F/UTIL,3300,HOU@MEM 02/04/2021 09:00PM ET,HOU,17.35
,,,,,,,,,PG/SF,John Konchar (16318845),John Konchar,16318845,PG/SF/F/G/UTIL,3300,HOU@MEM 02/04/2021 09:00PM ET,MEM,17.61
,,,,,,,,,SF,Talen Horton-Tucker (16318921),Talen Horton-Tucker,16318921,SF/F/UTIL,3200,DEN@LAL 02/04/2021 10:00PM ET,LAL,14.56
