Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
23,1511916874,theriot326,0,58.95,P Walker Buehler P Pablo L?pez 3B Eduardo Escobar SS Trevor Story OF Tim Locastro OF Nicholas Castellanos OF Dexter Fowler 2B Addison Russell 1B Yonder Alonso C Mart?n Maldonado,,Michael Brantley,OF,11.54%,10
24,1511918026,sbunnell,0,55.65,P Robbie Ray P Reynaldo L?pez SS Eduardo Escobar 1B Freddie Freeman OF Ronald Acu?a Jr. OF Tim Locastro 3B Yo?n Moncada OF Leury Garc?a C Blake Swihart 2B Starlin Castro,,Austin Riley,3B,11.54%,23
25,1511908804,IndyGlen,0,0,,,Trey Mancini,OF,11.54%,4
25,1511918308,Elway1998,0,0,,,Wade Miley,P,11.54%,25.55
,,,,,,,Alex Bregman,3B,11.54%,7
,,,,,,,Corey Seager,SS,7.69%,12
,,,,,,,Lourdes Gurriel Jr.,2B,7.69%,21
,,,,,,,Mark Reynolds,1B,7.69%,6
,,,,,,,Robinson Chirinos,C,7.69%,2
,,,,,,,Willy Adames,SS,7.69%,7
,,,,,,,Freddie Freeman,1B,7.69%,0
,,,,,,,Nick Markakis,OF,7.69%,0
,,,,,,,Mart?n Maldonado,C,7.69%,5
,,,,,,,Juan Soto,OF,7.69%,29
,,,,,,,Miguel Cabrera,1B,7.69%,0
,,,,,,,Kris Bryant,OF,7.69%,14
,,,,,,,Justin Turner,3B,7.69%,5
,,,,,,,Matt Wieters,C,7.69%,23
,,,,,,,John Means,P,7.69%,23.7
,,,,,,,Brandon Lowe,2B,7.69%,12
,,,,,,,Derek Fisher,OF,7.69%,0
,,,,,,,Jos? Abreu,1B,7.69%,18
,,,,,,,Blake Swihart,C,7.69%,7
,,,,,,,Starlin Castro,2B,7.69%,12
,,,,,,,Kyle Hendricks,P,7.69%,29.8
,,,,,,,Chris Iannetta,C,7.69%,0
,,,,,,,Kyle Schwarber,OF,7.69%,16
,,,,,,,Brian Anderson,3B,7.69%,5
,,,,,,,Trent Thornton,P,7.69%,8.5
,,,,,,,Michael Conforto,OF,7.69%,2
,,,,,,,Nicholas Castellanos,OF,7.69%,11
,,,,,,,Hanser Alberto,3B,7.69%,3
,,,,,,,Tim Locastro,OF,7.69%,0
,,,,,,,Addison Russell,2B,7.69%,0
,,,,,,,Alex Gordon,OF,7.69%,8
,,,,,,,Bryce Harper,OF,7.69%,30
,,,,,,,Madison Bumgarner,P,7.69%,12.7
,,,,,,,Tommy Pham,OF,7.69%,13
,,,,,,,Marcell Ozuna,OF,7.69%,12
,,,,,,,James McCann,C,7.69%,9
,,,,,,,Tony Kemp,2B,7.69%,2
,,,,,,,Avisa?l Garc?a,OF,7.69%,11
,,,,,,,Freddy Galvis,SS,7.69%,5
,,,,,,,Victor Robles,OF,3.85%,7
,,,,,,,JaCoby Jones,OF,3.85%,3
,,,,,,,Max Muncy,2B,3.85%,7
,,,,,,,David Dahl,OF,3.85%,10
,,,,,,,Ian Desmond,OF,3.85%,9
,,,,,,,Niko Goodrum,OF,3.85%,5
,,,,,,,Mart?n Prado,3B,3.85%,0
,,,,,,,Dansby Swanson,SS,3.85%,0
,,,,,,,Billy Hamilton,OF,3.85%,17
,,,,,,,Noah Syndergaard,P,3.85%,12.1
,,,,,,,Mike Yastrzemski,OF,3.85%,0
,,,,,,,Matt Beaty,OF,3.85%,17
,,,,,,,Andrew McCutchen,OF,3.85%,28
,,,,,,,Brendan Rodgers,2B,3.85%,11
,,,,,,,Brandon Belt,1B,3.85%,21
,,,,,,,Buster Posey,C,3.85%,7
,,,,,,,Erik Kratz,C,3.85%,0
,,,,,,,Cody Bellinger,OF,3.85%,0
,,,,,,,Ildemaro Vargas,3B,3.85%,12
,,,,,,,Albert Almora Jr.,OF,3.85%,3
,,,,,,,Raimel Tapia,OF,3.85%,5
,,,,,,,Maikel Franco,3B,3.85%,16
,,,,,,,Adalberto Mondesi,SS,3.85%,0
,,,,,,,Ryan O'Hearn,1B,3.85%,5
,,,,,,,Austin Wynns,C,3.85%,2
,,,,,,,Randal Grichuk,OF,3.85%,4
,,,,,,,Dexter Fowler,OF,3.85%,0
,,,,,,,Yonder Alonso,1B,3.85%,0
,,,,,,,C?sar Hern?ndez,2B,3.85%,12
,,,,,,,Paul Goldschmidt,1B,3.85%,5
,,,,,,,Adam Eaton,OF,3.85%,15
,,,,,,,Yo?n Moncada,3B,3.85%,16
,,,,,,,Leury Garc?a,OF,3.85%,13
,,,,,,,Carlos G?mez,OF,3.85%,0
,,,,,,,Yolmer S?nchez,2B,3.85%,8
,,,,,,,J.T. Realmuto,C,3.85%,4
,,,,,,,Harrison Bader,OF,3.85%,0
,,,,,,,Howie Kendrick,1B,3.85%,20
,,,,,,,Nick Ahmed,SS,3.85%,3
,,,,,,,Josh Reddick,OF,3.85%,2
,,,,,,,Adam Jones,OF,3.85%,14
,,,,,,,Kevin Cron,1B,3.85%,12
,,,,,,,Kevin Kiermaier,OF,3.85%,16
,,,,,,,Eric Sogard,2B,3.85%,13
,,,,,,,Javier B?ez,SS,3.85%,5
,,,,,,,Rowdy Tellez,1B,3.85%,5
,,,,,,,Whit Merrifield,2B,3.85%,13
,,,,,,,Rhys Hoskins,1B,3.85%,8
,,,,,,,Jorge Soler,OF,3.85%,21
,,,,,,,Kevin Pillar,OF,3.85%,0
,,,,,,,Ronny Rodr?guez,2B,3.85%,0
