Player_Name,Salary,Team,Pos,Opp,Proj_FP
Malcolm Brown,4200.00,LAR,RB,GBP,3.65
Breshad Perriman,3000.00,CLE,WR,PIT,2.57
Logan Thomas,2500.00,BUF,TE,NEP,2.16
Matt Lengel,2500.00,CIN,TE,TBB,2.13
Austin Carr,3000.00,NOS,WR,MIN,2.52
Chase Edmonds,4200.00,ARI,RB,SFO,3.44
Tyler Higbee,2600.00,LAR,TE,GBP,2.07
Alex Armah,3000.00,CAR,RB,BAL,2.37
David Morgan,2500.00,MIN,TE,NOS,1.94
Levine Toilolo,2500.00,DET,TE,SEA,1.94
Tim Patrick,3000.00,DEN,WR,KCC,2.21
Dion Sims,2500.00,CHI,TE,NYJ,1.74
Rashaad Penny,3900.00,SEA,RB,DET,2.68
Stevan Ridley,4000.00,PIT,RB,CLE,2.71
C.J. Ham,3000.00,MIN,RB,NOS,2.03
C.J. Anderson,3300.00,CAR,RB,BAL,2.21
Roc Thomas,3000.00,MIN,RB,NOS,2.02
Equanimeous St. Brown,3500.00,GBP,WR,LAR,2.31
James Develin,3000.00,NEP,RB,BUF,1.97
Ed Dickson,2500.00,SEA,TE,DET,1.54
Khadarel Hodge,3000.00,LAR,WR,GBP,1.81
Tyler Conklin,2500.00,MIN,TE,NOS,1.49
Antony Auclair,2500.00,TBB,TE,CIN,1.45
Taysom Hill,4000.00,NOS,QB,MIN,2.22
Marcedes Lewis,2500.00,GBP,TE,LAR,1.35
Johnny Mundt,2500.00,LAR,TE,GBP,1.32
Nick Williams,3000.00,LAR,WR,GBP,1.58
Cam Phillips,3000.00,BUF,WR,NEP,1.57
Jacquizz Rodgers,3000.00,TBB,RB,CIN,1.56
Zach Line,3000.00,NOS,RB,MIN,1.57
Corey Coleman,4000.00,NYG,WR,WAS,2.05
Brandon Zylstra,3000.00,MIN,WR,NOS,1.45
C.J. Prosise,3000.00,SEA,RB,DET,1.42
Shelton Gibson,3000.00,PHI,WR,JAC,1.4
Chris Manhertz,2500.00,CAR,TE,BAL,1.12
Brian Quick,3000.00,WAS,WR,NYG,1.33
Jawill Davis,3000.00,NYG,WR,WAS,1.28
Leonte Carroo,3300.00,MIA,WR,HOU,1.42
Elijhaa Penny,3000.00,NYG,RB,WAS,1.24
De'Angelo Henderson,3800.00,NYJ,RB,CHI,1.56
Scott Simonson,2500.00,NYG,TE,WAS,1
Joshua Perkins,2500.00,PHI,TE,JAC,1
Gabe Holmes,2500.00,ARI,TE,SFO,0.94
Tyler Ervin,3000.00,HOU,RB,MIA,1.11
Dwayne Allen,2600.00,NEP,TE,BUF,0.91
Dontrell Hilliard,3000.00,CLE,RB,PIT,1.06
Gus Edwards,3000.00,BAL,RB,CAR,1.03
Anthony Sherman,3000.00,KCC,RB,DEN,1
Benny Cunningham,3200.00,CHI,RB,NYJ,1.04
DeAndre Carter,3000.00,PHI,WR,JAC,0.98
Roosevelt Nix,3000.00,PIT,RB,CLE,0.99
Derrick Coleman,3000.00,ARI,RB,SFO,0.93
Josh Adams,3000.00,PHI,RB,JAC,0.8
Ben Braunecker,2500.00,CHI,TE,NYJ,0.68
Justin Davis,3000.00,LAR,RB,GBP,0.77
Dwayne Washington,3000.00,NOS,RB,MIN,0.74
Durham Smythe,2500.00,MIA,TE,HOU,0.56
Kalen Ballage,3300.00,MIA,RB,HOU,0.74
Senorise Perry,3000.00,MIA,RB,HOU,0.46
Patrick DiMarco,3000.00,BUF,RB,NEP,0.46
