Player_Name,Salary,Team,Pos,Opp,Proj_FP
Kyle Allen,4100.00,WAS,QB,LAR,15.29
Daniel Jones,5400.00,NYG,QB,DAL,19.54
Deshaun Watson,6900.00,HOU,QB,JAC,24.67
Lamar Jackson,7900.00,BAL,QB,CIN,28.17
Russell Wilson,7600.00,SEA,QB,MIN,26.62
Dak Prescott,7400.00,DAL,QB,NYG,25.71
Matt Ryan,6100.00,ATL,QB,CAR,21.14
Teddy Bridgewater,5900.00,CAR,QB,ATL,20.39
Patrick Mahomes,7700.00,KCC,QB,LVR,26.61
Darnell Mooney,3000.00,CHI,WR,TBB,10.3
Derek Carr,5300.00,LVR,QB,KCC,17.49
Olamide Zaccheaus,3000.00,ATL,WR,CAR,9.85
Chris Carson,6400.00,SEA,RB,MIN,20.83
Drew Brees,6100.00,NOS,QB,LAC,19.78
Kyler Murray,7200.00,ARI,QB,NYJ,23.15
Alvin Kamara,8200.00,NOS,RB,LAC,26.34
Kirk Cousins,5900.00,MIN,QB,SEA,18.86
Brandin Cooks,4100.00,HOU,WR,JAC,12.82
Mike Davis,6400.00,CAR,RB,ATL,20.04
Keenan Allen,6400.00,LAC,WR,NOS,19.91
Joe Flacco,4800.00,NYJ,QB,ARI,14.87
Justin Herbert,6000.00,LAC,QB,NOS,18.47
Jared Goff,6500.00,LAR,QB,WAS,19.81
Houston Texans,2600.00,HOU,DST,JAC,7.84
Hunter Henry,4300.00,LAC,TE,NOS,12.94
Evan Engram,4600.00,NYG,TE,DAL,13.81
Tyler Lockett,6900.00,SEA,WR,MIN,20.73
Joe Burrow,6000.00,CIN,QB,BAL,17.92
Baker Mayfield,5700.00,CLE,QB,IND,16.99
D.J. Moore,6000.00,CAR,WR,ATL,17.85
Darius Slayton,4800.00,NYG,WR,DAL,14.27
Ezekiel Elliott,7800.00,DAL,RB,NYG,23.1
Philip Rivers,5800.00,IND,QB,CLE,17.11
Robby Anderson,5900.00,CAR,WR,ATL,17.34
Jeff Smith,3000.00,NYJ,WR,ARI,8.83
Tom Brady,6300.00,TBB,QB,CHI,18.37
Ryan Fitzpatrick,5600.00,MIA,QB,SFO,16.32
David Johnson,5200.00,HOU,RB,JAC,15.08
Clyde Edwards-Helaire,6800.00,KCC,RB,LVR,19.65
Carson Wentz,5600.00,PHI,QB,PIT,16.16
Travis Kelce,6400.00,KCC,TE,LVR,18.34
Dalvin Cook,7600.00,MIN,RB,SEA,21.82
Emmanuel Sanders,4800.00,NOS,WR,LAC,13.64
Ben Roethlisberger,6600.00,PIT,QB,PHI,18.71
Adam Thielen,7000.00,MIN,WR,SEA,19.45
Devonta Freeman,4600.00,NYG,RB,DAL,12.72
Chris Herndon,3200.00,NYJ,TE,ARI,8.77
Carolina Panthers,2400.00,CAR,DST,ATL,6.56
Josh Jacobs,6300.00,LVR,RB,KCC,17.13
Michael Gallup,5400.00,DAL,WR,NYG,14.59
Kareem Hunt,6500.00,CLE,RB,IND,17.57
Myles Gaskin,4800.00,MIA,RB,SFO,12.87
Darren Waller,5900.00,LVR,TE,KCC,15.84
Mike Evans,6600.00,TBB,WR,CHI,17.47
Nick Foles,6000.00,CHI,QB,TBB,15.87
