QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Teddy Bridgewater,J.D. McKissic,Derrick Henry,Curtis Samuel,Robby Anderson,Tim Patrick,Jordan Akins,Davante Adams,Dallas Cowboys
Teddy Bridgewater,Austin Ekeler,David Montgomery,Curtis Samuel,Denzel Mims,Robby Anderson,Noah Fant,Derrick Henry,Dallas Cowboys
Matt Ryan,J.D. McKissic,Austin Ekeler,Curtis Samuel,Julio Jones,Keenan Allen,Jordan Akins,Calvin Ridley,Dallas Cowboys
Mitchell Trubisky,J.D. McKissic,Austin Ekeler,Darnell Mooney,Davante Adams,Allen Robinson,Jordan Akins,James Robinson,Dallas Cowboys
Teddy Bridgewater,Austin Ekeler,Myles Gaskin,Curtis Samuel,Robby Anderson,Corey Davis,Travis Kelce,Jerry Jeudy,Dallas Cowboys
Tom Brady,J.D. McKissic,Derrick Henry,Curtis Samuel,Adam Thielen,Antonio Brown,Jordan Akins,Chris Godwin,Dallas Cowboys
Patrick Mahomes,J.D. McKissic,Austin Ekeler,Curtis Samuel,N'Keal Harry,Jakeem Grant,Travis Kelce,Tyreek Hill,Dallas Cowboys
Aaron Rodgers,J.D. McKissic,Austin Ekeler,Curtis Samuel,Davante Adams,Kenny Golladay,Jordan Akins,Robert Tonyan,Seattle Seahawks
Teddy Bridgewater,Austin Ekeler,Christian McCaffrey,Curtis Samuel,Robby Anderson,Tee Higgins,Noah Fant,Cole Beasley,Arizona Cardinals
Andy Dalton,Austin Ekeler,Derrick Henry,A.J. Green,Curtis Samuel,CeeDee Lamb,Dalton Schultz,Davante Adams,Seattle Seahawks
Matt Ryan,J.D. McKissic,Giovani Bernard,Tyler Boyd,Julio Jones,Davante Adams,Hayden Hurst,Keenan Allen,Philadelphia Eagles
Russell Wilson,J.D. McKissic,Derrick Henry,Curtis Samuel,Breshad Perriman,Julio Jones,Jacob Hollister,Tyler Lockett,Dallas Cowboys
Philip Rivers,Austin Ekeler,Derrick Henry,Robby Anderson,Zach Pascal,Davante Adams,Mo Alie-Cox,Nelson Agholor,Dallas Cowboys
Teddy Bridgewater,Austin Ekeler,Ezekiel Elliott,Curtis Samuel,Robby Anderson,KJ Hamler,Travis Kelce,Brandin Cooks,San Francisco 49ers
