QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Josh Allen,Mike Davis,Aaron Jones,DeVante Parker,Stefon Diggs,DeAndre Hopkins,Dawson Knox,Duke Johnson,New Orleans Saints
Josh Allen,Mike Davis,Aaron Jones,Tyler Lockett,Stefon Diggs,Larry Fitzgerald,Darren Waller,John Brown,Los Angeles Rams
Justin Herbert,Mike Davis,Aaron Jones,Jakeem Grant,Tyler Lockett,Keenan Allen,Hunter Henry,Alvin Kamara,New Orleans Saints
Kyler Murray,Mike Davis,Aaron Jones,Stefon Diggs,Robby Anderson,Larry Fitzgerald,Noah Fant,Christian Kirk,Miami Dolphins
Jared Goff,Mike Davis,Aaron Jones,Tyler Lockett,Stefon Diggs,Josh Reynolds,Dallas Goedert,Cooper Kupp,Green Bay Packers
Josh Allen,Mike Davis,Aaron Jones,D.J. Moore,Stefon Diggs,Davante Adams,Dan Arnold,Cole Beasley,Detroit Lions
Ben Roethlisberger,Mike Davis,Aaron Jones,Diontae Johnson,Michael Thomas,JuJu Smith-Schuster,Drew Sample,Alvin Kamara,New Orleans Saints
Tua Tagovailoa,Mike Davis,Aaron Jones,DeVante Parker,Keenan Allen,Terry McLaurin,Mike Gesicki,Miles Sanders,Philadelphia Eagles
Russell Wilson,Mike Davis,Aaron Jones,Tyler Lockett,Stefon Diggs,Robert Woods,Jacob Hollister,D'Andre Swift,Cleveland Browns
Derek Carr,Mike Davis,Aaron Jones,Stefon Diggs,Jerry Jeudy,D.K. Metcalf,Darren Waller,Henry Ruggs,Houston Texans
Tom Brady,Mike Davis,Aaron Jones,Tyler Lockett,Robby Anderson,Chris Godwin,Rob Gronkowski,James Conner,Denver Broncos
Daniel Jones,Mike Davis,Aaron Jones,Stefon Diggs,Darius Slayton,Jalen Reagor,Evan Engram,Alvin Kamara,Pittsburgh Steelers
Deshaun Watson,Mike Davis,Aaron Jones,Stefon Diggs,Brandin Cooks,Randall Cobb,Austin Hooper,Alvin Kamara,Los Angeles Chargers
Joe Burrow,Mike Davis,Aaron Jones,Stefon Diggs,A.J. Green,Tee Higgins,Eric Ebron,Alvin Kamara,Washington Football Team
Matthew Stafford,Mike Davis,Aaron Jones,Stefon Diggs,Terry McLaurin,Marvin Jones,T.J. Hockenson,Josh Jacobs,Jacksonville Jaguars
Carson Wentz,Mike Davis,Aaron Jones,Chase Claypool,Sterling Shepard,Travis Fulgham,Dallas Goedert,Alvin Kamara,Tampa Bay Buccaneers
Aaron Rodgers,Mike Davis,Antonio Gibson,Tyler Lockett,Stefon Diggs,Keelan Cole,Robert Tonyan,Davante Adams,Seattle Seahawks
Jake Luton,Mike Davis,Aaron Jones,Stefon Diggs,Davante Adams,DJ Chark,Tyler Eifert,Giovani Bernard,New York Giants
Drew Brees,Mike Davis,Aaron Jones,Stefon Diggs,Michael Thomas,Curtis Samuel,Jared Cook,Brandon Aiyuk,Cincinnati Bengals
Drew Lock,Mike Davis,Aaron Jones,Davante Adams,KJ Hamler,Tim Patrick,Darren Waller,Will Fuller,Carolina Panthers
