Player_Name,Salary,Team,Pos,Opp,Proj_FP,pown%
Tyus Jones,3700.00,MIN,PG,DEN,31.74,4.50%
Ante Zizic,3700.00,CLE,C,PHI,29.2,44.10%
Keita Bates-Diop,3400.00,MIN,SF,DEN,25.41,5.50%
Ryan Arcidiacono,3300.00,CHI,PG/SG,LAL,24.43,26.80%
Moritz Wagner,3300.00,LAL,PF/C,CHI,23.46,13.40%
JaMychal Green,3600.00,LAC,SF/PF,POR,23.8,6.60%
Shaquille Harrison,3100.00,CHI,PG/SF,LAL,19.84,0.10%
Marco Belinelli,3500.00,SAS,SG/SF,DAL,22.34,5.00%
Cedi Osman,5200.00,CLE,SF/PF,PHI,33.16,11.70%
Brandon Knight,3500.00,CLE,PG/SG,PHI,21.53,7.30%
Gary Harris,4000.00,DEN,SG,MIN,24.55,7.30%
Collin Sexton,4900.00,CLE,PG,PHI,29.97,9.90%
Kris Dunn,5200.00,CHI,PG/SG,LAL,31.84,28.70%
Otto Porter,6400.00,CHI,SF/PF,LAL,39.07,31.50%
David Nwaba,3300.00,CLE,SG/SF,PHI,19.78,6.10%
Josh Okogie,3500.00,MIN,SG/SF,DEN,20.98,4.00%
Jusuf Nurkic,7100.00,POR,C,LAC,42.27,27.80%
Patty Mills,3300.00,SAS,PG/SG,DAL,19.53,1.80%
Wayne Selden,3300.00,CHI,SG/SF,LAL,19.36,5.90%
Davis Bertans,3300.00,SAS,SF/PF,DAL,19.06,4.00%
Darren Collison,5900.00,IND,PG,NYK,33.51,0.10%
Dorian Finney-Smith,3300.00,DAL,SF/PF,SAS,18.68,1.60%
Jordan Clarkson,5500.00,CLE,PG/SG,PHI,30.61,1.60%
Jake Layman,3300.00,POR,SF/PF,LAC,18.39,1.90%
Domantas Sabonis,5700.00,IND,PF/C,NYK,31.56,5.70%
J.J. Redick,5200.00,PHI,SG/SF,CLE,28.79,0.10%
Maxi Kleber,3500.00,DAL,PF/C,SAS,19.37,3.50%
Lauri Markkanen,8200.00,CHI,PF/C,LAL,45.1,31.10%
Al-Farouq Aminu,4300.00,POR,SF/PF,LAC,23.51,6.40%
Nikola Mirotic,4700.00,MIL,PF/C,NOP,25.55,5.20%
Bryn Forbes,3500.00,SAS,PG/SG,DAL,19.02,4.00%
Noah Vonleh,4600.00,NYK,PF/C,IND,24.94,4.70%
Jamal Murray,6300.00,DEN,PG/SG,MIN,33.94,15.30%
