Player_Name,Salary,Team,Pos,Opp,Proj_FP,pown%
Jeff Green,3400.00,UTA,SF/PF,LAL,22.52,14.30%
Donovan Mitchell,7100.00,UTA,PG/SG,LAL,43.52,33.50%
Cam Reddish,3400.00,ATL,PG/SG,BKN,19.43,15.70%
Buddy Hield,7400.00,SAC,SG/SF,POR,41.89,19.20%
Luka Doncic,11600.00,DAL,PG/SF,MIN,65.61,38.90%
D.J. Augustin,4100.00,ORL,PG,PHO,23.02,15.50%
Jabari Parker,6400.00,ATL,SF/PF,BKN,35.55,24.90%
Emmanuel Mudiay,3200.00,UTA,PG,LAL,17.68,18.10%
Jarrett Allen,6000.00,BKN,C,ATL,33.03,24.10%
Kris Dunn,4500.00,CHI,PG/SF,MEM,24.74,15.60%
Grant Williams,3000.00,BOS,SF/PF,MIA,16.32,8.50%
Blake Griffin,6600.00,DET,PF,MIL,35.85,16.60%
Jae Crowder,5000.00,MEM,SF/PF,CHI,27.09,13.70%
Kevon Looney,3400.00,GSW,PF/C,CHA,18.41,8.30%
Damian Lillard,8100.00,POR,PG,SAC,43.68,19.90%
Trevor Ariza,3000.00,SAC,SF/PF,POR,16.1,8.40%
Jimmy Butler,7300.00,MIA,SG/SF,BOS,39.14,11.00%
Bam Adebayo,7200.00,MIA,C,BOS,38.54,14.80%
Kristaps Porzingis,6900.00,DAL,PF/C,MIN,36.9,13.50%
Joe Ingles,4900.00,UTA,SG/SF,LAL,26.08,13.40%
Bojan Bogdanovic,6100.00,UTA,SF/PF,LAL,32.38,14.60%
Tomas Satoransky,5200.00,CHI,PG/SG,MEM,27.49,9.50%
Taurean Prince,5800.00,BKN,SF/PF,ATL,30.53,14.80%
Andre Drummond,8900.00,DET,C,MIL,46.78,16.60%
Spencer Dinwiddie,8200.00,BKN,PG/SG,ATL,42.98,13.60%
Lauri Markkanen,5600.00,CHI,PF/C,MEM,29.36,12.60%
Zach LaVine,8000.00,CHI,PG/SG,MEM,41.74,12.50%
Wendell Carter,6500.00,CHI,PF/C,MEM,33.93,8.70%
Dwight Howard,3600.00,LAL,C,UTA,18.77,10.50%
Anthony Davis,9400.00,LAL,PF/C,UTA,48.98,15.80%
DeAndre Bembry,5000.00,ATL,PG/SG,BKN,25.95,11.30%
Aaron Gordon,5900.00,ORL,SF/PF,PHO,30.56,6.30%
Evan Fournier,6500.00,ORL,SG/SF,PHO,33.59,8.40%
Grayson Allen,3500.00,MEM,PG/SG,CHI,18.07,0.60%
C.J. McCollum,6900.00,POR,PG/SG,SAC,35.61,2.60%
Khris Middleton,6100.00,MIL,SG/SF,DET,31.45,3.40%
Terry Rozier,6500.00,CHA,PG,GSW,33.56,2.10%
Miles Bridges,5100.00,CHA,SF/PF,GSW,26.3,4.90%
Jonathan Isaac,6800.00,ORL,SF/PF,PHO,35.06,2.80%
Joe Harris,5700.00,BKN,SG/SF,ATL,29.27,3.00%
Kent Bazemore,3300.00,POR,SG/SF,SAC,16.93,1.80%
Kemba Walker,7600.00,BOS,PG,MIA,39.01,3.80%
Evan Turner,3300.00,ATL,PG/SF,BKN,16.92,5.20%
Tyler Herro,4400.00,MIA,SG,BOS,22.49,3.70%
Garrett Temple,5200.00,BKN,SG/SF,ATL,26.5,4.90%
Justin James,3400.00,SAC,SG/SF,POR,17.3,0.70%
PJ Washington,4700.00,CHA,PF/C,GSW,23.93,4.00%
Damian Jones,4200.00,ATL,C,BKN,21.39,2.70%
Dorian Finney-Smith,4000.00,DAL,SF/PF,MIN,20.31,2.80%
Ed Davis,3100.00,UTA,PF/C,LAL,15.7,2.00%
Bismack Biyombo,4800.00,CHA,C,GSW,24.29,3.90%
Kyle Kuzma,3900.00,LAL,SF/PF,UTA,19.71,2.90%
Langston Galloway,3800.00,DET,PG/SG,MIL,19.18,0.70%
Giannis Antetokounmpo,11800.00,MIL,SF/PF,DET,59.58,10.00%
Rajon Rondo,4000.00,LAL,PG,UTA,20.21,2.90%
Thaddeus Young,4000.00,CHI,SF/PF,MEM,20.15,2.60%
Devonte' Graham,7700.00,CHA,PG/SG,GSW,38.8,2.00%
Maxi Kleber,3800.00,DAL,PF/C,MIN,19.13,2.90%
Nerlens Noel,4200.00,OKC,C,IND,21.13,2.70%
Robert Covington,5200.00,MIN,SF/PF,DAL,26.13,4.60%
Rudy Gobert,7500.00,UTA,C,LAL,37.65,2.40%
Dwight Powell,4100.00,DAL,C,MIN,20.55,2.70%
Jayson Tatum,7900.00,BOS,SF/PF,MIA,39.55,2.20%
Jaylen Brown,7000.00,BOS,SG/SF,MIA,35.09,1.60%
Kendrick Nunn,5200.00,MIA,PG/SG,BOS,25.98,4.60%
Malcolm Brogdon,7700.00,IND,PG/SG,OKC,38.43,2.50%
Kentavious Caldwell-Pope,3600.00,LAL,SG/SF,UTA,17.91,1.50%
Bruce Brown,4500.00,DET,SG/SF,MIL,22.42,0.70%
Coby White,4700.00,CHI,PG/SG,MEM,23.37,2.80%
LeBron James,10000.00,LAL,PG/SF,UTA,49.64,7.40%
Harrison Barnes,5800.00,SAC,SF/PF,POR,28.69,3.60%
Markelle Fultz,5700.00,ORL,PG/SG,PHO,28.12,3.60%
Brad Wanamaker,4100.00,BOS,PG/SG,MIA,20.23,2.30%
Karl-Anthony Towns,10600.00,MIN,C,DAL,52.13,6.40%
Domantas Sabonis,8300.00,IND,PF/C,OKC,40.8,2.50%
Justise Winslow,5300.00,MIA,PG/SF,BOS,26.02,5.20%
Richaun Holmes,6700.00,SAC,PF/C,POR,32.91,5.40%
Malik Monk,3900.00,CHA,PG/SG,GSW,19.11,0.90%
Alex Len,3600.00,ATL,C,BKN,17.6,1.40%
Kelly Olynyk,4200.00,MIA,PF/C,BOS,20.52,1.60%
Dillon Brooks,5700.00,MEM,SG/SF,CHI,27.8,3.50%
Chris Paul,6700.00,OKC,PG,IND,32.63,4.10%
Myles Turner,6000.00,IND,C,OKC,29.2,4.70%
Andrew Wiggins,7800.00,MIN,SG/SF,DAL,37.83,4.20%
Derrick Rose,5500.00,DET,PG/SG,MIL,26.65,2.00%
Cory Joseph,4500.00,SAC,PG/SG,POR,21.72,1.60%
Jaren Jackson,6800.00,MEM,PF/C,CHI,32.87,5.70%
Tony Snell,3200.00,DET,SG/SF,MIL,15.41,0.60%
Hassan Whiteside,7600.00,POR,C,SAC,36.58,6.00%
Trae Young,10400.00,ATL,PG,BKN,50.02,5.50%
Tim Hardaway Jr.,5400.00,DAL,SG/SF,MIN,25.86,3.10%
Eric Bledsoe,6200.00,MIL,PG,DET,29.59,1.90%
Jeremy Lamb,6300.00,IND,SG/SF,OKC,29.94,3.60%
Tyus Jones,5200.00,MEM,PG/SG,CHI,24.71,2.50%
DeAndre Jordan,5000.00,BKN,C,ATL,23.73,1.60%
Jonas Valanciunas,7900.00,MEM,C,CHI,37.27,2.80%
Aaron Holiday,3400.00,IND,PG/SG,OKC,16.05,1.70%
Nemanja Bjelica,6100.00,SAC,PF,POR,28.82,5.00%
Nicolas Batum,3400.00,CHA,SG/SF,GSW,16.01,1.60%
Draymond Green,6200.00,GSW,PG/SF,CHA,28.62,5.00%
Terrance Ferguson,3200.00,OKC,SG/SF,IND,14.75,2.00%
Jeff Teague,5700.00,MIN,PG,DAL,26.3,2.40%
Shai Gilgeous-Alexander,6700.00,OKC,PG/SG,IND,30.77,4.40%
Daniel Theis,4000.00,BOS,PF/C,MIA,18.32,1.70%
Danilo Gallinari,6800.00,OKC,SF/PF,IND,31.03,4.90%
Vince Carter,3100.00,ATL,SF/PF,BKN,14.05,0.90%
Steven Adams,6300.00,OKC,C,IND,28.46,2.40%
Seth Curry,3200.00,DAL,PG/SG,MIN,14.4,0.80%
TJ Warren,5500.00,IND,SF/PF,OKC,24.69,1.80%
Theo Pinson,3300.00,BKN,PG/SG,ATL,14.79,0.60%
Delon Wright,4700.00,DAL,PG/SG,MIN,20.99,1.40%
Mohamed Bamba,4300.00,ORL,C,PHO,19.22,1.40%
Wesley Matthews,3500.00,MIL,SG/SF,DET,15.59,0.60%
Josh Okogie,3900.00,MIN,SG/SF,DAL,17.29,0.50%
Iman Shumpert,3100.00,BKN,SG/SF,ATL,13.7,0.90%
Carmelo Anthony,6200.00,POR,SF/PF,SAC,27.43,2.10%
Glenn Robinson III,4900.00,GSW,SG/SF,CHA,21.56,1.30%
Khem Birch,5300.00,ORL,C,PHO,23.27,1.50%
Terrence Ross,5200.00,ORL,SG/SF,PHO,22.72,1.40%
JaVale McGee,4100.00,LAL,C,UTA,17.92,0.50%
Danny Green,4000.00,LAL,SG/SF,UTA,17.47,0.50%
Dennis Schroder,6000.00,OKC,PG/SG,IND,26.17,1.90%
Svi Mykhailiuk,3200.00,DET,SG/SF,MIL,13.91,0.60%
Skal Labissiere,3800.00,POR,PF/C,SAC,16.53,0.60%
T.J. McConnell,3500.00,IND,PG,OKC,15.2,0.70%
Eric Paschall,6500.00,GSW,SF/PF,CHA,28.19,2.10%
De'Anthony Melton,4600.00,MEM,PG/SG,CHI,19.94,0.50%
Dzanan Musa,3200.00,BKN,SF/PF,ATL,13.82,0.70%
Cody Zeller,4800.00,CHA,C,GSW,20.65,0.50%
Anfernee Simons,3600.00,POR,PG/SG,SAC,15.49,0.50%
Brook Lopez,5600.00,MIL,C,DET,23.93,0.60%
Rodney Hood,4600.00,POR,SG/SF,SAC,19.54,0.40%
Alex Caruso,3300.00,LAL,PG/SG,UTA,14.02,0.60%
Royce O'Neale,3600.00,UTA,SF,LAL,15.22,2.90%
Markieff Morris,3700.00,DET,PF/C,MIL,15.61,0.50%
Dewayne Dedmon,3100.00,SAC,C,POR,13.05,0.90%
D'Angelo Russell,8500.00,GSW,PG/SG,CHA,35.23,1.30%
Doug McDermott,3000.00,IND,SF/PF,OKC,12.42,1.00%
Dante Exum,3200.00,UTA,PG/SG,LAL,13.08,0.60%
Jarrett Culver,4900.00,MIN,PG/SG,DAL,19.94,0.20%
Shabazz Napier,3200.00,MIN,PG/SG,DAL,12.95,0.50%
Willie Cauley-Stein,4800.00,GSW,C,CHA,19.19,0.20%
Enes Kanter,4800.00,BOS,C,MIA,19.06,0.20%
Alec Burks,6000.00,GSW,PG/SG,CHA,23.74,0.20%
Justin Holiday,4300.00,IND,SG/SF,OKC,16.72,0.20%
Donte DiVincenzo,4400.00,MIL,PG/SF,DET,17.09,0.40%
Marvin Williams,4600.00,CHA,SF/PF,GSW,17.83,0.10%
Yogi Ferrell,3400.00,SAC,PG/SG,POR,13.16,0.40%
Daniel Gafford,3000.00,CHI,C,MEM,11.61,0.70%
Meyers Leonard,3400.00,MIA,PF/C,BOS,13.09,0.40%
Nassir Little,3000.00,POR,SF/PF,SAC,11.42,0.90%
Carsen Edwards,3000.00,BOS,PG,MIA,11.36,0.90%
Keita Bates-Diop,4500.00,MIN,SF/PF,DAL,16.88,0.10%
Duncan Robinson,4500.00,MIA,SG/SF,BOS,16.21,0.10%
Treveon Graham,3200.00,MIN,SG/SF,DAL,11.52,0.40%
George Hill,4100.00,MIL,PG/SG,DET,14.73,0.10%
Abdel Nader,3400.00,OKC,PF,IND,12.21,0.50%
Robert Williams III,3500.00,BOS,PF/C,MIA,12.25,0.20%
Gorgui Dieng,3700.00,MIN,C,DAL,12.88,0.10%
Ersan Ilyasova,3700.00,MIL,PF/C,DET,12.75,0.10%
Derrick Jones Jr.,3100.00,MIA,SF/PF,BOS,10.52,0.50%
Justin Jackson,3600.00,DAL,SF/PF,MIN,12.01,0.10%
Solomon Hill,4700.00,MEM,SF/PF,CHI,15.69,0.10%
Darius Bazley,3000.00,OKC,SF/PF,IND,9.97,0.70%
Ryan Arcidiacono,3100.00,CHI,PG/SG,MEM,10.27,0.30%
Christian Wood,4500.00,DET,PF/C,MIL,14.81,0.10%
Semi Ojeleye,3100.00,BOS,SF/PF,MIA,9.85,0.60%
Bruno Caboclo,3700.00,MEM,PF/C,CHI,11.73,0.10%
Marko Guduric,3000.00,MEM,SG/SF,CHI,9.47,0.50%
Pat Connaughton,4100.00,MIL,SG/SF,DET,12.83,0.10%
Kevin Huerter,4000.00,ATL,SG/SF,BKN,12.21,0.10%
Denzel Valentine,3100.00,CHI,SG/SF,MEM,9.28,0.20%
Tyrone Wallace,3000.00,ATL,PG/SG,BKN,8.82,0.40%
David Nwaba,3000.00,BKN,SG/SF,ATL,8.74,0.40%
Wes Iwundu,3100.00,ORL,SG/SF,PHO,8.97,0.20%
Jalen Brunson,3200.00,DAL,PG/SG,MIN,8.96,0.10%
Ky Bowman,5600.00,GSW,PG,CHA,15.33,0.10%
Sterling Brown,3400.00,MIL,SG/SF,DET,9.25,0.10%
Jordan Poole,3900.00,GSW,SG/SF,CHA,10.4,0.10%
Omari Spellman,4600.00,GSW,PF/C,CHA,12.27,0.10%
Troy Daniels,3000.00,LAL,SG,UTA,7.77,0.70%
Robin Lopez,4800.00,MIL,C,DET,11.6,0.10%
Bruno Fernando,3300.00,ATL,C,BKN,7.22,0.10%
Chris Silva,3100.00,MIA,C,BOS,6.34,0.10%
Deonte Burton,3000.00,OKC,SG/SF,IND,5.94,0.10%
Tim Frazier,3000.00,DET,PG,MIL,5.84,0.20%
Javonte Green,3300.00,BOS,SG,MIA,5.27,0.10%
Kyle Korver,3100.00,MIL,SG/SF,DET,4.88,0.10%
Georges Niang,3100.00,UTA,SF/PF,LAL,3.63,0.10%
Mario Hezonja,3000.00,POR,SF/PF,SAC,3.11,0.10%
Dwayne Bacon,3000.00,CHA,SG/SF,GSW,3.04,0.10%
Marquese Chriss,4500.00,GSW,PF/C,CHA,4.2,0.10%
