Player_Name,Salary,Team,Pos,Opp,Proj_FP,pown%
Jeff Green,3100.00,BKN,PF/C,UTA,20.6,28.10%
Ed Davis,3400.00,MIN,C,DEN,21.42,18.70%
Nicolas Batum,4600.00,LAC,SF/PF,SAS,27.84,10.40%
Ivica Zubac,4200.00,LAC,C,SAS,24.86,13.50%
Talen Horton-Tucker,3400.00,LAL,SF,MEM,20.05,19.80%
Kawhi Leonard,9100.00,LAC,SF,SAS,53.5,22.80%
Luke Kennard,3900.00,LAC,SG/SF,SAS,22.31,1.00%
Lou Williams,4300.00,LAC,PG/SG,SAS,23.5,9.40%
Juancho Hernangomez,3400.00,MIN,PF,DEN,18.33,12.50%
Taurean Prince,3300.00,BKN,SF/PF,UTA,17.75,14.60%
D'Angelo Russell,7200.00,MIN,PG/SG,DEN,38.64,22.80%
Patrick Beverley,4000.00,LAC,PG,SAS,21.44,2.10%
Nikola Jokic,10800.00,DEN,C,MIN,57.53,28.70%
Terance Mann,3000.00,LAC,PG/SG,SAS,15.97,0.10%
Zach LaVine,8000.00,CHI,SG,POR,42.53,24.80%
P.J. Dozier,3200.00,DEN,SG/SF,MIN,16.97,8.30%
Rudy Gobert,7700.00,UTA,C,BKN,40.75,18.80%
Will Barton,5700.00,DEN,SG/SF,MIN,30.11,17.80%
Kyrie Irving,9300.00,BKN,PG,UTA,49.13,25.80%
Donovan Mitchell,7400.00,UTA,PG/SG,BKN,38.7,20.80%
Caris LeVert,6600.00,BKN,PG/SG,UTA,33.78,18.80%
Dillon Brooks,6200.00,MEM,SG/SF,LAL,31.77,18.80%
DeMar DeRozan,7900.00,SAS,SF/PF,LAC,40.26,18.80%
C.J. McCollum,8400.00,POR,PG/SG,CHI,42.54,17.80%
Jamal Murray,7600.00,DEN,PG,MIN,38.39,14.90%
Gorgui Dieng,4000.00,MEM,C,LAL,20.2,7.30%
Malik Beasley,6300.00,MIN,SG,DEN,31.76,15.90%
Joe Ingles,4700.00,UTA,SG/SF,BKN,23.58,8.30%
Daniel Gafford,3300.00,CHI,C,POR,16.52,9.40%
Lonnie Walker IV,4400.00,SAS,SG,LAC,21.99,11.40%
Gary Harris,4000.00,DEN,SG/SF,MIN,20.01,11.40%
Mike Conley,6900.00,UTA,PG,BKN,34.4,14.90%
Damian Lillard,9800.00,POR,PG,CHI,48.83,14.90%
LeBron James,10100.00,LAL,PG/SF,MEM,50.24,16.80%
Jarrett Allen,5800.00,BKN,C,UTA,28.8,9.90%
Kyle Anderson,6300.00,MEM,SF/PF,LAL,31.22,13.90%
Thaddeus Young,4500.00,CHI,PF,POR,22.29,13.50%
Rudy Gay,5000.00,SAS,SF/PF,LAC,24.59,11.90%
Keldon Johnson,6500.00,SAS,SF/PF,LAC,31.93,13.90%
Coby White,6700.00,CHI,PG/SG,POR,32.92,10.90%
Dejounte Murray,6800.00,SAS,PG,LAC,33.39,9.90%
Anthony Davis,9500.00,LAL,PF/C,MEM,46.41,15.90%
Dennis Schroder,6500.00,LAL,PG/SG,MEM,31.78,11.90%
Monte Morris,4800.00,DEN,PG,MIN,23.37,7.30%
Otto Porter Jr.,6400.00,CHI,SF/PF,POR,30.76,11.90%
Bruce Brown,3000.00,BKN,PG/SG,UTA,14.29,0.10%
Naz Reid,5200.00,MIN,C,DEN,24.53,5.00%
Anthony Edwards,4900.00,MIN,SG/SF,DEN,23.15,10.40%
Garrett Temple,3300.00,CHI,SG/SF,POR,15.49,8.30%
Jusuf Nurkic,6400.00,POR,C,CHI,29.71,3.00%
Patrick Williams,4200.00,CHI,SF/PF,POR,19.24,7.30%
Robert Covington,5100.00,POR,PF,CHI,23.31,4.00%
