Player_Name,Salary,Team,Pos,Opp,Proj_FP,pown%
Jonathan Isaac,4200.00,ORL,SF/PF,CHI,25.64,20.00%
Eric Gordon,4800.00,HOU,SG/SF,LAL,28.65,25.00%
Josh Hart,4200.00,LAL,PG/SG,HOU,24.27,25.00%
D.J. Augustin,4000.00,ORL,PG,CHI,22.96,12.50%
Lonzo Ball,5600.00,LAL,PG,HOU,31.71,20.00%
LaMarcus Aldridge,7500.00,SAS,PF/C,LAC,41.72,25.00%
Shai Gilgeous-Alexander,4700.00,LAC,PG/SG,SAS,25.98,15.00%
JaVale McGee,4500.00,LAL,C,HOU,24.85,2.50%
Avery Bradley,3500.00,LAC,SG,SAS,19.13,7.50%
Wesley Matthews,4600.00,DAL,SG/SF,PHO,25.12,10.00%
Wendell Carter,5200.00,CHI,PF/C,ORL,28.19,15.00%
Patrick Beverley,3600.00,LAC,PG/SG,SAS,19.38,15.00%
Nikola Vucevic,8900.00,ORL,C,CHI,47.5,37.50%
Tobias Harris,7300.00,LAC,SF/PF,SAS,38.18,15.00%
P.J. Tucker,3800.00,HOU,SF/PF,LAL,19.86,10.00%
Justin Holiday,5100.00,CHI,SG/SF,ORL,26.56,7.50%
Bobby Portis,5300.00,CHI,PF/C,ORL,27.58,5.00%
Clint Capela,8200.00,HOU,C,LAL,42.2,17.50%
Derrick White,3800.00,SAS,PG/SG,LAC,19.53,5.00%
DeAndre Jordan,7000.00,DAL,C,PHO,35.91,17.50%
Jerian Grant,3200.00,ORL,PG,CHI,16.09,2.50%
DeMar DeRozan,8500.00,SAS,SG/SF,LAC,42.55,22.50%
Danilo Gallinari,6600.00,LAC,SF/PF,SAS,33.09,10.00%
Harrison Barnes,5900.00,DAL,SF/PF,PHO,29.36,5.00%
Mohamed Bamba,3500.00,ORL,C,CHI,17.33,2.50%
James Harden,10900.00,HOU,PG/SG,LAL,53.92,30.00%
Montrezl Harrell,6000.00,LAC,PF/C,SAS,29.48,5.00%
Kentavious Caldwell-Pope,3900.00,LAL,SG/SF,HOU,19.12,5.00%
Evan Fournier,5700.00,ORL,SG/SF,CHI,27.79,10.00%
LeBron James,11000.00,LAL,SF/PF,HOU,53.56,42.50%
Dennis Smith Jr.,5500.00,DAL,PG,PHO,26.29,2.50%
Gerald Green,3700.00,HOU,SG/SF,LAL,17.68,7.50%
Zach LaVine,7400.00,CHI,PG/SG,ORL,35.33,20.00%
Aaron Gordon,7800.00,ORL,SF/PF,CHI,36.81,15.00%
Patty Mills,3600.00,SAS,PG/SG,LAC,16.84,2.50%
Chris Paul,8600.00,HOU,PG,LAL,40.29,20.00%
Tyson Chandler,3600.00,LAL,C,HOU,16.73,2.50%
Lauri Markkanen,6500.00,CHI,PF,ORL,30.25,10.00%
Kris Dunn,5500.00,CHI,PG/SG,ORL,25.3,1.00%
Marco Belinelli,3500.00,SAS,SG/SF,LAC,16.01,2.50%
Marcin Gortat,3600.00,LAC,C,SAS,16.24,1.00%
Lance Stephenson,3200.00,LAL,SG/SF,HOU,14.38,2.50%
Terrence Ross,5500.00,ORL,SG/SF,CHI,24.41,5.00%
Luka Doncic,7700.00,DAL,SG/SF,PHO,34.11,20.00%
Kyle Kuzma,7600.00,LAL,SF/PF,HOU,33.54,17.50%
Rudy Gay,6200.00,SAS,SF/PF,LAC,27.23,10.00%
Bryn Forbes,4300.00,SAS,PG/SG,LAC,18.86,20.00%
Nene Hilario,3200.00,HOU,C,LAL,13.89,0.25%
Ryan Arcidiacono,3500.00,CHI,PG,ORL,15.16,1.00%
Danuel House,3400.00,HOU,SF/PF,LAL,14.4,1.00%
Davis Bertans,3500.00,SAS,PF/C,LAC,14.4,1.00%
Devin Harris,3300.00,DAL,PG/SG,PHO,13.31,1.00%
Dorian Finney-Smith,3700.00,DAL,SF/PF,PHO,14.6,1.00%
Jonathon Simmons,3900.00,ORL,SG/SF,CHI,15.21,2.50%
Jakob Poeltl,4100.00,SAS,C,LAC,15.79,1.00%
Dante Cunningham,3700.00,SAS,SF/PF,LAC,12.99,2.50%
Milos Teodosic,3000.00,LAC,PG,SAS,9.88,2.50%
Jabari Parker,5400.00,CHI,SF/PF,ORL,17.39,2.50%
Mike Scott,3400.00,LAC,SF/PF,SAS,10.77,0.25%
Jalen Brunson,4300.00,DAL,PG,PHO,12.98,7.50%
Brandon Knight,3000.00,HOU,PG/SG,LAL,8.76,0.25%
Sviatoslav Mykhailiuk,3000.00,LAL,SG/SF,HOU,7.88,0.25%
Dirk Nowitzki,4100.00,DAL,PF/C,PHO,10.79,1.00%
Robin Lopez,3000.00,CHI,C,ORL,7.2,0.25%
Maxi Kleber,3100.00,DAL,PF,PHO,7,1.00%
Shaquille Harrison,3300.00,CHI,PG,ORL,6.5,0.01%
Dwight Powell,3600.00,DAL,PF/C,PHO,6.48,0.25%
Tyrone Wallace,3200.00,LAC,PG/SG,SAS,4.11,0.01%
Boban Marjanovic,4000.00,LAC,C,SAS,4.91,5.00%
