Player_Name,Salary,Team,Pos,Opp,Proj_FP,pown%
Tyus Jones,3900.00,MEM,PG/SG,DAL,29.71,50.60%
Alec Burks,4500.00,GSW,PG/SG,OKC,30.59,21.80%
Dorian Finney-Smith,3600.00,DAL,SF/PF,MEM,23.17,14.20%
Maxi Kleber,4100.00,DAL,PF/C,MEM,25.96,24.10%
Kyle Anderson,3800.00,MEM,SF/PF,DAL,23.53,13.50%
Jaren Jackson,4700.00,MEM,PF/C,DAL,28.86,18.10%
Malik Monk,3400.00,CHA,PG/SG,NOP,20.38,3.80%
Thaddeus Young,4200.00,CHI,SF/PF,HOU,24.99,16.60%
Bruno Caboclo,3300.00,MEM,PF/C,DAL,19.61,2.70%
Willie Cauley-Stein,3900.00,GSW,C,OKC,23.1,12.20%
Marquese Chriss,3200.00,GSW,PF/C,OKC,18.88,2.60%
Dwight Powell,4800.00,DAL,C,MEM,28.24,18.40%
De'Anthony Melton,3000.00,MEM,PG/SG,DAL,17.59,1.60%
Chandler Hutchison,3200.00,CHI,SF/PF,HOU,18.68,0.10%
Shai Gilgeous-Alexander,7100.00,OKC,PG/SG,GSW,41.23,32.50%
Boban Marjanovic,3200.00,DAL,C,MEM,18.49,1.70%
Luka Doncic,9600.00,DAL,PG/SG,MEM,55.16,40.60%
Delon Wright,3900.00,DAL,PG/SG,MEM,22.44,0.10%
Coby White,4300.00,CHI,PG/SG,HOU,24.62,0.50%
Jonas Valanciunas,6200.00,MEM,C,DAL,35.3,29.80%
Wendell Carter,5500.00,CHI,PF/C,HOU,30.59,21.90%
Steven Adams,5400.00,OKC,C,GSW,30.03,19.40%
Lauri Markkanen,6300.00,CHI,PF/C,HOU,34.97,21.70%
Russell Westbrook,9000.00,HOU,PG,CHI,49.6,37.10%
Zach LaVine,7300.00,CHI,PG/SG,HOU,40.09,27.60%
Terry Rozier,7000.00,CHA,PG,NOP,38.08,25.70%
Omari Spellman,4100.00,GSW,PF/C,OKC,22.01,3.60%
E'Twaun Moore,3100.00,NOP,SG/SF,CHA,16.65,3.40%
Brandon Ingram,8000.00,NOP,SF/PF,CHA,42.53,34.00%
Derrick Favors,4200.00,NOP,PF/C,CHA,22.25,0.10%
Dennis Schroder,5600.00,OKC,PG/SG,GSW,29.6,18.00%
Kenrich Williams,3200.00,NOP,SF/PF,CHA,16.86,6.10%
Jae Crowder,5000.00,MEM,SF/PF,DAL,26.17,0.10%
Jrue Holiday,7700.00,NOP,PG/SG,CHA,39.47,21.40%
Danilo Gallinari,6400.00,OKC,SF/PF,GSW,32.69,9.20%
PJ Washington,6000.00,CHA,PF/C,NOP,30.58,12.80%
Cody Zeller,5400.00,CHA,C,NOP,27.47,6.80%
Nerlens Noel,4100.00,OKC,C,GSW,20.87,5.00%
J.J. Redick,4000.00,NOP,SG/SF,CHA,20.23,0.10%
Eric Gordon,4300.00,HOU,SG/SF,CHI,21.75,0.10%
D'Angelo Russell,8500.00,GSW,PG/SG,OKC,42.85,27.30%
Miles Bridges,6100.00,CHA,SF/PF,NOP,30.71,12.70%
Hamidou Diallo,4100.00,OKC,SG/SF,GSW,20.59,5.80%
James Harden,11800.00,HOU,PG/SG,CHI,59.11,28.40%
Jordan Poole,4200.00,GSW,SG/SF,OKC,21,0.50%
Clint Capela,7400.00,HOU,C,CHI,36.71,22.50%
Devonte' Graham,6700.00,CHA,PG/SG,NOP,33.13,18.60%
Chris Paul,6800.00,OKC,PG,GSW,33.59,14.10%
Marvin Williams,3300.00,CHA,SF/PF,NOP,16.2,1.60%
Glenn Robinson III,5300.00,GSW,SF/PF,OKC,25.94,13.30%
Frank Jackson,3400.00,NOP,PG/SG,CHA,16.19,4.80%
Damion Lee,4600.00,GSW,SG/SF,OKC,21.81,0.10%
Dwayne Bacon,4400.00,CHA,SG/SF,NOP,20.66,0.10%
Jahlil Okafor,3500.00,NOP,C,CHA,16.24,6.10%
Danuel House Jr.,5200.00,HOU,SF/PF,CHI,24.07,0.10%
Josh Hart,5300.00,NOP,PG/SF,CHA,24.51,9.30%
Kris Dunn,3800.00,CHI,PG/SG,HOU,17.39,2.80%
Jalen Brunson,3700.00,DAL,PG/SG,MEM,16.67,2.00%
Marko Guduric,3100.00,MEM,SG/SF,DAL,13.99,0.90%
Seth Curry,3400.00,DAL,PG/SG,MEM,15.09,5.80%
Tim Hardaway Jr.,4000.00,DAL,SG/SF,MEM,17.18,4.10%
P.J. Tucker,5800.00,HOU,SF/PF,CHI,24.71,8.30%
Darius Bazley,3400.00,OKC,SF/PF,GSW,14.45,0.80%
Jakob Poeltl,3600.00,SAS,C,BOS,15.16,0.00%
Dillon Brooks,5900.00,MEM,SG/SF,DAL,24.5,10.50%
Luke Kornet,3000.00,CHI,PF/C,HOU,12.34,1.60%
Tomas Satoransky,5700.00,CHI,PG/SF,HOU,23.16,9.50%
Terrance Ferguson,3100.00,OKC,SG/SF,GSW,12.6,2.00%
Solomon Hill,3100.00,MEM,SF/PF,DAL,12.52,0.70%
Marco Belinelli,3300.00,SAS,SG,BOS,12.3,0.00%
Ky Bowman,4000.00,GSW,PG,OKC,14.55,1.50%
Cody Martin,3300.00,CHA,PG/SF,NOP,11.87,0.90%
Justin Jackson,3100.00,DAL,SF/PF,MEM,10.97,0.80%
Carsen Edwards,3000.00,BOS,PG,SAS,10.24,0.00%
Nickeil Alexander-Walker,3200.00,NOP,PG/SG,CHA,10.22,0.80%
LaMarcus Aldridge,12300.00,SAS,PF,BOS,39.24,0.00%
Grant Williams,3900.00,BOS,PF,SAS,12.21,0.00%
Austin Rivers,3600.00,HOU,PG/SG,CHI,11.01,0.30%
Trey Lyles,6000.00,SAS,PF,BOS,18.02,0.00%
Ryan Arcidiacono,3200.00,CHI,PG/SG,HOU,9.59,0.30%
Bismack Biyombo,3300.00,CHA,C,NOP,9.39,0.50%
DeMar DeRozan,13800.00,SAS,SG,BOS,38,0.00%
Derrick White,7500.00,SAS,PG,BOS,20.6,0.00%
Jaylen Brown,10500.00,BOS,SF,SAS,27.91,0.00%
Rudy Gay,9300.00,SAS,SF,BOS,24.61,0.00%
Dejounte Murray,11400.00,SAS,PG,BOS,30.11,0.00%
Brad Wanamaker,4500.00,BOS,PG,SAS,11.84,0.00%
Thabo Sefolosha,3100.00,HOU,SF/PF,CHI,7.97,0.10%
Gordon Hayward,13200.00,BOS,SF,SAS,33.86,0.00%
Kemba Walker,15900.00,BOS,PG,SAS,40.7,0.00%
Patty Mills,6600.00,SAS,PG,BOS,16.89,0.00%
Jayson Tatum,14100.00,BOS,SF,SAS,35.29,0.00%
Daniel Theis,9900.00,BOS,C,SAS,23.94,0.00%
Ben McLemore,3300.00,HOU,SG/SF,CHI,7.56,0.20%
Marcus Smart,10200.00,BOS,PG,SAS,22.89,0.00%
Robert Williams III,5700.00,BOS,C,SAS,12.48,0.00%
