Player_Name,Salary,Team,Pos,Opp,Proj_FP,pown%
Klay Thompson,5900.00,GSW,SG,LAC,35.67,34.40%
Jarrett Allen,4300.00,BKN,C,PHI,25.88,26.00%
Derrick White,4900.00,SAS,PG/SG,DEN,28.78,29.10%
Nikola Jokic,9400.00,DEN,C,SAS,54.13,46.70%
Caris LeVert,5400.00,BKN,SG/SF,PHI,31.03,30.30%
Paul Millsap,5700.00,DEN,PF/C,SAS,32.67,30.80%
Kevin Durant,8400.00,GSW,SF/PF,LAC,48.04,43.10%
Joe Harris,4500.00,BKN,SG/SF,PHI,25.46,21.80%
Greg Monroe,3100.00,PHI,C,BKN,17.56,12.90%
J.J. Redick,4800.00,PHI,SG/SF,BKN,27.13,21.60%
LaMarcus Aldridge,7500.00,SAS,PF/C,DEN,42.02,34.60%
Marco Belinelli,3200.00,SAS,SG/SF,DEN,17.86,12.40%
Jamal Murray,6500.00,DEN,PG/SG,SAS,36.26,29.90%
Spencer Dinwiddie,5300.00,BKN,PG/SG,PHI,29.39,21.90%
DeMarre Carroll,4600.00,BKN,SF/PF,PHI,25.53,20.90%
Patrick Beverley,4700.00,LAC,PG/SG,GSW,25.99,18.10%
DeMar DeRozan,7600.00,SAS,SG/SF,DEN,41.98,32.40%
Rudy Gay,5000.00,SAS,SF/PF,DEN,27.59,20.10%
Montrezl Harrell,6300.00,LAC,PF/C,GSW,34.23,24.90%
Shai Gilgeous-Alexander,5100.00,LAC,PG/SG,GSW,27.53,19.00%
Danilo Gallinari,6900.00,LAC,SF/PF,GSW,37.19,27.60%
Landry Shamet,3800.00,LAC,SG/SF,GSW,20.49,14.10%
Lou Williams,7400.00,LAC,PG/SG,GSW,39.73,27.90%
Stephen Curry,9100.00,GSW,PG/SG,LAC,48.83,37.60%
Ben Simmons,7700.00,PHI,PG/SF,BKN,41.21,31.40%
Patty Mills,3400.00,SAS,PG/SG,DEN,18.11,11.30%
Tobias Harris,6100.00,PHI,SF/PF,BKN,32,21.30%
Jimmy Butler,7200.00,PHI,SG/SF,BKN,37.8,25.60%
Draymond Green,6700.00,GSW,PF/C,LAC,33.61,22.00%
Gary Harris,5100.00,DEN,SG,SAS,25.59,16.90%
D'Angelo Russell,8200.00,BKN,PG/SG,PHI,40.99,3.70%
Rodions Kurucs,3500.00,BKN,SF/PF,PHI,17.28,2.30%
Monte Morris,4000.00,DEN,PG,SAS,19.37,2.70%
Malik Beasley,3400.00,DEN,PG/SG,SAS,16.45,2.10%
Will Barton,5200.00,DEN,SG/SF,SAS,24.82,2.00%
Mike Scott,3600.00,PHI,SF/PF,BKN,17.16,2.30%
Jakob Poeltl,3900.00,SAS,C,DEN,18.56,2.50%
Andre Iguodala,4400.00,GSW,SG/SF,LAC,20.84,2.60%
Bryn Forbes,4200.00,SAS,PG/SG,DEN,19.84,2.50%
Mason Plumlee,4100.00,DEN,PF/C,SAS,18.17,1.30%
Boban Marjanovic,4700.00,PHI,C,BKN,20.64,1.50%
Jonah Bolden,3700.00,PHI,PF/C,BKN,16.15,1.00%
Kevon Looney,4100.00,GSW,PF/C,LAC,17.24,1.10%
Davis Bertans,3200.00,SAS,SF/PF,DEN,12.8,0.70%
Andrew Bogut,4200.00,GSW,C,LAC,16.7,1.00%
Ed Davis,4000.00,BKN,C,PHI,15.53,0.90%
Quinn Cook,3300.00,GSW,PG,LAC,12.47,0.70%
JaMychal Green,3900.00,LAC,SF/PF,GSW,14.55,0.80%
James Ennis III,3200.00,PHI,SF/PF,BKN,10.71,0.50%
Shaun Livingston,3200.00,GSW,PG,LAC,9.05,0.40%
Ivica Zubac,3800.00,LAC,C,GSW,9.21,0.20%
Rondae Hollis-Jefferson,3400.00,BKN,PF/C,PHI,7.92,0.20%
T.J. McConnell,3200.00,PHI,PG/SG,BKN,7.44,0.20%
Garrett Temple,3200.00,LAC,SG/SF,GSW,6.93,0.20%
Treveon Graham,3200.00,BKN,SF/PF,PHI,6.84,0.10%
Wilson Chandler,3200.00,LAC,SF/PF,GSW,6.58,0.20%
Torrey Craig,3100.00,DEN,SG/SF,SAS,5.2,0.10%
Jonas Jerebko,3200.00,GSW,SF/PF,LAC,3.32,0.10%
Jared Dudley,3100.00,BKN,SF/PF,PHI,2.92,0.10%
Alfonzo McKinnie,3000.00,GSW,SF/PF,LAC,1.23,0.10%
Jonathon Simmons,3100.00,PHI,SG/SF,BKN,0.69,0.10%
