Player_Name,Salary,Team,Pos,Opp,Proj_FP,pown%
Yogi Ferrell,3100.00,SAC,PG/SG,TOR,22.99,22.10%
Frank Mason,3000.00,SAC,PG/SG,TOR,21.73,7.50%
Bogdan Bogdanovic,5200.00,SAC,SG/SF,TOR,33.65,41.30%
Serge Ibaka,5900.00,TOR,PF/C,SAC,37.22,39.40%
Fred VanVleet,4700.00,TOR,PG/SG,SAC,29.15,22.40%
Kyle Lowry,7600.00,TOR,PG,SAC,46.82,47.30%
Pascal Siakam,6300.00,TOR,PF/C,SAC,37.85,38.20%
DeAndre Jordan,6400.00,DAL,C,LAC,38.27,33.70%
Russell Westbrook,11000.00,OKC,PG,POR,62.52,34.10%
Damian Lillard,8100.00,POR,PG,OKC,45.9,17.30%
Shai Gilgeous-Alexander,4600.00,LAC,PG/SG,DAL,25.99,17.50%
Steven Adams,6200.00,OKC,C,POR,34.93,10.60%
Derrick Rose,6300.00,MIN,PG/SG,PHO,35.36,12.80%
Marvin Bagley III,5000.00,SAC,PF/C,TOR,27.66,12.60%
Dennis Smith Jr.,4500.00,DAL,PG,LAC,24.79,10.60%
Josh Okogie,4200.00,MIN,SG/SF,PHO,23.04,4.60%
Justin Jackson,3500.00,SAC,SF/PF,TOR,18.99,10.20%
Karl-Anthony Towns,10600.00,MIN,C,PHO,57.44,43.80%
Andrew Wiggins,5800.00,MIN,SG/SF,PHO,31.37,11.80%
Jusuf Nurkic,7500.00,POR,C,OKC,40.36,13.10%
C.J. McCollum,6000.00,POR,PG/SG,OKC,31.55,11.50%
Willie Cauley-Stein,6100.00,SAC,C,TOR,32.06,15.40%
Montrezl Harrell,6800.00,LAC,PF/C,DAL,35.63,18.30%
Luka Doncic,8400.00,DAL,PG/SF,LAC,43.65,14.70%
Jerami Grant,5300.00,OKC,PF,POR,27.45,8.10%
Tobias Harris,8000.00,LAC,SF/PF,DAL,40.77,12.10%
Harrison Barnes,5500.00,DAL,SF/PF,LAC,28.02,7.20%
Patrick Beverley,4800.00,LAC,PG/SG,DAL,24.43,7.90%
Paul George,9700.00,OKC,SF/PF,POR,49.25,12.70%
Al-Farouq Aminu,5100.00,POR,SF/PF,OKC,25.9,6.60%
Wesley Matthews,4400.00,DAL,SG/SF,LAC,21.74,5.80%
Dennis Schroder,5400.00,OKC,PG/SG,POR,26.62,7.10%
Jerryd Bayless,3000.00,MIN,PG/SG,PHO,14.52,0.10%
Avery Bradley,4000.00,LAC,SG,DAL,18.99,7.00%
Maurice Harkless,4000.00,POR,SF/PF,OKC,18.58,0.60%
Meyers Leonard,3300.00,POR,PF/C,OKC,15.26,0.50%
Dario Saric,4200.00,MIN,PF,PHO,19.34,6.80%
Danny Green,4800.00,TOR,SG/SF,SAC,21.88,6.50%
Zach Collins,3300.00,POR,PF/C,OKC,14.96,1.30%
Harry Giles,3600.00,SAC,PF/C,TOR,16.21,4.70%
Greg Monroe,3400.00,TOR,C,SAC,15.28,4.40%
Delon Wright,4100.00,TOR,PG/SG,SAC,18.38,5.30%
Dwight Powell,3500.00,DAL,PF/C,LAC,15.57,0.40%
C.J. Miles,3400.00,TOR,SG/SF,SAC,14.92,1.30%
Buddy Hield,6900.00,SAC,SG/SF,TOR,29.51,13.20%
Johnathan Motley,3200.00,LAC,PF/C,DAL,13.68,3.80%
Taj Gibson,4900.00,MIN,PF/C,PHO,20.82,5.80%
Maxi Kleber,4300.00,DAL,PF/C,LAC,17.98,5.00%
Norman Powell,3800.00,TOR,SG/SF,SAC,15.85,4.30%
Ben McLemore,3000.00,SAC,SG/SF,TOR,12.5,3.60%
Nerlens Noel,3300.00,OKC,C,POR,13.73,3.70%
Anthony Tolliver,3400.00,MIN,SF/PF,PHO,13.76,0.30%
Jalen Brunson,3900.00,DAL,PG/SG,LAC,15.58,4.00%
Seth Curry,3200.00,POR,PG/SG,OKC,12.75,0.70%
Evan Turner,4300.00,POR,SG/SF,OKC,17,2.70%
Gorgui Dieng,3200.00,MIN,PF/C,PHO,12.39,0.30%
Lou Williams,6600.00,LAC,PG/SG,DAL,25.15,3.70%
Terrance Ferguson,3700.00,OKC,SG/SF,POR,13.23,0.90%
Tyrone Wallace,3200.00,LAC,SG/SF,DAL,11.2,0.70%
Dorian Finney-Smith,3700.00,DAL,SF/PF,LAC,12.8,0.60%
Marcin Gortat,3400.00,LAC,C,DAL,11.31,2.20%
Dirk Nowitzki,3000.00,DAL,PF/C,LAC,8.58,0.20%
Hamidou Diallo,3000.00,OKC,SG/SF,POR,8.49,0.10%
Patrick Patterson,3200.00,OKC,PF/C,POR,8.88,0.10%
Jake Layman,3600.00,POR,SF/PF,OKC,8.93,0.10%
Sindarius Thornwell,3000.00,LAC,SG/SF,DAL,6.2,0.10%
Abdel Nader,3100.00,OKC,SF,POR,5.81,0.10%
Patrick McCaw,3100.00,TOR,SG/SF,SAC,3.85,0.10%
Chris Boucher,3100.00,TOR,PF/C,SAC,3.66,0.10%
Devin Harris,3000.00,DAL,PG/SG,LAC,1.53,0.10%
