Player_Name,Salary,Team,Pos,Opp,Proj_FP,pown%
Dennis Smith Jr.,3300.00,NYK,PG,HOU,27.83,44.63%
Moe Wagner,3900.00,WAS,PF/C,MIL,27.64,34.83%
Austin Rivers,3000.00,HOU,PG/SG,NYK,20.95,0.11%
Al Horford,4500.00,PHI,PF/C,ATL,31.34,11.97%
Gorgui Dieng,3400.00,MEM,C,LAC,23.25,9.80%
Danuel House Jr.,4200.00,HOU,SF/PF,NYK,28.69,1.52%
Robin Lopez,3000.00,MIL,C,WAS,19.38,5.44%
Josh Richardson,4800.00,PHI,SG,ATL,30.86,35.92%
James Harden,11000.00,HOU,PG/SG,NYK,70.53,18.14%
Josh Jackson,3300.00,MEM,SF/PF,LAC,21.09,5.44%
Isaac Bonga,3100.00,WAS,SF/PF,MIL,19.8,2.18%
Kelly Olynyk,3700.00,MIA,PF/C,CLE,23.55,9.80%
Eric Gordon,3700.00,HOU,SG/SF,NYK,22.87,9.80%
Brandon Clarke,5500.00,MEM,PF/C,LAC,33.24,24.55%
De'Anthony Melton,3900.00,MEM,PG/SG,LAC,23.48,14.15%
Taurean Prince,4400.00,BKN,PF,ORL,25.91,6.53%
Luka Doncic,10500.00,DAL,PG,MIN,61.72,37.35%
George Hill,3000.00,MIL,PG,WAS,17.64,8.71%
Patrick Beverley,4000.00,LAC,PG,MEM,23.5,7.62%
Joe Harris,4600.00,BKN,SG/SF,ORL,26.99,13.06%
Joel Embiid,9500.00,PHI,C,ATL,55.23,38.42%
Ben McLemore,3100.00,HOU,SG/SF,NYK,17.99,0.11%
Dillon Brooks,4800.00,MEM,SG/SF,LAC,27.7,10.89%
Troy Brown Jr.,4400.00,WAS,SF,MIL,24.94,14.15%
Naz Reid,5800.00,MIN,PF/C,DAL,32.79,16.01%
Jerome Robinson,3000.00,WAS,SG/SF,MIL,16.71,0.11%
Robert Covington,6000.00,HOU,SF/PF,NYK,33.44,16.01%
P.J. Tucker,3800.00,HOU,C,NYK,21.08,5.44%
Mohamed Bamba,3200.00,ORL,C,BKN,17.68,1.09%
Andre Iguodala,3500.00,MIA,SG/SF,CLE,19.36,5.44%
Mike Conley,5300.00,UTA,PG,PHO,29.13,9.60%
Julius Randle,8200.00,NYK,PF/C,HOU,45.11,16.01%
Rudy Gobert,7900.00,UTA,C,PHO,43.37,14.94%
Wilson Chandler,3100.00,BKN,PF,ORL,16.92,1.09%
Garrett Temple,4100.00,BKN,PG/SG,ORL,22.35,5.44%
Duncan Robinson,5000.00,MIA,SG/SF,CLE,27.07,13.87%
Kevin Porter Jr.,4200.00,CLE,SG/SF,MIA,22.69,1.09%
Darius Garland,4400.00,CLE,PG,MIA,23.66,3.27%
Derrick Jones Jr.,4100.00,MIA,SF/PF,CLE,22.07,7.62%
Kendrick Nunn,5600.00,MIA,PG/SG,CLE,30.07,8.54%
Joe Ingles,4700.00,UTA,SG/SF,PHO,25.24,8.71%
Malik Beasley,6000.00,MIN,SG,DAL,32.23,8.54%
Marvin Williams,3100.00,MIL,PF,WAS,16.56,3.27%
Ish Smith,5000.00,WAS,PG,MIL,26.53,6.40%
Jarrett Allen,4800.00,BKN,C,ORL,25.46,3.27%
Jeff Teague,3500.00,ATL,PG/SG,PHI,18.52,1.09%
Spencer Dinwiddie,7700.00,BKN,PG/SG,ORL,40.65,14.94%
Jeff Green,3100.00,HOU,PF/C,NYK,16.35,0.11%
Shake Milton,3600.00,PHI,PG/SG,ATL,18.93,1.09%
Nikola Vucevic,9100.00,ORL,C,BKN,47.9,11.74%
Giannis Antetokounmpo,11400.00,MIL,PF,WAS,59.98,21.34%
James Ennis III,3000.00,ORL,SF/PF,BKN,15.71,5.44%
Bam Adebayo,8500.00,MIA,C,CLE,44.39,5.34%
Montrezl Harrell,5400.00,LAC,C,MEM,28.15,4.27%
Donovan Mitchell,7500.00,UTA,PG/SG,PHO,38.98,8.54%
Goran Dragic,6000.00,MIA,PG,CLE,31.2,4.27%
Tobias Harris,7100.00,PHI,SF/PF,ATL,36.86,13.87%
Dewayne Dedmon,4800.00,ATL,C,PHI,24.81,1.09%
Ian Mahinmi,3600.00,WAS,C,MIL,18.62,0.11%
Kristaps Porzingis,8100.00,DAL,C,MIN,41.74,9.60%
Ersan Ilyasova,3500.00,MIL,PF/C,WAS,18,1.09%
Rui Hachimura,5700.00,WAS,PF/C,MIL,29.3,8.00%
D.J. Augustin,3600.00,ORL,PG,BKN,18.38,0.11%
Bradley Beal,9400.00,WAS,SG,MIL,47.8,14.94%
Wesley Matthews,3400.00,MIL,SG,WAS,17.17,3.27%
Kawhi Leonard,9700.00,LAC,SF,MEM,48.57,13.66%
Jarrett Culver,3500.00,MIN,PG/SF,DAL,17.47,2.18%
Delon Wright,4300.00,DAL,PG/SG,MIN,21.47,2.18%
Mitchell Robinson,4700.00,NYK,C,HOU,23.46,1.09%
Ja Morant,6800.00,MEM,PG,LAC,33.88,7.47%
RJ Barrett,5200.00,NYK,PG/SG,HOU,25.91,3.20%
Bojan Bogdanovic,6200.00,UTA,SF/PF,PHO,30.8,6.40%
Maurice Harkless,3100.00,NYK,SF/PF,HOU,15.39,0.11%
Jonas Valanciunas,6900.00,MEM,C,LAC,34,3.20%
D'Angelo Russell,8700.00,MIN,PG,DAL,42.7,4.27%
Shabazz Napier,3900.00,WAS,PG/SG,MIL,19.14,1.09%
Jae Crowder,5100.00,MIA,SF/PF,CLE,25,0.11%
Khris Middleton,8300.00,MIL,SF,WAS,40.39,7.47%
Kevin Huerter,5500.00,ATL,SG/SF,PHI,26.64,2.13%
Evan Fournier,5900.00,ORL,SG/SF,BKN,28.5,1.07%
Caris LeVert,7300.00,BKN,PG/SF,ORL,35.19,3.20%
Collin Sexton,6500.00,CLE,PG/SG,MIA,31.25,4.27%
Damyean Dotson,3000.00,NYK,SG/SF,HOU,14.42,1.09%
Marcus Morris,4900.00,LAC,SF/PF,MEM,23.55,0.11%
Josh Okogie,4300.00,MIN,SG/SF,DAL,20.65,0.11%
Paul George,7800.00,LAC,SF,MEM,36.95,1.07%
Juancho Hernangomez,5200.00,MIN,SF/PF,DAL,24.66,1.92%
DeAndre Jordan,5400.00,BKN,C,ORL,25.52,0.53%
Kyle Anderson,4500.00,MEM,SG/SF,LAC,21.25,0.11%
Alec Burks,4900.00,PHI,PG/SG,ATL,23.13,2.18%
Tyus Jones,3400.00,MEM,PG,LAC,15.82,0.11%
Terrence Ross,5000.00,ORL,SG/SF,BKN,23.13,1.07%
Trae Young,10600.00,ATL,PG,PHI,49.12,5.34%
Andre Drummond,8100.00,CLE,C,MIA,37.32,4.27%
Ivica Zubac,4300.00,LAC,C,MEM,19.83,0.33%
Lou Williams,6300.00,LAC,PG/SG,MEM,28.99,1.07%
Royce O'Neale,3400.00,UTA,SF,PHO,15.62,0.11%
Kevin Knox,3000.00,NYK,SF/PF,HOU,13.76,1.09%
Eric Bledsoe,7200.00,MIL,PG,WAS,32.69,1.07%
John Collins,8800.00,ATL,PF,PHI,39.96,2.13%
Taj Gibson,3100.00,NYK,C,HOU,14.06,0.11%
Kelan Martin,3000.00,MIN,PF,DAL,13.58,1.09%
Reggie Bullock,3800.00,NYK,SF,HOU,17.16,1.09%
Jordan Clarkson,5700.00,UTA,PG/SG,PHO,25.66,2.13%
Kevin Love,7100.00,CLE,PF,MIA,31.73,1.07%
