Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
24,1511881739,BrandonOSports,0,70,P Blake Snell P Robbie Ray 3B Eduardo Escobar 1B Kevin Cron OF Brian Anderson C Blake Swihart OF Harold Ram?rez OF Garrett Cooper SS Miguel Rojas 2B Starlin Castro,,Nolan Arenado,3B,12.50%,7
25,1511930775,manudfs,3,68.4,P Blake Snell P John Means OF Ronald Acu?a Jr. OF Marcell Ozuna OF Alex Gordon 3B Matt Carpenter 2B David Bote 1B Ryan O'Hearn SS Addison Russell C Will Smith,,Addison Russell,SS,12.50%,0
26,1511901116,Rushia,0,67.95,P Walker Buehler P Pablo L?pez 1B Freddie Freeman OF Ronald Acu?a Jr. SS Dansby Swanson 3B Josh Donaldson OF Nick Markakis 2B Nicky Lopez OF Billy Hamilton C Mart?n Maldonado,,Freddie Freeman,1B,12.50%,0
27,1511899688,Mel2589,0,65.75,P Robbie Ray P Ryan Carpenter 1B Anthony Rizzo OF Kris Bryant SS Javier B?ez 3B Alex Bregman OF Michael Brantley 2B Ronny Rodr?guez C James McCann OF Tony Kemp,,Austin Riley,3B,12.50%,23
28,1511881365,SSchus87,0,65.2,P Blake Snell P Pablo L?pez SS Eduardo Escobar 1B Trey Mancini 2B Hanser Alberto OF Keon Broxton OF Derek Fisher 3B Brian Anderson OF Josh Reddick C Danny Jansen,,Jorge Alfaro,C,9.38%,16
29,1511894143,slater1233,0,55.6,P Kevin Gausman P Reynaldo L?pez OF Kris Bryant OF Tim Locastro SS Javier B?ez 3B Austin Riley 1B Kevin Cron 2B C?sar Hern?ndez OF Nick Markakis C Blake Swihart,,Harold Ram?rez,OF,9.38%,5
30,1511918351,Elway1998,0,53.85,P Robbie Ray P Wade Miley OF Ronald Acu?a Jr. 3B Yo?n Moncada OF Dwight Smith Jr. SS Ronny Rodr?guez OF Nick Markakis 2B David Bote C Robinson Chirinos 1B Yuli Gurriel,,Lourdes Gurriel Jr.,2B,9.38%,21
31,1511922216,CWhitehead,3,44.7,P Walker Buehler P Kevin Gausman 1B Freddie Freeman OF Ronald Acu?a Jr. 3B Austin Riley 2B Joe Panik C Robinson Chirinos SS Willy Adames OF Tony Kemp OF Matt Beaty,,Raimel Tapia,OF,9.38%,5
32,1511916630,IndyGlen,0,0,,,Kevin Cron,1B,9.38%,12
,,,,,,,Ian Desmond,OF,9.38%,9
,,,,,,,Trey Mancini,1B,9.38%,4
,,,,,,,Renato N??ez,1B,9.38%,12
,,,,,,,Buster Posey,C,9.38%,7
,,,,,,,Whit Merrifield,OF,9.38%,13
,,,,,,,Niko Goodrum,1B,9.38%,5
,,,,,,,Joe Panik,2B,9.38%,3
,,,,,,,Josh Donaldson,3B,9.38%,0
,,,,,,,Trevor Story,SS,9.38%,16
,,,,,,,Kevin Gausman,P,9.38%,-17.75
,,,,,,,Kris Bryant,OF,9.38%,14
,,,,,,,Nick Markakis,OF,9.38%,0
,,,,,,,Anthony Rizzo,1B,9.38%,3
,,,,,,,Bryce Harper,OF,9.38%,30
,,,,,,,Corey Seager,SS,6.25%,12
,,,,,,,JaCoby Jones,OF,6.25%,3
,,,,,,,Yo?n Moncada,3B,6.25%,16
,,,,,,,Leury Garc?a,2B,6.25%,13
,,,,,,,Eloy Jim?nez,OF,6.25%,5
,,,,,,,Ildemaro Vargas,2B,6.25%,12
,,,,,,,Matt Beaty,OF,6.25%,17
,,,,,,,Derek Fisher,OF,6.25%,0
,,,,,,,Brian Anderson,3B,6.25%,5
,,,,,,,Josh Reddick,OF,6.25%,2
,,,,,,,Danny Jansen,C,6.25%,4
,,,,,,,Blake Swihart,C,6.25%,7
,,,,,,,Miguel Rojas,SS,6.25%,5
,,,,,,,Howie Kendrick,3B,6.25%,20
,,,,,,,Andrew McCutchen,OF,6.25%,28
,,,,,,,Hunter Dozier,3B,6.25%,10
,,,,,,,Glenn Sparkman,P,6.25%,-8.15
,,,,,,,Ryan Carpenter,P,6.25%,8.45
,,,,,,,Juan Soto,OF,6.25%,29
,,,,,,,Tyler Flowers,C,6.25%,0
,,,,,,,Paul Goldschmidt,1B,6.25%,5
,,,,,,,Jorge Soler,OF,6.25%,21
,,,,,,,Nicky Lopez,2B,6.25%,19
,,,,,,,Avisa?l Garc?a,OF,6.25%,11
,,,,,,,Mart?n Maldonado,C,6.25%,5
,,,,,,,Austin Meadows,OF,6.25%,14
,,,,,,,Willy Adames,SS,6.25%,7
,,,,,,,Mart?n Prado,3B,6.25%,0
,,,,,,,Ronny Rodr?guez,2B,6.25%,0
,,,,,,,Tony Kemp,OF,6.25%,2
,,,,,,,David Bote,2B,6.25%,3
,,,,,,,Marcell Ozuna,OF,6.25%,12
,,,,,,,Victor Robles,OF,3.13%,7
,,,,,,,Yonder Alonso,1B,3.13%,0
,,,,,,,Noah Syndergaard,P,3.13%,12.1
,,,,,,,Todd Frazier,3B,3.13%,12
,,,,,,,Yolmer S?nchez,2B,3.13%,8
,,,,,,,Adalberto Mondesi,SS,3.13%,0
,,,,,,,Brandon Dixon,1B,3.13%,16
,,,,,,,Ketel Marte,OF,3.13%,0
,,,,,,,Anthony Rendon,3B,3.13%,19
,,,,,,,Joc Pederson,OF,3.13%,0
,,,,,,,Yadier Molina,C,3.13%,0
,,,,,,,Jonathan Villar,2B,3.13%,2
,,,,,,,Kyle Schwarber,OF,3.13%,16
,,,,,,,Eric Sogard,SS,3.13%,13
,,,,,,,Ozzie Albies,2B,3.13%,3
,,,,,,,Adam Eaton,OF,3.13%,15
,,,,,,,Nicholas Castellanos,OF,3.13%,11
,,,,,,,Alex Verdugo,OF,3.13%,7
,,,,,,,Mark Reynolds,1B,3.13%,6
,,,,,,,Austin Dean,OF,3.13%,5
,,,,,,,Tim Locastro,OF,3.13%,0
,,,,,,,C?sar Hern?ndez,2B,3.13%,12
,,,,,,,Kyle Hendricks,P,3.13%,29.8
,,,,,,,Randal Grichuk,OF,3.13%,4
,,,,,,,Brandon Crawford,SS,3.13%,5
,,,,,,,Dansby Swanson,SS,3.13%,0
,,,,,,,Billy Hamilton,OF,3.13%,17
,,,,,,,Chris Iannetta,C,3.13%,0
,,,,,,,Adam Jones,OF,3.13%,14
,,,,,,,Ji-Man Choi,1B,3.13%,5
,,,,,,,Brandon Drury,2B,3.13%,8
,,,,,,,DJ Stewart,OF,3.13%,0
,,,,,,,Austin Wynns,C,3.13%,2
,,,,,,,Richie Martin,SS,3.13%,7
,,,,,,,Brendan Rodgers,2B,3.13%,11
,,,,,,,Brandon Belt,1B,3.13%,21
,,,,,,,Tommy Pham,OF,3.13%,13
,,,,,,,Carson Kelly,C,3.13%,22
,,,,,,,Amed Rosario,SS,3.13%,0
,,,,,,,Dwight Smith Jr.,OF,3.13%,0
,,,,,,,Max Muncy,2B,3.13%,7
,,,,,,,Pablo Sandoval,1B,3.13%,3
,,,,,,,Kevin Kiermaier,OF,3.13%,16
,,,,,,,Trent Thornton,P,3.13%,8.5
,,,,,,,Nick Ahmed,SS,3.13%,3
,,,,,,,Rhys Hoskins,1B,3.13%,8
,,,,,,,Kevin Pillar,OF,3.13%,0
,,,,,,,Freddy Galvis,SS,3.13%,5
,,,,,,,Matt Carpenter,3B,3.13%,2
,,,,,,,Ryan O'Hearn,1B,3.13%,5
