QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Justin Herbert,Dalvin Cook,Melvin Gordon,Denzel Mims,Amari Cooper,Justin Jefferson,Hunter Henry,Keenan Allen,Denver Broncos
