Minimum Place,Payout
1,100
2,75
3,50
4,35
6,25
6,20
8,15
10,10
13,8
16,6
20,5
25,4
30,3
40,2
55,1.50
90,1
180,0.75
405,0.5
920,0.4
2255,0.3
5675,0.2
23781,0
