C,C,W,W,W,D,D,G,UTIL,,Instructions,,,,,,,,
,,,,,,,,,,G,Sergei Bobrovsky (16262335),Sergei Bobrovsky,16262335,G,8000,FLA@CLS 01/28/2021 07:00PM ET,FLA,11.6
,,,,,,,,,,G,Chris Driedger (16262369),Chris Driedger,16262369,G,8000,FLA@CLS 01/28/2021 07:00PM ET,FLA,18.6
,,,,,,,,,,RW,David Pastrnak (16260626),David Pastrnak,16260626,W/UTIL,7900,PIT@BOS 01/28/2021 07:00PM ET,BOS,0
,,,,,,,,,,G,Tuukka Rask (16262337),Tuukka Rask,16262337,G,7900,PIT@BOS 01/28/2021 07:00PM ET,BOS,11.68
,,,,,,,,,,G,Jaroslav Halak (16262370),Jaroslav Halak,16262370,G,7900,PIT@BOS 01/28/2021 07:00PM ET,BOS,14.5
,,,,,,,,,,G,Joonas Korpisalo (16262336),Joonas Korpisalo,16262336,G,7900,FLA@CLS 01/28/2021 07:00PM ET,CLS,18.32
,,,,,,,,,,G,John Gibson (16262338),John Gibson,16262338,G,7900,ANH@ARI 01/28/2021 09:00PM ET,ANH,20.28
,,,,,,,,,,C,Jack Eichel (16260120),Jack Eichel,16260120,C/UTIL,7800,NYR@BUF 01/28/2021 07:00PM ET,BUF,14.4
,,,,,,,,,,G,Linus Ullmark (16262340),Linus Ullmark,16262340,G,7800,NYR@BUF 01/28/2021 07:00PM ET,BUF,12.95
,,,,,,,,,,G,Carter Hutton (16262373),Carter Hutton,16262373,G,7800,NYR@BUF 01/28/2021 07:00PM ET,BUF,8.3
,,,,,,,,,,G,Carter Hart (16262339),Carter Hart,16262339,G,7800,PHI@NJ 01/28/2021 07:00PM ET,PHI,9.56
,,,,,,,,,,G,Brian Elliott (16262372),Brian Elliott,16262372,G,7800,PHI@NJ 01/28/2021 07:00PM ET,PHI,18.23
,,,,,,,,,,G,Craig Anderson (16262371),Craig Anderson,16262371,G,7800,NYI@WAS 01/28/2021 07:00PM ET,WAS,0
,,,,,,,,,,G,Elvis Merzlikins (16262374),Elvis Merzlikins,16262374,G,7700,FLA@CLS 01/28/2021 07:00PM ET,CLS,10.13
,,,,,,,,,,G,Ryan Miller (16262375),Ryan Miller,16262375,G,7700,ANH@ARI 01/28/2021 09:00PM ET,ANH,9.8
,,,,,,,,,,LW,Matthew Tkachuk (16260628),Matthew Tkachuk,16260628,W/UTIL,7700,CGY@MON 01/28/2021 07:00PM ET,CGY,15.96
,,,,,,,,,,G,Frederik Andersen (16262341),Frederik Andersen,16262341,G,7700,TOR@EDM 01/28/2021 10:00PM ET,TOR,11.95
,,,,,,,,,,G,Jack Campbell (16262376),Jack Campbell,16262376,G,7700,TOR@EDM 01/28/2021 10:00PM ET,TOR,15.8
,,,,,,,,,,LW,Taylor Hall (16260630),Taylor Hall,16260630,W/UTIL,7600,NYR@BUF 01/28/2021 07:00PM ET,BUF,11.53
,,,,,,,,,,G,Igor Shesterkin (16262342),Igor Shesterkin,16262342,G,7600,NYR@BUF 01/28/2021 07:00PM ET,NYR,5.4
,,,,,,,,,,G,Alexandar Georgiev (16262377),Alexandar Georgiev,16262377,G,7600,NYR@BUF 01/28/2021 07:00PM ET,NYR,9.17
,,,,,,,,,,G,Semyon Varlamov (16262343),Semyon Varlamov,16262343,G,7500,NYI@WAS 01/28/2021 07:00PM ET,NYI,23.12
,,,,,,,,,,C,Leon Draisaitl (16260122),Leon Draisaitl,16260122,C/UTIL,7500,TOR@EDM 01/28/2021 10:00PM ET,EDM,14.59
,,,,,,,,,,LW,Ryan Nugent-Hopkins (16260632),Ryan Nugent-Hopkins,16260632,W/UTIL,7500,TOR@EDM 01/28/2021 10:00PM ET,EDM,13.36
,,,,,,,,,,G,Michael Hutchinson (16262378),Michael Hutchinson,16262378,G,7500,TOR@EDM 01/28/2021 10:00PM ET,TOR,0
,,,,,,,,,,G,MacKenzie Blackwood (16262344),MacKenzie Blackwood,16262344,G,7400,PHI@NJ 01/28/2021 07:00PM ET,NJ,25.1
,,,,,,,,,,C,Joe Pavelski (16260124),Joe Pavelski,16260124,C/UTIL,7400,DET@DAL 01/28/2021 08:30PM ET,DAL,23.27
,,,,,,,,,,G,Ilya Sorokin (16262379),Ilya Sorokin,16262379,G,7300,NYI@WAS 01/28/2021 07:00PM ET,NYI,4.9
,,,,,,,,,,G,Jordan Binnington (16262345),Jordan Binnington,16262345,G,7300,Postponed,STL,15.6
,,,,,,,,,,G,Jacob Markstrom (16262346),Jacob Markstrom,16262346,G,7300,CGY@MON 01/28/2021 07:00PM ET,CGY,13.12
,,,,,,,,,,RW,Mitchell Marner (16260634),Mitchell Marner,16260634,W/UTIL,7300,TOR@EDM 01/28/2021 10:00PM ET,TOR,13.39
,,,,,,,,,,G,Scott Wedgewood (16262380),Scott Wedgewood,16262380,G,7200,PHI@NJ 01/28/2021 07:00PM ET,NJ,13.83
,,,,,,,,,,G,Jonathan Quick (16262347),Jonathan Quick,16262347,G,7200,LA@MIN 01/28/2021 08:00PM ET,LA,13.5
,,,,,,,,,,G,Calvin Petersen (16262381),Calvin Petersen,16262381,G,7200,LA@MIN 01/28/2021 08:00PM ET,LA,12.27
,,,,,,,,,,LW,Gabriel Landeskog (16260636),Gabriel Landeskog,16260636,W/UTIL,7200,SJ@COL 01/28/2021 09:00PM ET,COL,11.89
,,,,,,,,,,G,Tristan Jarry (16262349),Tristan Jarry,16262349,G,7100,PIT@BOS 01/28/2021 07:00PM ET,PIT,6.58
,,,,,,,,,,G,Casey DeSmith (16262384),Casey DeSmith,16262384,G,7100,PIT@BOS 01/28/2021 07:00PM ET,PIT,9.6
,,,,,,,,,,C,Brayden Point (16260126),Brayden Point,16260126,C/UTIL,7100,TB@CAR 01/28/2021 07:00PM ET,TB,15.4
,,,,,,,,,,LW,Max Pacioretty (16260638),Max Pacioretty,16260638,W/UTIL,7100,Postponed,VGK,17.8
,,,,,,,,,,G,Ville Husso (16262382),Ville Husso,16262382,G,7100,Postponed,STL,-2.1
,,,,,,,,,,G,David Rittich (16262383),David Rittich,16262383,G,7100,CGY@MON 01/28/2021 07:00PM ET,CGY,0
,,,,,,,,,,G,Mikko Koskinen (16262348),Mikko Koskinen,16262348,G,7100,TOR@EDM 01/28/2021 10:00PM ET,EDM,12.99
,,,,,,,,,,G,Eric Comrie (16262386),Eric Comrie,16262386,G,7000,PHI@NJ 01/28/2021 07:00PM ET,NJ,0
,,,,,,,,,,D,Victor Hedman (16261566),Victor Hedman,16261566,D/UTIL,7000,TB@CAR 01/28/2021 07:00PM ET,TB,14.98
,,,,,,,,,,G,Petr Mrazek (16262350),Petr Mrazek,16262350,G,7000,TB@CAR 01/28/2021 07:00PM ET,CAR,10.6
,,,,,,,,,,G,James Reimer (16262385),James Reimer,16262385,G,7000,TB@CAR 01/28/2021 07:00PM ET,CAR,20.7
,,,,,,,,,,LW,Brady Tkachuk (16260640),Brady Tkachuk,16260640,W/UTIL,7000,OTT@VAN 01/28/2021 10:00PM ET,OTT,13.33
,,,,,,,,,,D,John Carlson (16261568),John Carlson,16261568,D/UTIL,6900,NYI@WAS 01/28/2021 07:00PM ET,WAS,13.7
,,,,,,,,,,G,Stuart Skinner (16262387),Stuart Skinner,16262387,G,6900,TOR@EDM 01/28/2021 10:00PM ET,EDM,0
,,,,,,,,,,C,Bo Horvat (16260128),Bo Horvat,16260128,C/UTIL,6900,OTT@VAN 01/28/2021 10:00PM ET,VAN,12.41
,,,,,,,,,,G,Matt Murray (16262351),Matt Murray,16262351,G,6900,OTT@VAN 01/28/2021 10:00PM ET,OTT,5.84
,,,,,,,,,,G,Marcus Hogberg (16262388),Marcus Hogberg,16262388,G,6900,OTT@VAN 01/28/2021 10:00PM ET,OTT,3.5
,,,,,,,,,,C,Mika Zibanejad (16260130),Mika Zibanejad,16260130,C/UTIL,6800,NYR@BUF 01/28/2021 07:00PM ET,NYR,7.97
,,,,,,,,,,LW,Artemi Panarin (16260642),Artemi Panarin,16260642,W/UTIL,6800,NYR@BUF 01/28/2021 07:00PM ET,NYR,10.17
,,,,,,,,,,G,Thomas Greiss (16262352),Thomas Greiss,16262352,G,6800,DET@DAL 01/28/2021 08:30PM ET,DET,11.75
,,,,,,,,,,G,Jonathan Bernier (16262389),Jonathan Bernier,16262389,G,6800,DET@DAL 01/28/2021 08:30PM ET,DET,11
,,,,,,,,,,D,Shea Theodore (16261570),Shea Theodore,16261570,D/UTIL,6800,Postponed,VGK,15.91
,,,,,,,,,,C,Aleksander Barkov (16260132),Aleksander Barkov,16260132,C/UTIL,6700,FLA@CLS 01/28/2021 07:00PM ET,FLA,18.27
,,,,,,,,,,RW,Alexander Radulov (16260644),Alexander Radulov,16260644,W/UTIL,6700,DET@DAL 01/28/2021 08:30PM ET,DAL,11.7
,,,,,,,,,,D,Brent Burns (16261572),Brent Burns,16261572,D/UTIL,6700,SJ@COL 01/28/2021 09:00PM ET,SJ,11.74
,,,,,,,,,,G,Martin Jones (16262353),Martin Jones,16262353,G,6700,SJ@COL 01/28/2021 09:00PM ET,SJ,7.8
,,,,,,,,,,G,Devan Dubnyk (16262390),Devan Dubnyk,16262390,G,6700,SJ@COL 01/28/2021 09:00PM ET,SJ,5.42
,,,,,,,,,,C,Sidney Crosby (16260134),Sidney Crosby,16260134,C/UTIL,6600,PIT@BOS 01/28/2021 07:00PM ET,PIT,12.36
,,,,,,,,,,RW,Patrik Laine (16260646),Patrik Laine,16260646,W/UTIL,6600,FLA@CLS 01/28/2021 07:00PM ET,CLS,30.8
,,,,,,,,,,D,Alex Pietrangelo (16261574),Alex Pietrangelo,16261574,D/UTIL,6600,Postponed,VGK,12.7
,,,,,,,,,,G,Callum Booth (16262392),Callum Booth,16262392,G,6500,PIT@BOS 01/28/2021 07:00PM ET,BOS,0
,,,,,,,,,,G,Maxime Lagace (16262402),Maxime Lagace,16262402,G,6500,PIT@BOS 01/28/2021 07:00PM ET,PIT,0
,,,,,,,,,,G,Alex D'Orio (16262412),Alex D'Orio,16262412,G,6500,PIT@BOS 01/28/2021 07:00PM ET,PIT,0
,,,,,,,,,,G,Jeremy Swayman (16262422),Jeremy Swayman,16262422,G,6500,PIT@BOS 01/28/2021 07:00PM ET,BOS,0
,,,,,,,,,,G,Dan Vladar (16262423),Dan Vladar,16262423,G,6500,PIT@BOS 01/28/2021 07:00PM ET,BOS,0
,,,,,,,,,,G,Emil Larmi (16262445),Emil Larmi,16262445,G,6500,PIT@BOS 01/28/2021 07:00PM ET,PIT,0
,,,,,,,,,,G,Keith Kinkaid (16262403),Keith Kinkaid,16262403,G,6500,NYR@BUF 01/28/2021 07:00PM ET,NYR,0
,,,,,,,,,,G,Jonas Johansson (16262405),Jonas Johansson,16262405,G,6500,NYR@BUF 01/28/2021 07:00PM ET,BUF,2.1
,,,,,,,,,,G,Adam Huska (16262446),Adam Huska,16262446,G,6500,NYR@BUF 01/28/2021 07:00PM ET,NYR,0
,,,,,,,,,,G,J-F Berube (16262447),J-F Berube,16262447,G,6500,NYR@BUF 01/28/2021 07:00PM ET,NYR,0
,,,,,,,,,,G,Alex Lyon (16262397),Alex Lyon,16262397,G,6500,PHI@NJ 01/28/2021 07:00PM ET,PHI,0
,,,,,,,,,,G,Aaron Dell (16262409),Aaron Dell,16262409,G,6500,PHI@NJ 01/28/2021 07:00PM ET,NJ,0
,,,,,,,,,,G,Evan Cormier (16262429),Evan Cormier,16262429,G,6500,PHI@NJ 01/28/2021 07:00PM ET,NJ,0
,,,,,,,,,,G,Gilles Senn (16262430),Gilles Senn,16262430,G,6500,PHI@NJ 01/28/2021 07:00PM ET,NJ,0
,,,,,,,,,,G,Kirill Ustimenko (16262435),Kirill Ustimenko,16262435,G,6500,PHI@NJ 01/28/2021 07:00PM ET,PHI,0
,,,,,,,,,,G,Felix Sandstrom (16262436),Felix Sandstrom,16262436,G,6500,PHI@NJ 01/28/2021 07:00PM ET,PHI,0
,,,,,,,,,,G,Zane McIntyre (16262437),Zane McIntyre,16262437,G,6500,PHI@NJ 01/28/2021 07:00PM ET,PHI,0
,,,,,,,,,,G,Roddy Ross (16262438),Roddy Ross,16262438,G,6500,PHI@NJ 01/28/2021 07:00PM ET,PHI,0
,,,,,,,,,,G,Pheonix Copley (16262394),Pheonix Copley,16262394,G,6500,NYI@WAS 01/28/2021 07:00PM ET,WAS,0
,,,,,,,,,,G,Cory Schneider (16262399),Cory Schneider,16262399,G,6500,NYI@WAS 01/28/2021 07:00PM ET,NYI,0
,,,,,,,,,,G,Zach Fucale (16262408),Zach Fucale,16262408,G,6500,NYI@WAS 01/28/2021 07:00PM ET,WAS,0
,,,,,,,,,,G,Henrik Lundqvist (16262417),Henrik Lundqvist,16262417,G,6500,NYI@WAS 01/28/2021 07:00PM ET,WAS,0
,,,,,,,,,,G,Jakub Skarek (16262442),Jakub Skarek,16262442,G,6500,NYI@WAS 01/28/2021 07:00PM ET,NYI,0
,,,,,,,,,,G,Alex Nedeljkovic (16262398),Alex Nedeljkovic,16262398,G,6500,TB@CAR 01/28/2021 07:00PM ET,CAR,0
,,,,,,,,,,G,Spencer Martin (16262410),Spencer Martin,16262410,G,6500,TB@CAR 01/28/2021 07:00PM ET,TB,0
,,,,,,,,,,G,Anders Nilsson (16262415),Anders Nilsson,16262415,G,6500,TB@CAR 01/28/2021 07:00PM ET,TB,0
,,,,,,,,,,G,Jeremy Helvig (16262440),Jeremy Helvig,16262440,G,6500,TB@CAR 01/28/2021 07:00PM ET,CAR,0
,,,,,,,,,,G,Antoine Bibeau (16262441),Antoine Bibeau,16262441,G,6500,TB@CAR 01/28/2021 07:00PM ET,CAR,0
,,,,,,,,,,G,Mike Condon (16262443),Mike Condon,16262443,G,6500,TB@CAR 01/28/2021 07:00PM ET,TB,0
,,,,,,,,,,LW,Jonathan Huberdeau (16260648),Jonathan Huberdeau,16260648,W/UTIL,6500,FLA@CLS 01/28/2021 07:00PM ET,FLA,10.83
,,,,,,,,,,G,Philippe Desrosiers (16262401),Philippe Desrosiers,16262401,G,6500,FLA@CLS 01/28/2021 07:00PM ET,FLA,0
,,,,,,,,,,G,Veini Vehvilainen (16262418),Veini Vehvilainen,16262418,G,6500,FLA@CLS 01/28/2021 07:00PM ET,CLS,0
,,,,,,,,,,G,Matiss Kivlenieks (16262419),Matiss Kivlenieks,16262419,G,6500,FLA@CLS 01/28/2021 07:00PM ET,CLS,0
,,,,,,,,,,G,Cam Johnson (16262420),Cam Johnson,16262420,G,6500,FLA@CLS 01/28/2021 07:00PM ET,CLS,0
,,,,,,,,,,G,Sam Montembeault (16262444),Sam Montembeault,16262444,G,6500,FLA@CLS 01/28/2021 07:00PM ET,FLA,0
,,,,,,,,,,C,Dylan Larkin (16260136),Dylan Larkin,16260136,C/UTIL,6500,DET@DAL 01/28/2021 08:30PM ET,DET,11.97
,,,,,,,,,,G,Calvin Pickard (16262404),Calvin Pickard,16262404,G,6500,DET@DAL 01/28/2021 08:30PM ET,DET,0
,,,,,,,,,,G,Ben Bishop (16262413),Ben Bishop,16262413,G,6500,DET@DAL 01/28/2021 08:30PM ET,DAL,0
,,,,,,,,,,G,Jimmy Howard (16262448),Jimmy Howard,16262448,G,6500,DET@DAL 01/28/2021 08:30PM ET,DET,0
,,,,,,,,,,G,Pat Nagle (16262449),Pat Nagle,16262449,G,6500,DET@DAL 01/28/2021 08:30PM ET,DET,0
,,,,,,,,,,G,Kevin Boyle (16262450),Kevin Boyle,16262450,G,6500,DET@DAL 01/28/2021 08:30PM ET,DET,0
,,,,,,,,,,G,Kaden Fulcher (16262451),Kaden Fulcher,16262451,G,6500,DET@DAL 01/28/2021 08:30PM ET,DET,0
,,,,,,,,,,G,Alex Stalock (16262414),Alex Stalock,16262414,G,6500,LA@MIN 01/28/2021 08:00PM ET,MIN,0
,,,,,,,,,,G,Alexei Melnichuk (16262406),Alexei Melnichuk,16262406,G,6500,SJ@COL 01/28/2021 09:00PM ET,SJ,0
,,,,,,,,,,G,Adam Werner (16262407),Adam Werner,16262407,G,6500,SJ@COL 01/28/2021 09:00PM ET,COL,0
,,,,,,,,,,G,Josef Korenar (16262453),Josef Korenar,16262453,G,6500,SJ@COL 01/28/2021 09:00PM ET,SJ,0
