PG,SG,SF,PF,C,G,F,UTIL
Damyean Dotson,Devin Booker,Marcus Morris,KZ Okpala,Daniel Theis,Patty Mills,Ben Simmons,Kevin Huerter
Payton Pritchard,Tyrese Haliburton,Cedi Osman,Marcus Morris,DeMarcus Cousins,Trey Burke,Ben Simmons,Kevin Huerter
Jeff Teague,Devin Booker,Ben Simmons,Cedi Osman,Precious Achiuwa,Jeremy Lamb,Kevin Huerter,Luke Kennard
Kendrick Nunn,Jeremy Lamb,Ben Simmons,Chris Boucher,DeMarcus Cousins,Patty Mills,Kevin Huerter,Jarrett Allen
Trey Burke,Devin Booker,Buddy Hield,Daniel Theis,Dwight Howard,Kevin Huerter,Luke Kennard,Jarrett Allen
Payton Pritchard,Devin Booker,Cedi Osman,Chris Boucher,Khem Birch,Patty Mills,Kevin Huerter,Dwight Howard
Damyean Dotson,Trey Burke,Timothe Luwawu-Cabarrot,Chris Boucher,Serge Ibaka,Ben Simmons,Precious Achiuwa,Kevin Huerter
Patty Mills,Trey Burke,Isaac Okoro,Kevin Durant,Serge Ibaka,Kevin Huerter,Daniel Theis,DeMarcus Cousins
Tyrese Haliburton,Joe Harris,Ben Simmons,Daniel Theis,Ivica Zubac,Kevin Huerter,Sterling Brown,Jarrett Allen
Trey Burke,Malik Beasley,Saddiq Bey,Daniel Theis,Myles Turner,Bruce Brown,Ben Simmons,Kevin Huerter
Jeff Teague,Gabe Vincent,Isaac Okoro,Chris Boucher,Myles Turner,Ben Simmons,Marcus Morris,Kevin Huerter
Payton Pritchard,Malik Beasley,Ben Simmons,Timothe Luwawu-Cabarrot,Ivica Zubac,Devin Booker,Kevin Huerter,Gabe Vincent
Kendrick Nunn,Devin Booker,Isaac Okoro,Kevin Durant,Dwight Howard,Jeremy Lamb,Marcus Morris,Kevin Huerter
Payton Pritchard,Jeremy Lamb,Ben Simmons,Maurice Harkless,Kevin Durant,Damyean Dotson,Kevin Huerter,Sterling Brown
Kendrick Nunn,Devin Booker,Ben Simmons,JaKarr Sampson,Khem Birch,Collin Sexton,Kevin Huerter,Trey Burke
Damyean Dotson,Malik Beasley,Kevin Huerter,Chris Boucher,DeMarcus Cousins,Devin Booker,Luke Kennard,Bruce Brown
Payton Pritchard,Patty Mills,David Nwaba,Precious Achiuwa,Myles Turner,Buddy Hield,Ben Simmons,Kevin Huerter
Delon Wright,Kevin Huerter,David Nwaba,Chris Boucher,Daniel Theis,Ben Simmons,Cedi Osman,JaKarr Sampson
Kemba Walker,Patty Mills,Ben Simmons,Cedi Osman,Serge Ibaka,Bruce Brown,Kevin Huerter,Gabe Vincent
Jeff Teague,Patty Mills,Ben Simmons,Patrick Patterson,Andre Drummond,Trey Burke,Kevin Huerter,Sterling Brown
