QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions,,,,,,,,
,,,,,,,,,,RB,Anthony Sherman (16186831),Anthony Sherman,16186831,RB/FLEX,4000,BUF@KC 01/24/2021 06:40PM ET,KC,1.38
,,,,,,,,,,RB,T.J. Yeldon (16186833),T.J. Yeldon,16186833,RB/FLEX,4000,BUF@KC 01/24/2021 06:40PM ET,BUF,4.15
,,,,,,,,,,RB,Taiwan Jones (16186835),Taiwan Jones,16186835,RB/FLEX,4000,BUF@KC 01/24/2021 06:40PM ET,BUF,0
,,,,,,,,,,RB,Antonio Williams (16186837),Antonio Williams,16186837,RB/FLEX,4000,BUF@KC 01/24/2021 06:40PM ET,BUF,21.3
,,,,,,,,,,WR,Mecole Hardman (16186857),Mecole Hardman,16186857,WR/FLEX,4000,BUF@KC 01/24/2021 06:40PM ET,KC,8.25
,,,,,,,,,,QB,Ryan Griffin (16186793),Ryan Griffin,16186793,QB,4000,TB@GB 01/24/2021 03:05PM ET,TB,0
,,,,,,,,,,QB,Jordan Love (16186794),Jordan Love,16186794,QB,4000,TB@GB 01/24/2021 03:05PM ET,GB,0
,,,,,,,,,,RB,AJ Dillon (16186817),AJ Dillon,16186817,RB/FLEX,4000,TB@GB 01/24/2021 03:05PM ET,GB,4.6
,,,,,,,,,,RB,Ke'Shawn Vaughn (16186819),Ke'Shawn Vaughn,16186819,RB/FLEX,4000,TB@GB 01/24/2021 03:05PM ET,TB,3.63
,,,,,,,,,,RB,LeSean McCoy (16186821),LeSean McCoy,16186821,RB/FLEX,4000,TB@GB 01/24/2021 03:05PM ET,TB,3.52
,,,,,,,,,,RB,Kenjon Barner (16186823),Kenjon Barner,16186823,RB/FLEX,4000,TB@GB 01/24/2021 03:05PM ET,TB,0
,,,,,,,,,,RB,T.J. Logan (16186825),T.J. Logan,16186825,RB/FLEX,4000,TB@GB 01/24/2021 03:05PM ET,TB,0
,,,,,,,,,,RB,Patrick Taylor (16186827),Patrick Taylor,16186827,RB/FLEX,4000,TB@GB 01/24/2021 03:05PM ET,GB,0
,,,,,,,,,,RB,Tyler Ervin (16186829),Tyler Ervin,16186829,RB/FLEX,4000,TB@GB 01/24/2021 03:05PM ET,GB,3.26
,,,,,,,,,,WR,Marquez Valdes-Scantling (16186859),Marquez Valdes-Scantling,16186859,WR/FLEX,3900,TB@GB 01/24/2021 03:05PM ET,GB,9.91
,,,,,,,,,,WR,Sammy Watkins (16186861),Sammy Watkins,16186861,WR/FLEX,3800,BUF@KC 01/24/2021 06:40PM ET,KC,8.94
,,,,,,,,,,WR,Demarcus Robinson (16186863),Demarcus Robinson,16186863,WR/FLEX,3700,BUF@KC 01/24/2021 06:40PM ET,KC,6.94
,,,,,,,,,,TE,Robert Tonyan (16186897),Robert Tonyan,16186897,TE/FLEX,3600,TB@GB 01/24/2021 03:05PM ET,GB,11.66
,,,,,,,,,,DST,Packers  (16186937),Packers ,16186937,DST,3600,TB@GB 01/24/2021 03:05PM ET,GB,5.82
,,,,,,,,,,WR,Gabriel Davis (16186865),Gabriel Davis,16186865,WR/FLEX,3500,BUF@KC 01/24/2021 06:40PM ET,BUF,8.47
,,,,,,,,,,WR,Scotty Miller (16186867),Scotty Miller,16186867,WR/FLEX,3400,TB@GB 01/24/2021 03:05PM ET,TB,6.63
,,,,,,,,,,WR,Byron Pringle (16186869),Byron Pringle,16186869,WR/FLEX,3200,BUF@KC 01/24/2021 06:40PM ET,KC,4.93
,,,,,,,,,,TE,Rob Gronkowski (16186899),Rob Gronkowski,16186899,TE/FLEX,3200,TB@GB 01/24/2021 03:05PM ET,TB,8.59
,,,,,,,,,,WR,Isaiah McKenzie (16186871),Isaiah McKenzie,16186871,WR/FLEX,3100,BUF@KC 01/24/2021 06:40PM ET,BUF,6.4
,,,,,,,,,,DST,Chiefs  (16186938),Chiefs ,16186938,DST,3100,BUF@KC 01/24/2021 06:40PM ET,KC,6.71
,,,,,,,,,,WR,Chad Williams (16186887),Chad Williams,16186887,WR/FLEX,3000,BUF@KC 01/24/2021 06:40PM ET,KC,0
,,,,,,,,,,WR,Gehrig Dieter (16186889),Gehrig Dieter,16186889,WR/FLEX,3000,BUF@KC 01/24/2021 06:40PM ET,KC,2
,,,,,,,,,,WR,Andre Roberts (16186891),Andre Roberts,16186891,WR/FLEX,3000,BUF@KC 01/24/2021 06:40PM ET,BUF,0.3
,,,,,,,,,,WR,Isaiah Hodgins (16186893),Isaiah Hodgins,16186893,WR/FLEX,3000,BUF@KC 01/24/2021 06:40PM ET,BUF,0
,,,,,,,,,,WR,Tyler Johnson (16186873),Tyler Johnson,16186873,WR/FLEX,3000,TB@GB 01/24/2021 03:05PM ET,TB,3.62
,,,,,,,,,,WR,Justin Watson (16186875),Justin Watson,16186875,WR/FLEX,3000,TB@GB 01/24/2021 03:05PM ET,TB,2.34
,,,,,,,,,,WR,Jaydon Mickens (16186877),Jaydon Mickens,16186877,WR/FLEX,3000,TB@GB 01/24/2021 03:05PM ET,TB,1.07
,,,,,,,,,,WR,John Franklin III (16186879),John Franklin III,16186879,WR/FLEX,3000,TB@GB 01/24/2021 03:05PM ET,TB,0
,,,,,,,,,,WR,Equanimeous St. Brown (16186881),Equanimeous St. Brown,16186881,WR/FLEX,3000,TB@GB 01/24/2021 03:05PM ET,GB,3.23
,,,,,,,,,,WR,Tavon Austin (16186883),Tavon Austin,16186883,WR/FLEX,3000,TB@GB 01/24/2021 03:05PM ET,GB,1.2
,,,,,,,,,,WR,Malik Taylor (16186885),Malik Taylor,16186885,WR/FLEX,3000,TB@GB 01/24/2021 03:05PM ET,GB,1.68
,,,,,,,,,,TE,Cameron Brate (16186901),Cameron Brate,16186901,TE/FLEX,3000,TB@GB 01/24/2021 03:05PM ET,TB,5.58
,,,,,,,,,,TE,Dawson Knox (16186903),Dawson Knox,16186903,TE/FLEX,2800,BUF@KC 01/24/2021 06:40PM ET,BUF,6.24
,,,,,,,,,,DST,Bills  (16186939),Bills ,16186939,DST,2800,BUF@KC 01/24/2021 06:40PM ET,BUF,7.61
,,,,,,,,,,DST,Buccaneers  (16186940),Buccaneers ,16186940,DST,2700,TB@GB 01/24/2021 03:05PM ET,TB,7.33
,,,,,,,,,,TE,Nick Keizer (16186921),Nick Keizer,16186921,TE/FLEX,2500,BUF@KC 01/24/2021 06:40PM ET,KC,1.03
,,,,,,,,,,TE,Ricky Seals-Jones (16186923),Ricky Seals-Jones,16186923,TE/FLEX,2500,BUF@KC 01/24/2021 06:40PM ET,KC,0
,,,,,,,,,,TE,Deon Yelder (16186925),Deon Yelder,16186925,TE/FLEX,2500,BUF@KC 01/24/2021 06:40PM ET,KC,1.77
,,,,,,,,,,TE,James Winchester (16186927),James Winchester,16186927,TE/FLEX,2500,BUF@KC 01/24/2021 06:40PM ET,KC,0
,,,,,,,,,,TE,Lee Smith (16186929),Lee Smith,16186929,TE/FLEX,2500,BUF@KC 01/24/2021 06:40PM ET,BUF,3.9
,,,,,,,,,,TE,Reggie Gilliam (16186931),Reggie Gilliam,16186931,TE/FLEX,2500,BUF@KC 01/24/2021 06:40PM ET,BUF,2.4
,,,,,,,,,,TE,Tyler Kroft (16186933),Tyler Kroft,16186933,TE/FLEX,2500,BUF@KC 01/24/2021 06:40PM ET,BUF,5.99
,,,,,,,,,,TE,Tommy Sweeney (16186935),Tommy Sweeney,16186935,TE/FLEX,2500,BUF@KC 01/24/2021 06:40PM ET,BUF,0
,,,,,,,,,,TE,Tanner Hudson (16186905),Tanner Hudson,16186905,TE/FLEX,2500,TB@GB 01/24/2021 03:05PM ET,TB,1.78
,,,,,,,,,,TE,Antony Auclair (16186907),Antony Auclair,16186907,TE/FLEX,2500,TB@GB 01/24/2021 03:05PM ET,TB,0
,,,,,,,,,,TE,O.J. Howard (16186909),O.J. Howard,16186909,TE/FLEX,2500,TB@GB 01/24/2021 03:05PM ET,TB,9.4
,,,,,,,,,,TE,Marcedes Lewis (16186911),Marcedes Lewis,16186911,TE/FLEX,2500,TB@GB 01/24/2021 03:05PM ET,GB,3.52
,,,,,,,,,,TE,Dominique Dafney (16186913),Dominique Dafney,16186913,TE/FLEX,2500,TB@GB 01/24/2021 03:05PM ET,GB,3.53
,,,,,,,,,,TE,Jace Sternberger (16186915),Jace Sternberger,16186915,TE/FLEX,2500,TB@GB 01/24/2021 03:05PM ET,GB,3.27
,,,,,,,,,,TE,Josiah Deguara (16186917),Josiah Deguara,16186917,TE/FLEX,2500,TB@GB 01/24/2021 03:05PM ET,GB,1.1
,,,,,,,,,,TE,John Lovett (16186919),John Lovett,16186919,TE/FLEX,2500,TB@GB 01/24/2021 03:05PM ET,GB,0.15
